rebalance_date,top_sic_group,top_share
2015-01-01,36,0.15555555555555556
2015-04-01,73,0.15217391304347827
2015-07-01,73,0.13725490196078433
2015-10-01,73,0.14285714285714285
2016-01-01,36,0.11538461538461539
2016-04-01,73,0.18181818181818182
2016-07-01,73,0.1111111111111111
2016-10-01,73,0.12
2017-01-01,73,0.14
2017-04-01,73,0.07692307692307693
2017-07-01,73,0.16363636363636364
2017-10-01,73,0.11764705882352941
2018-01-01,73,0.09433962264150944
2018-04-01,36,0.09090909090909091
2018-07-01,50,0.10909090909090909
2018-10-01,36,0.09803921568627451
2019-01-01,36,0.12280701754385964
2019-04-01,28,0.1320754716981132
2019-07-01,28,0.12962962962962962
2019-10-01,28,0.10909090909090909
2020-01-01,28,0.13725490196078433
2020-04-01,28,0.15151515151515152
2020-07-01,28,0.20967741935483872
2020-10-01,28,0.14754098360655737
