rebalance_date,ret_net,ret_gross,cost,turnover,mkt_ret,ic,n_long,n_universe
2015-01-01,-6.980547293848442e-05,0.015222384713251599,0.015292190186190083,1.0,0.04062231227578676,0.018513205560044668,69,354
2015-04-01,0.0019002705812323053,0.0051926025949046795,0.0032923320136723742,0.22058823529411764,0.010961045793605994,-0.12863771129578022,68,349
2015-07-01,-0.19614258375674043,-0.19150688611086558,0.004635697645874842,0.32,-0.16984186551347985,0.02823574923199454,75,390
2015-10-01,-0.003620309478518463,0.0007054340160874972,0.00432574349460596,0.2875,0.06033882734284373,-0.10527048606415346,80,417
2016-01-01,0.051389418609808245,0.05538376987423513,0.003994351264426884,0.2631578947368421,0.019270216517010434,0.14027606452404692,76,397
2016-04-01,0.11222220542651318,0.11538105104415963,0.003158845617646451,0.19736842105263158,0.06227187926225437,0.10815558045932222,76,401
2016-07-01,0.1793670929361874,0.18315396164723646,0.0037868687110490474,0.24358974358974358,0.11952659196592552,0.06434468774236453,78,411
2016-10-01,0.1121269707159872,0.11601986216068919,0.003892891444701978,0.273972602739726,0.0529380681580842,0.3373849915592774,73,388
2017-01-01,0.05450122863647364,0.058601018062655906,0.004099789426182262,0.2777777777777778,0.04154972143995191,-0.09785860902274915,72,382
2017-04-01,0.005999945927020391,0.010951102860699924,0.004951156933679533,0.3333333333333333,0.047920009468845434,-0.06322266829119753,75,401
2017-07-01,0.06412578097196008,0.06829018565801291,0.00416440468605283,0.2875,0.05832802710766809,-0.005611160069750435,80,427
2017-10-01,0.03673565490788432,0.03943212575349559,0.0026964708456112653,0.18666666666666668,0.025985928204953417,0.010536329583511764,75,396
2018-01-01,-0.0589003671549347,-0.056017035378452575,0.002883331776482121,0.20512820512820512,-0.011015461506370077,-0.1180515321214444,78,417
2018-04-01,0.1251395050284054,0.1284703184452393,0.003330813416833895,0.225,0.15144740909510424,-0.042842154812825314,80,429
2018-07-01,-0.01646831625626619,-0.012484006598053465,0.003984309658212723,0.27710843373493976,0.022580589382359052,-0.054680598298373094,83,444
2018-10-01,-0.25361012653876597,-0.25043597344525215,0.003174153093513829,0.225,-0.22230761876606714,-0.03315958224738904,80,428
2019-01-01,0.1557216786483148,0.16003755788225735,0.004315879233942552,0.2808988764044944,0.1615114131927857,0.011691949507075557,89,465
2019-04-01,-0.09735873877973394,-0.0937750972934481,0.0035836414862858426,0.24096385542168675,-0.02086862159458397,-0.16794792603406575,83,438
2019-07-01,-0.08062867255207706,-0.07660111748299693,0.004027555069080128,0.25882352941176473,-0.06407790162890883,0.1239968749327605,85,451
2019-10-01,0.2020493079734496,0.20578834537403606,0.0037390374005864427,0.24096385542168675,0.14689896098703442,0.07563145558823925,83,447
2020-01-01,-0.5091193750284274,-0.5055841073200272,0.0035352677084002256,0.22784810126582278,-0.3749478959366125,-0.2723864048268721,79,423
2020-04-01,0.6064402814815439,0.6144317904622383,0.007991508980694364,0.4948453608247423,0.48768816280801475,0.029935008491090688,97,506
2020-07-01,0.07751178182044677,0.08212215144849198,0.004610369628045219,0.29347826086956524,0.0928998550389519,0.09289279623060559,92,486
2020-10-01,0.4243848684384199,0.4285267167594813,0.004141848321061403,0.27472527472527475,0.3548017919485331,0.14450257575519335,91,483
