rebalance_date,top_sic_group,top_share
2015-01-01,37,0.11290322580645161
2015-04-01,73,0.109375
2015-07-01,73,0.11428571428571428
2015-10-01,33,0.10526315789473684
2016-01-01,36,0.1
2016-04-01,36,0.10810810810810811
2016-07-01,33,0.08108108108108109
2016-10-01,33,0.08571428571428572
2017-01-01,56,0.08823529411764706
2017-04-01,56,0.0958904109589041
2017-07-01,50,0.09210526315789473
2017-10-01,50,0.09859154929577464
2018-01-01,50,0.0945945945945946
2018-04-01,50,0.1038961038961039
2018-07-01,50,0.08974358974358974
2018-10-01,50,0.09333333333333334
2019-01-01,37,0.10843373493975904
2019-04-01,37,0.0975609756097561
2019-07-01,13,0.08333333333333333
2019-10-01,59,0.09523809523809523
2020-01-01,13,0.0875
2020-04-01,13,0.08163265306122448
2020-07-01,73,0.08695652173913043
2020-10-01,50,0.07692307692307693
