rebalance_date,ret_net,ret_gross,cost,turnover,mkt_ret,ic,n_long,n_universe
2015-01-01,0.08069096490871108,0.09453122578374266,0.01384026087503158,1.0,0.04062231227578676,0.07258962756700314,34,169
2015-04-01,0.015904797497056183,0.02114762075402213,0.0052428232569659465,0.35294117647058826,0.010961045793605994,-0.05820516688419439,34,166
2015-07-01,-0.1487300855547279,-0.14430188374794423,0.004428201806783653,0.32432432432432434,-0.16984186551347985,-0.024946876328091793,37,181
2015-10-01,0.07121470650469941,0.0758134054270064,0.004598698922306997,0.3170731707317073,0.06033882734284373,-0.03310881964223873,41,204
2016-01-01,0.05011066146077917,0.05457148008141795,0.004460818620638775,0.3333333333333333,0.019270216517010434,0.0340788866885495,39,192
2016-04-01,0.05224953678960079,0.05694961496585132,0.004700078176250531,0.34210526315789475,0.06227187926225437,-0.027756557168321875,38,188
2016-07-01,0.12049977027160277,0.123278214088959,0.0027784438173562268,0.1891891891891892,0.11952659196592552,-0.007601039482209666,37,182
2016-10-01,0.09774764145117217,0.09899287038294147,0.001245228931769295,0.08823529411764706,0.0529380681580842,0.08542820661099572,34,171
2017-01-01,0.00697952487938604,0.009831711462596602,0.002852186583210562,0.20588235294117646,0.04154972143995191,0.10437525824583037,34,167
2017-04-01,0.018660408348378822,0.023972860209521316,0.005312451861142494,0.3888888888888889,0.047920009468845434,-0.09343458388878309,36,178
2017-07-01,0.003424492324719201,0.0062126501986732065,0.0027881578739540054,0.21621621621621623,0.05832802710766809,-0.10970774420984801,37,186
2017-10-01,0.022411581549295675,0.025437458563503056,0.0030258770142073815,0.22857142857142856,0.025985928204953417,0.0641333135230872,35,173
2018-01-01,-0.031178630787484667,-0.027432270975543797,0.0037463598119408716,0.2777777777777778,-0.011015461506370077,0.0226197936227098,36,179
2018-04-01,0.13927191733376998,0.1431971221040115,0.003925204770241514,0.2972972972972973,0.15144740909510424,0.02656994443261447,37,182
2018-07-01,-0.017574295209608397,-0.01463603545609735,0.0029382597535110456,0.22857142857142856,0.022580589382359052,-0.12479056920755147,35,175
2018-10-01,-0.23641960425054565,-0.23244071636358765,0.003978887886958001,0.30303030303030304,-0.22230761876606714,-0.11445309578145,33,163
2019-01-01,0.06551194020734169,0.06934944496630613,0.0038375047589644384,0.2702702702702703,0.1615114131927857,0.00700814856196182,37,185
2019-04-01,-0.07248913029911616,-0.06814081910837846,0.0043483111907376935,0.3333333333333333,-0.02086862159458397,-0.006238352400255736,33,165
2019-07-01,-0.04978147651670274,-0.044771767032854695,0.0050097094838480434,0.35294117647058826,-0.06407790162890883,0.12102104662525989,34,167
2019-10-01,0.1453906044672173,0.14794311462747606,0.0025525101602587507,0.17647058823529413,0.14689896098703442,0.04767894473099449,34,169
2020-01-01,-0.3671102990814126,-0.3628816085492722,0.004228690532140424,0.3225806451612903,-0.3749478959366125,-0.07144649703729522,31,152
2020-04-01,0.5828646588456269,0.5924273380965782,0.00956267925095137,0.6363636363636364,0.48768816280801475,0.2570766864078709,44,221
2020-07-01,0.015171855557495036,0.018762967086586008,0.003591111529090972,0.2564102564102564,0.0928998550389519,0.019889523370317127,39,193
2020-10-01,0.3361970559052518,0.33882859860456876,0.0026315426993169587,0.19444444444444445,0.3548017919485331,0.03062582386541962,36,180
