rebalance_date,hold_end,n_universe,n_with_signal,ret_net,ret_gross,cost,turnover,mkt_ret,ic,n_long,sector_hhi,sector_top_share
2015-01-01,2015-04-01,354,219,-0.013843772660242932,-0.000920874607362549,0.012922898052880383,1.0,0.04062231227578676,0.012083128634592757,44,0.07128099173553717,0.11363636363636363
2015-04-01,2015-07-01,349,226,-0.0038780216522909224,0.0034602241686353527,0.007338245820926275,0.5434782608695652,0.010961045793605994,-0.03541122503346198,46,0.06049149338374289,0.10869565217391304
2015-07-01,2015-10-01,390,251,-0.15947851409712616,-0.155140464964469,0.004338049132657157,0.3137254901960784,-0.16984186551347985,-0.027131094668943274,51,0.057285659361783904,0.09803921568627451
2015-10-01,2016-01-01,417,277,0.05436537743648937,0.05977446097232396,0.005409083535834586,0.375,0.06033882734284373,0.040680059938864165,56,0.05165816326530612,0.10714285714285714
2016-01-01,2016-04-01,397,259,0.06981620630792723,0.07286507537888937,0.00304886907096213,0.21153846153846154,0.019270216517010434,-0.0021563602958951794,52,0.0517751479289941,0.09615384615384616
2016-04-01,2016-07-01,401,251,0.05182851003912961,0.05865657782856056,0.006828067789430948,0.47058823529411764,0.06227187926225437,-0.04745209637639916,51,0.05805459438677433,0.11764705882352941
2016-07-01,2016-10-01,411,249,0.10605234547632568,0.1094770969648005,0.0034247514884748133,0.24,0.11952659196592552,0.020548775748153905,50,0.0552,0.14
2016-10-01,2017-01-01,388,237,0.12579910938309768,0.1292593238842863,0.003460214501188596,0.25,0.0529380681580842,0.17886541077967724,48,0.050347222222222224,0.10416666666666667
2017-01-01,2017-04-01,382,220,-0.011067042411548328,-0.007855441909978514,0.0032116005015698132,0.22727272727272727,0.04154972143995191,-0.04968125540726362,44,0.05681818181818181,0.11363636363636363
2017-04-01,2017-07-01,401,238,0.03878872255391602,0.044496014248925235,0.005707291695009211,0.4375,0.047920009468845434,-0.04140652184495338,48,0.056423611111111105,0.125
2017-07-01,2017-10-01,427,246,0.07030964999617544,0.07267015812925788,0.002360508133082444,0.1836734693877551,0.05832802710766809,-0.06039869766379164,49,0.06955435235318617,0.14285714285714285
2017-10-01,2018-01-01,396,223,0.045830070321357004,0.048771330870704475,0.0029412605493474723,0.2222222222222222,0.025985928204953417,0.06246988914819533,45,0.06567901234567902,0.15555555555555556
2018-01-01,2018-04-01,417,231,-0.021851907923706507,-0.019685027571251866,0.0021668803524546414,0.17391304347826086,-0.011015461506370077,0.010037996937560256,46,0.06616257088846884,0.15217391304347827
2018-04-01,2018-07-01,429,243,0.13816993646929152,0.14411189415701187,0.005941957687720361,0.42857142857142855,0.15144740909510424,0.013261415289026884,49,0.05372761349437734,0.10204081632653061
2018-07-01,2018-10-01,444,239,-0.06850446055088596,-0.06630766907225848,0.0021967914786274858,0.16666666666666666,0.022580589382359052,-0.2243992560214595,48,0.05989583333333334,0.10416666666666667
2018-10-01,2019-01-01,428,231,-0.23286378067863903,-0.23109770852396447,0.00176607215467456,0.13043478260869565,-0.22230761876606714,-0.10297638568001201,46,0.06521739130434784,0.13043478260869565
2019-01-01,2019-04-01,465,266,0.12463615489309823,0.12829272005423847,0.0036565651611402445,0.2641509433962264,0.1615114131927857,-0.00845252066701918,53,0.06514773940904237,0.1320754716981132
2019-04-01,2019-07-01,438,243,-0.09521514714285396,-0.08836414872453616,0.006850998418317808,0.5102040816326531,-0.02086862159458397,-0.069861192079223,49,0.06289046230737191,0.12244897959183673
2019-07-01,2019-10-01,451,252,-0.031253942202618554,-0.027344683886244368,0.0039092583163741895,0.27450980392156865,-0.06407790162890883,0.1556304306583191,51,0.07035755478662055,0.1568627450980392
2019-10-01,2020-01-01,447,252,0.10123427060363988,0.1043853541307507,0.00315108352711082,0.21568627450980393,0.14689896098703442,0.07017795484727755,51,0.08573625528642831,0.21568627450980393
2020-01-01,2020-04-01,423,233,-0.5091259187926053,-0.5056183832134244,0.0035075355791808643,0.23404255319148937,-0.3749478959366125,-0.1777406402979882,47,0.07107288365776368,0.1702127659574468
2020-04-01,2020-07-01,506,321,0.6234718876738785,0.6344318933792322,0.0109600057053537,0.6875,0.48768816280801475,0.23949330559868748,64,0.052734375,0.09375
2020-07-01,2020-10-01,486,280,0.11673169687181159,0.12037878361778903,0.003647086745977444,0.25,0.0928998550389519,0.12744200952601975,56,0.055484693877551006,0.10714285714285714
2020-10-01,2021-01-01,483,261,0.4622429630065225,0.465321101172229,0.0030781381657065078,0.23076923076923078,0.3548017919485331,0.23383004072659241,52,0.053994082840236705,0.11538461538461539
