rebalance_date,ret_net,ret_gross,cost,turnover,mkt_ret,ic,n_long,n_universe
2015-01-01,0.023458569499355292,0.03697260731654415,0.013514037817188856,1.0,0.04062231227578676,0.06217492914325495,34,169
2015-04-01,-0.009436181369383944,-0.002526185029286113,0.006909996340097831,0.5,0.010961045793605994,-0.04650720464875288,34,166
2015-07-01,-0.15159971321770296,-0.14752106354929012,0.004078649668412841,0.2972972972972973,-0.16984186551347985,-0.026994920365086106,37,181
2015-10-01,0.06080536935188175,0.0656786017782904,0.0048732324264086435,0.34146341463414637,0.06033882734284373,0.04551808948979087,41,204
2016-01-01,0.05571872071370038,0.05999765805715891,0.004278937343458528,0.3076923076923077,0.019270216517010434,-0.02581348506632667,39,192
2016-04-01,0.05481897162975224,0.06098544016671302,0.006166468536960783,0.4473684210526316,0.06227187926225437,-0.08412210790183255,38,188
2016-07-01,0.08039620431038576,0.08383282904774568,0.003436624737359918,0.24324324324324326,0.11952659196592552,-0.09037941498769322,37,182
2016-10-01,0.13301104975428202,0.1362119535524227,0.003200903798140666,0.23529411764705882,0.0529380681580842,0.19942245065828343,34,171
2017-01-01,-0.00380335015996095,0.00014398825879264774,0.003947338418753598,0.29411764705882354,0.04154972143995191,-0.030220828878934358,34,167
2017-04-01,0.012689500713005574,0.01687354596898764,0.004184045255982067,0.3333333333333333,0.047920009468845434,-0.07111416007340594,36,178
2017-07-01,0.03778238149826687,0.04024275417324026,0.002460372674973389,0.1891891891891892,0.05832802710766809,-0.0773606004321292,37,186
2017-10-01,0.03726742441739291,0.039854453494453726,0.0025870290770608124,0.2,0.025985928204953417,0.06717795968614909,35,173
2018-01-01,-0.024410358727070425,-0.02123945255206692,0.0031709061750035076,0.25,-0.011015461506370077,0.008616608275731467,36,179
2018-04-01,0.15035382530097355,0.15613581105085966,0.005781985749886125,0.40540540540540543,0.15144740909510424,0.029936469115656145,37,182
2018-07-01,-0.11037406275841517,-0.10804206242245834,0.0023320003359568295,0.17142857142857143,0.022580589382359052,-0.25976935561946524,35,175
2018-10-01,-0.2206806980929622,-0.21862453937324194,0.002056158719720264,0.15151515151515152,-0.22230761876606714,-0.1443841814607352,33,163
2019-01-01,0.09167289207496988,0.09504719833228176,0.0033743062573118755,0.24324324324324326,0.1615114131927857,-0.03720983991832174,37,185
2019-04-01,-0.10937906334580902,-0.10240714884292247,0.006971914502886551,0.48484848484848486,-0.02086862159458397,-0.020012786854025817,33,165
2019-07-01,0.012091791447370374,0.01553336864239117,0.0034415771950207967,0.23529411764705882,-0.06407790162890883,0.24207750982153986,34,167
2019-10-01,0.15040649913581164,0.15318761973630424,0.0027811206004925877,0.17647058823529413,0.14689896098703442,0.10486128335045886,34,169
2020-01-01,-0.43118578546078273,-0.42750866829772866,0.0036771171630540986,0.25806451612903225,-0.3749478959366125,-0.12842453816660857,31,152
2020-04-01,0.5468057177727462,0.5577861640408088,0.010980446268062634,0.6818181818181818,0.48768816280801475,0.22241819421513215,44,221
2020-07-01,0.10987646330193006,0.11331169838721489,0.0034352350852848335,0.23076923076923078,0.0928998550389519,0.16874813498630067,39,193
2020-10-01,0.4611667829216595,0.4651223284444178,0.003955545522758284,0.2777777777777778,0.3548017919485331,0.29250308622601634,36,180
