rebalance_date,ret_net,ret_gross,cost,turnover,mkt_ret,ic,n_long,n_universe
2015-01-01,0.021115650340141373,0.03613202332902063,0.015016372988879255,1.0,0.04062231227578676,0.05697379543533391,34,169
2015-04-01,0.00628896948183127,0.010842574003323894,0.0045536045214926235,0.29411764705882354,0.010961045793605994,-0.08856372687265121,34,166
2015-07-01,-0.18435689844181377,-0.17991535846321913,0.004441539978594656,0.2972972972972973,-0.16984186551347985,-0.04731346002064233,37,181
2015-10-01,0.03532107715878473,0.03948208981566265,0.004161012656877923,0.2682926829268293,0.06033882734284373,0.04019760974196238,41,204
2016-01-01,0.0434839395108431,0.047208873148521915,0.0037249336376788114,0.2564102564102564,0.019270216517010434,0.04421947481214226,39,192
2016-04-01,0.11676910711733192,0.12158664568136446,0.004817538564032542,0.3157894736842105,0.06227187926225437,0.11082756764859392,38,188
2016-07-01,0.14513083745916922,0.14883450347143073,0.003703666012261521,0.24324324324324326,0.11952659196592552,0.12660005513913675,37,182
2016-10-01,0.15821923403182453,0.16204817663031815,0.003828942598493607,0.2647058823529412,0.0529380681580842,0.2924532046416997,34,171
2017-01-01,0.011098401699180506,0.015319152015637254,0.004220750316456748,0.29411764705882354,0.04154972143995191,-0.10727417017006514,34,167
2017-04-01,-0.042510180217511344,-0.03638598426043727,0.0061241959570740735,0.4166666666666667,0.047920009468845434,-0.1278955523623206,36,178
2017-07-01,0.007281097846609582,0.009600729806444913,0.002319631959835331,0.16216216216216217,0.05832802710766809,-0.08022250862363066,37,186
2017-10-01,0.04696089275022285,0.05022848012983421,0.0032675873796113595,0.22857142857142856,0.025985928204953417,-0.0813517191284435,35,173
2018-01-01,-0.019324064371558498,-0.015475929126309634,0.0038481352452488624,0.2777777777777778,-0.011015461506370077,-0.02127288337736148,36,179
2018-04-01,0.1364565055811482,0.14126142121954388,0.004804915638395694,0.32432432432432434,0.15144740909510424,-0.021257574554054564,37,182
2018-07-01,-0.0010854431431766747,0.0033167307622519486,0.004402173905428623,0.3142857142857143,0.022580589382359052,-0.0027142002904410713,35,175
2018-10-01,-0.21902130168493583,-0.21503993440266816,0.003981367282267653,0.30303030303030304,-0.22230761876606714,-0.11446720889238894,33,163
2019-01-01,0.120714645697437,0.12431770463166372,0.0036030589342267187,0.24324324324324326,0.1615114131927857,0.0830979946446803,37,185
2019-04-01,-0.11343416360030063,-0.1066836837429064,0.006750479857394231,0.45454545454545453,-0.02086862159458397,-0.14027178866322962,33,165
2019-07-01,-0.003497596467334714,0.0014770995296407002,0.004974695996975414,0.3235294117647059,-0.06407790162890883,0.1267742718287412,34,167
2019-10-01,0.1454234273026778,0.15105720810692067,0.005633780804242871,0.35294117647058826,0.14689896098703442,-0.045148080845915955,34,169
2020-01-01,-0.4762608831934313,-0.47345112254251953,0.002809760650911791,0.1935483870967742,-0.3749478959366125,-0.21993028929940744,31,152
2020-04-01,0.564793612319282,0.5754819746567429,0.01068836233746081,0.6363636363636364,0.48768816280801475,0.022515115826961113,44,221
2020-07-01,0.08901965923364438,0.0932038457278284,0.0041841864941840196,0.2564102564102564,0.0928998550389519,-0.005271206901228875,39,193
2020-10-01,0.4394846977146308,0.4437272034553039,0.004242505740673164,0.2777777777777778,0.3548017919485331,0.13905174397924383,36,180
