rebalance_date,top_sic_group,top_share
2015-01-01,36,0.11363636363636363
2015-04-01,37,0.10869565217391304
2015-07-01,28,0.09803921568627451
2015-10-01,35,0.10714285714285714
2016-01-01,28,0.09615384615384616
2016-04-01,37,0.11764705882352941
2016-07-01,37,0.14
2016-10-01,37,0.10416666666666667
2017-01-01,28,0.11363636363636363
2017-04-01,37,0.125
2017-07-01,37,0.14285714285714285
2017-10-01,37,0.15555555555555556
2018-01-01,37,0.15217391304347827
2018-04-01,36,0.10204081632653061
2018-07-01,36,0.10416666666666667
2018-10-01,36,0.13043478260869565
2019-01-01,36,0.1320754716981132
2019-04-01,37,0.12244897959183673
2019-07-01,13,0.1568627450980392
2019-10-01,13,0.21568627450980393
2020-01-01,13,0.1702127659574468
2020-04-01,73,0.09375
2020-07-01,28,0.10714285714285714
2020-10-01,13,0.11538461538461539
