rebalance_date,hold_end,n_universe,n_with_signal,ret_net,ret_gross,cost,turnover,mkt_ret,ic,n_long,sector_hhi,sector_top_share
2015-01-01,2015-04-01,354,310,0.0026935429917441436,0.0167771931073689,0.014083650115624758,1.0,0.04062231227578676,0.016911390773426196,62,0.05723204994797086,0.11290322580645161
2015-04-01,2015-07-01,349,318,-0.014951954405171521,-0.011848898250712022,0.0031030561544594984,0.21875,0.010961045793605994,-0.12093081487349892,64,0.052734375,0.109375
2015-07-01,2015-10-01,390,350,-0.18954688422889265,-0.18621980603558008,0.0033270781933125836,0.22857142857142856,-0.16984186551347985,-0.0018367496877525532,70,0.05795918367346939,0.11428571428571428
2015-10-01,2016-01-01,417,379,0.009894895516841442,0.01408184626965739,0.0041869507528159485,0.27631578947368424,0.06033882734284373,-0.18677300110434397,76,0.05817174515235456,0.10526315789473684
2016-01-01,2016-04-01,397,352,0.13485134885807082,0.13726474050056545,0.0024133916424946256,0.15714285714285714,0.019270216517010434,0.28163817080722525,70,0.0526530612244898,0.1
2016-04-01,2016-07-01,401,368,0.07463451129988558,0.07852780875190661,0.0038932974520210356,0.25675675675675674,0.06227187926225437,0.046170019170861755,74,0.05697589481373266,0.10810810810810811
2016-07-01,2016-10-01,411,369,0.17051334152713218,0.17357014295501924,0.003056801427887048,0.20270270270270271,0.11952659196592552,-0.0498969704855885,74,0.04601899196493792,0.08108108108108109
2016-10-01,2017-01-01,388,352,0.14430058663810025,0.1470575568719505,0.002756970233850242,0.18571428571428572,0.0529380681580842,0.30931622597382624,70,0.04938775510204083,0.08571428571428572
2017-01-01,2017-04-01,382,338,0.012333257263291887,0.015377699037505946,0.0030444417742140593,0.20588235294117646,0.04154972143995191,-0.09911456888340764,68,0.04930795847750867,0.08823529411764706
2017-04-01,2017-07-01,401,364,0.002276689031064,0.005402302325240759,0.003125613294176759,0.2191780821917808,0.047920009468845434,-0.03855362468767638,73,0.04822668418089699,0.0958904109589041
2017-07-01,2017-10-01,427,380,0.0706185880969963,0.0733054233530758,0.002686835256079501,0.18421052631578946,0.05832802710766809,0.007482534550135314,76,0.05367036011080331,0.09210526315789473
2017-10-01,2018-01-01,396,355,0.10869695952158602,0.11141588462155223,0.002718925099966214,0.18309859154929578,0.025985928204953417,0.16834709808693915,71,0.051775441380678446,0.09859154929577464
2018-01-01,2018-04-01,417,371,-0.040036077413639765,-0.03738494627348863,0.002651131140151136,0.1891891891891892,-0.011015461506370077,-0.07619912332291531,74,0.05441928414901389,0.0945945945945946
2018-04-01,2018-07-01,429,385,0.12631752097442187,0.12929800965670035,0.0029804886822784845,0.2077922077922078,0.15144740909510424,-0.04227975332510314,77,0.05211671445437679,0.1038961038961039
2018-07-01,2018-10-01,444,388,-0.029270729204251396,-0.02605421540688634,0.0032165137973650566,0.23076923076923078,0.022580589382359052,-0.11467907573015257,78,0.05062458908612757,0.08974358974358974
2018-10-01,2019-01-01,428,373,-0.2535681513032915,-0.2511966857184595,0.0023714655848320145,0.17333333333333334,-0.22230761876606714,0.057514056942944466,75,0.05208888888888889,0.09333333333333334
2019-01-01,2019-04-01,465,413,0.15088067653000145,0.1537194591000111,0.0028387825700096716,0.1927710843373494,0.1615114131927857,-0.011502025706595049,83,0.051821744810567553,0.10843373493975904
2019-04-01,2019-07-01,438,410,-0.05257500180439133,-0.04966192814112733,0.002913073663263997,0.1951219512195122,-0.02086862159458397,-0.011387083308485896,82,0.04610350981558598,0.0975609756097561
2019-07-01,2019-10-01,451,418,-0.027588885862129268,-0.02540449599847427,0.0021843898636549953,0.14285714285714285,-0.06407790162890883,0.191551818004404,84,0.04421768707482993,0.08333333333333333
2019-10-01,2020-01-01,447,418,0.12850564448713964,0.13121551956306607,0.002709875075926422,0.17857142857142858,0.14689896098703442,0.0675562604756092,84,0.05187074829931973,0.09523809523809523
2020-01-01,2020-04-01,423,397,-0.5079785683139075,-0.5055358900103439,0.0024426783035636185,0.1625,-0.3749478959366125,-0.39551391863989516,80,0.05124999999999998,0.0875
2020-04-01,2020-07-01,506,488,0.6824395698078529,0.6897315677580788,0.007291997950225871,0.45918367346938777,0.48768816280801475,0.09289274631618187,98,0.04518950437317783,0.08163265306122448
2020-07-01,2020-10-01,486,460,0.15986754013932852,0.16316846256045717,0.003300922421128643,0.21739130434782608,0.0928998550389519,0.1797656142388605,92,0.045604914933837434,0.08695652173913043
2020-10-01,2021-01-01,483,456,0.4471579698982626,0.4504202647319196,0.003262294833656958,0.21978021978021978,0.3548017919485331,0.23433855733878922,91,0.04914865354425795,0.07692307692307693
