sic_major_group,contribution
38,0.09726408519759738
35,0.06351775185499162
37,0.05462441702138252
56,0.03247592515667831
26,0.027336269679986466
87,0.023509730112646655
82,0.020130699547258872
45,0.01623605612324889
12,0.015753388189356253
50,0.013719657984309998
51,0.01165058119678824
80,0.011279654774590543
22,0.01080124880997657
10,0.010657749924027122
33,0.010443148441095212
28,0.008158794314939712
23,0.0076482243023432445
81,0.006679182644541849
1,0.0065631225063658705
44,0.004802596526127487
55,0.0035077476037999296
7,0.001526127141126655
25,0.0012678772016453852
39,0.000531928868216909
52,0.00030755880059565865
14,-0.0006323244347981351
32,-0.0013833687799134253
21,-0.0019450705454414768
29,-0.0030778704733784874
75,-0.005396540019295174
54,-0.005937576620215862
47,-0.007763598449678571
24,-0.008607327365003963
48,-0.009988288154260404
16,-0.010090956911476861
17,-0.010718749379137745
42,-0.010823275407390521
2,-0.01120000960597384
78,-0.011487513607052188
27,-0.012369326422381997
31,-0.01344005459441187
72,-0.015659296421733963
34,-0.021431781642795775
59,-0.02160638371085312
53,-0.02321836788952964
79,-0.024195527884082912
57,-0.024705370127630258
58,-0.026031019707409384
30,-0.0392361439684552
15,-0.042113748587039895
49,-0.04251240454426703
20,-0.04635540327349033
73,-0.04836813486347188
70,-0.07119721570998855
13,-0.13032988754548175
36,-0.16768213185142386
