rebalance_date,hold_end,n_universe,n_with_signal,n_delisted,long_ret,short_ret,ls_ret,ls_gross,ls_cost,ls_ba_cost,ls_borrow_cost,long_scale,short_scale,mean_beta_long,mean_beta_short,avg_turnover,mkt_ret,ic,n_long,n_short,guard_fired,mean_illiq_long,mean_illiq_short,sign_ok
2015-01-01,2015-04-01,361,361,0,-0.03627230757103227,-0.06618420533441859,-0.10485850763461965,-0.07612058201426591,0.028737925620353745,0.02611192854723564,0.0026259970731181068,0.9196976819000445,1.0803023180999554,1.0343770581285925,0.8805999641328488,1.0,0.037178660155379274,-0.10078230615795082,73,73,False,1.8663266094650676e-08,1.0168968338445475e-09,True
2015-04-01,2015-07-01,360,360,1,0.005665941497546767,-0.01047542335697283,-0.005219366613426487,0.009500321526843845,0.014719688140270332,0.012334375983969224,0.002385312156301108,0.9746065616077283,1.0253934383922716,0.9431164175348843,0.8964046525698931,0.4513888888888889,0.011506345439762637,-0.02670005169792977,72,72,False,1.5619706218438414e-08,8.501892449815463e-10,True
2015-07-01,2015-10-01,391,391,1,-0.20337442297503966,0.14005385605204118,-0.02309540443131039,-0.008535460776963655,0.014559943654346739,0.011986492814774045,0.002573450839572694,0.8828717233023313,1.1171282766976687,1.1420882721957355,0.9025977249609219,0.4620253164556962,-0.17129319252963052,-0.060452408388104416,79,79,False,1.6244899171722783e-08,6.703370912664942e-10,True
2015-10-01,2016-01-01,424,424,1,0.0896876158043124,-0.04250687283594139,0.03504108100330104,0.05188289491071443,0.01684181390741339,0.014313232596255363,0.0025285813111580267,0.9081681688099258,1.0918318311900743,1.0812945739708173,0.8994034476141156,0.5294117647058824,0.06685225723538354,-0.039687030171362,85,85,False,1.9536089645237266e-08,8.401526687176152e-10,True
2016-01-01,2016-04-01,412,410,1,-0.031640002583571226,-0.05056670508982919,-0.08465697019838546,-0.07003119080507703,0.014625779393308428,0.012057899524437924,0.0025678798688705037,0.8705393861305272,1.1294606138694727,1.1116562098308396,0.8568165216305325,0.4573170731707317,0.012316551191878558,-0.15713257823242663,82,82,False,2.002653322524255e-08,9.972045463056294e-10,True
2016-04-01,2016-07-01,402,400,1,0.04908762460172236,-0.024445431185509493,0.012610145024694212,0.02515913489058695,0.012548989865892734,0.009933763906805499,0.002615225959087235,0.8363722510549075,1.1636277489450926,1.1426054773517262,0.821262225850738,0.3875,0.059695372806958226,0.03473177957362233,80,80,False,2.2084447912184278e-08,9.840276717466404e-10,True
2016-07-01,2016-10-01,414,412,1,0.10055815853991533,-0.1308359930280066,-0.0464433631420251,-0.03250659895559732,0.013936764186427775,0.011556533247602713,0.002380230938825061,0.9301385599229863,1.069861440077014,1.0587215191600536,0.9204535020162247,0.42771084337349397,0.11767258142230523,0.04567487490654775,83,83,False,1.8217225407212683e-08,8.988130325613036e-10,True
2016-10-01,2017-01-01,387,385,1,0.005912131955898068,-0.0625759758249258,-0.06230954007445643,-0.04884252541536687,0.013467014659089564,0.01089987512134432,0.002567139537745243,0.9175667661384936,1.0824332338615064,1.0863811027532904,0.9209133312464867,0.4155844155844156,0.05076861445168253,-0.03910276899266536,77,77,False,1.6562513384889886e-08,8.880426122947591e-10,True
2017-01-01,2017-04-01,384,382,1,0.023058661209189847,-0.041347258388362874,-0.02638886656216065,-0.010789689940441261,0.01559917662171939,0.01285810805274226,0.002741068568977131,0.874230980108614,1.1257690198913861,1.0899198386506033,0.8463918192341705,0.474025974025974,0.042824776158783356,-0.08681633539204904,77,77,False,1.5576932623298772e-08,8.619474796073662e-10,True
2017-04-01,2017-07-01,404,402,1,-0.022290163308652182,-0.07927070897844384,-0.1076325586194726,-0.09260571300537403,0.015026845614098585,0.012366117154981846,0.0026607284591167396,0.8934428187549719,1.106557181245028,1.1155911483593433,0.9007369136105781,0.4691358024691358,0.04707856554716786,-0.13910365650554826,81,81,False,1.929801406346519e-08,7.252371610823555e-10,True
2017-07-01,2017-10-01,428,425,2,0.055862239656208644,-0.06275398935377352,-0.016335128538478197,-0.0020722861758748767,0.014262842362603313,0.011693678608330404,0.0025691637542729086,0.9203871264519916,1.0796128735480084,1.0449711338340553,0.8908544929943698,0.4294117647058824,0.05924516301675565,-0.09527692235544231,85,85,False,2.0925053661531e-08,8.147831389883495e-10,True
2017-10-01,2018-01-01,390,388,2,-0.004043869340414472,-0.07223509300015837,-0.08721877541096666,-0.07343651265126341,0.013782262759703245,0.010945867611045795,0.0028363951486574486,0.8395715389273466,1.1604284610726532,1.179502194465091,0.8533714104701183,0.41666666666666663,0.0318429356842954,-0.0832056169461653,78,78,False,1.580151020626969e-08,7.390813975698309e-10,True
2018-01-01,2018-04-01,417,415,2,-0.031198447886756672,0.034660421955710605,0.01413035636116464,0.028267841358998166,0.014137484997833528,0.011356073832063183,0.0027814111657703446,0.8380114581721612,1.1619885418278388,1.2136743043888554,0.8752865772386234,0.42168674698795183,-0.010000799871656365,-0.01923916401391519,83,83,False,1.657109751825673e-08,7.221598780258969e-10,True
2018-04-01,2018-07-01,429,428,2,0.16818742754308105,-0.15645167113826525,0.021052953026546334,0.035312431322574916,0.014259478296028609,0.011878617243484955,0.0023808610525436528,1.0287001678466214,0.9712998321533787,0.9894960875318192,1.0479717566416928,0.41860465116279066,0.14755012213898547,-0.003605710270817895,86,86,False,1.8680811045152864e-08,8.611714118175346e-10,True
2018-07-01,2018-10-01,442,441,2,-0.002764845525625899,-0.05647597208587591,-0.06219444824436136,-0.04511287923613813,0.017081569008223225,0.01462491770274656,0.002456651305476667,0.9450089614198216,1.0549910385801784,1.0269457624088891,0.9198873856545617,0.5224719101123596,0.021529261515332385,-0.07340432676567131,89,89,False,3.0187630017215435e-08,6.933966075315965e-10,True
2018-10-01,2019-01-01,426,425,3,-0.28601777620754976,0.2047237911631186,-0.024160714977397968,-0.010851935764457254,0.01330877921294073,0.010686949260836198,0.002621829952104533,0.8835776835185452,1.116422316481455,1.1315712676112304,0.8955671206243601,0.41764705882352937,-0.22201243352719388,-0.10622391396101359,85,85,False,1.7870515273577175e-08,7.70124706078041e-10,True
2019-01-01,2019-04-01,455,454,3,0.19383059256763718,-0.14054637178601986,0.039793938419750124,0.05520852361745915,0.015414585197709047,0.012867619876043514,0.0025469653216655323,0.9596554673317774,1.0403445326682226,1.014639799484169,0.935944391854584,0.4725274725274725,0.17053053657903,-0.0199933508741164,91,91,False,2.0922920132228747e-08,1.0797448821423352e-09,True
2019-04-01,2019-07-01,440,439,3,-0.044506930007564525,0.006066092680557093,-0.03425305252689359,-0.021702478666162657,0.01255057386073093,0.010091829422522975,0.0024587444382079557,0.9171933062822947,1.0828066937177052,1.1023538535530135,0.9337507622546245,0.38636363636363635,-0.01236953985797984,-0.08049654342911122,88,88,False,1.809182085335225e-08,8.262109707118034e-10,True
2019-07-01,2019-10-01,448,447,3,-0.12814302796138274,0.0501294230644423,-0.06523379322385045,-0.04960363159653345,0.015630161627316983,0.013015861014528373,0.0026143006127886084,0.9283130309840264,1.0716869690159738,1.0792927598512836,0.9349012931795069,0.4666666666666667,-0.06853629721579911,-0.09824787830706336,90,90,False,2.21355561561851e-08,9.65943685675984e-10,True
2019-10-01,2020-01-01,445,444,3,0.13206708360586272,-0.13686418817857535,-0.027319340913466342,-0.012699351840037482,0.014619989073428853,0.012042789310161981,0.0025771997632668725,0.9162528173413524,1.0837471826586476,1.0641957563167577,0.8997230862791209,0.449438202247191,0.14899350121645746,0.002674117544637746,89,89,False,2.0831517018431393e-08,9.584370362658965e-10,True
2020-01-01,2020-04-01,418,417,3,-0.3806078861417019,0.39061020298212124,0.07271546074031648,0.08516478371345898,0.012449322973142527,0.009884185681321399,0.002565137291821128,0.9186829966979314,1.081317003302069,1.138459671119183,0.9672311996293856,0.39285714285714285,-0.37511731337168475,0.0027428554028326845,84,84,False,1.834246924390035e-08,8.566750164013572e-10,True
2020-04-01,2020-07-01,512,511,3,0.5488638577495996,-0.6690072262724781,-0.14776645000445432,-0.12605839949030628,0.021708050514147887,0.018972447862257307,0.0027356026518905803,0.9773185505067177,1.0226814494932823,1.054986952734874,1.008191084292391,0.6796116504854369,0.5094513015429641,-0.1196892626913779,103,103,False,4.5801918443567725e-08,2.119961049408556e-09,True
2020-07-01,2020-10-01,492,491,3,0.12874232619536838,-0.06341638417588227,0.05858767684199635,0.07544752260926021,0.01685984576726387,0.014257773795829674,0.0026020719714341957,0.9649338551217823,1.0350661448782177,1.0388056453291212,0.9684199807227163,0.5151515151515151,0.08638872390757436,0.04038030492113392,99,99,False,2.4209142496773882e-08,1.272265289376495e-09,True
2020-10-01,2021-01-01,489,488,3,0.3511818619820985,-0.4226619126622164,-0.1082679417427912,-0.09408536218986469,0.014182579552926504,0.011664660975568408,0.0025179185773580954,0.9524608296040344,1.0475391703959656,1.0456089993955213,0.9507058477147502,0.41836734693877553,0.3605908060628444,-0.04822395250463578,98,98,False,2.7617838542795284e-08,1.1139802021369208e-09,True
