rebalance_date,leg,spread_bps,borrow_bps,avg_dvol,illiq
2015-01-01,long,99.74923977178948,199.52982457210527,2387013.845333333,5.4480710665901433e-08
2015-01-01,long,98.45309095747368,197.09954554526317,1059277.91425,4.9421590650520945e-08
2015-01-01,long,99.83094031157894,199.68301308421053,1235036.4429933333,3.395010426588256e-08
2015-01-01,long,85.96506694736843,173.68450052631582,1177656.8473333337,3.3382264561966244e-08
2015-01-01,long,96.56959770947368,193.56799570526317,1087571.11425,3.253444501647661e-08
2015-01-01,long,99.95685158736842,199.91909672631581,1030315.0756666666,3.183058806321017e-08
2015-01-01,long,83.02999739957893,168.18124512421053,1105370.0115833331,2.9300560882022096e-08
2015-01-01,long,94.22890830147367,189.17920306526315,1502695.4806666668,2.9017334946806048e-08
2015-01-01,long,98.57766645431579,197.3331246018421,2105149.7,2.9006917234215095e-08
2015-01-01,long,96.11094866778947,192.70802875210526,1072027.7583333333,2.729377379819541e-08
2015-01-01,long,92.83736797894737,186.57006496052634,2159177.9508333337,2.7286054401664e-08
2015-01-01,long,95.84504116926314,192.20945219236845,1166695.1506666664,2.678157987418113e-08
2015-01-01,long,89.5759374614737,180.45488274026317,1307715.8418333333,2.6515925781109743e-08
2015-01-01,long,97.46623182105263,195.2491846644737,1656982.3872500001,2.5200885557241127e-08
2015-01-01,long,88.92959747368421,179.2429952631579,1056117.4293333334,2.5173220114003727e-08
2015-01-01,long,90.56582605052631,182.31092384473686,1074912.8113333331,2.4787570979213026e-08
2015-01-01,long,94.7932295671579,190.23730543842106,1040606.6816666665,2.3573468546933895e-08
2015-01-01,long,83.09458424589474,168.30234546105265,1223995.6491666667,2.2865978480355995e-08
2015-01-01,long,89.34876386526315,180.02893224736843,1044977.9501666668,2.244965595835139e-08
2015-01-01,long,92.72379067536842,186.3571075163158,1021963.7819166667,2.1658027979093027e-08
2015-01-01,long,94.22592336842105,189.17360631578947,1027324.4959166667,2.082743513553381e-08
2015-01-01,long,94.26127037810527,189.23988195894736,3227840.9264999996,1.9795014989333527e-08
2015-01-01,long,80.32115661726316,163.10216865736842,1647460.291833333,1.979097622854395e-08
2015-01-01,long,99.98519537178947,199.97224132210528,2571144.1041666665,1.9602284892423905e-08
2015-01-01,long,94.78124267873685,190.21483002263156,1077821.1333333335,1.843254856497887e-08
2015-01-01,long,90.65485149136842,182.47784654631582,2223875.046833333,1.828536485166814e-08
2015-01-01,long,92.11913431578947,185.2233768421053,1648901.8466666664,1.815062829051652e-08
2015-01-01,long,91.86373322905263,184.7444998044737,2051499.0418333332,1.800206971228667e-08
2015-01-01,long,94.64831106989473,189.96558325605264,1165615.1816666669,1.788190321006846e-08
2015-01-01,long,96.38346947368423,193.2190052631579,1073246.744,1.7826280025666187e-08
2015-01-01,long,82.37497437473684,166.9530769526316,1415156.539,1.7137661477977227e-08
2015-01-01,long,95.81081821010527,192.14528414394738,1479760.3666666667,1.6843072046438688e-08
2015-01-01,long,88.60073850189474,178.6263846910526,1764874.5428333336,1.6426965838710833e-08
2015-01-01,long,91.40618272,183.8865926,1374871.6353333332,1.6161101037309178e-08
2015-01-01,long,92.1370771351579,185.25701962842106,1534177.775,1.6026843688170387e-08
2015-01-01,long,75.82426484210526,154.67049657894736,1513464.625,1.5914094270577852e-08
2015-01-01,long,99.92894231578947,199.86676684210528,2579963.533333333,1.5649374403058828e-08
2015-01-01,long,92.67173641431577,186.2595057768421,1551182.6568333332,1.5559780726275157e-08
2015-01-01,long,68.69521510905264,141.3035283294737,1341889.8843333337,1.555342576961836e-08
2015-01-01,long,92.17568421052631,185.32940789473685,1724521.0689999997,1.5278813328949104e-08
2015-01-01,long,91.41614736842105,183.90527631578948,1254218.3001666665,1.5160108198225965e-08
2015-01-01,long,96.45207189642105,193.34763480578948,2769882.284166666,1.495509459924847e-08
2015-01-01,long,93.10234778947368,187.06690210526315,2226062.998,1.478399431196514e-08
2015-01-01,long,79.02726690147368,160.67612544026318,1453479.4855,1.456397897106183e-08
2015-01-01,long,92.73840589894736,186.38451106052634,1582174.3169999996,1.4250016847351819e-08
2015-01-01,long,92.97990315789474,186.83731842105263,1113598.1061666666,1.3953670367164501e-08
2015-01-01,long,93.02393151410526,186.9198715889474,1874648.8392499997,1.376402459785218e-08
2015-01-01,long,91.42965221052633,183.93059789473685,1480500.7415000002,1.3725827683043467e-08
2015-01-01,long,86.56286989473685,174.8053810526316,1654320.0346666665,1.3560375336469797e-08
2015-01-01,long,83.271424656,168.63392123,1615897.285333333,1.3442743564301338e-08
2015-01-01,long,89.4849305263158,180.2842447368421,2235350.3805,1.3359956357541985e-08
2015-01-01,long,80.82658307368422,164.04984326315792,1750452.1083333334,1.3265353948487788e-08
2015-01-01,long,73.97044547368421,151.1945852631579,1270070.0383333333,1.3128404096180189e-08
