rebalance_date,hold_end,year,n_universe_base,n_universe_russell,n_russell_excluded,pct_dropped,long_ret,short_ret,ls_ret_base,ls_gross_base,ls_cost_base,ls_ret_vm,ls_gross_vm,ls_cost_vm,trailing_vol,vol_scale,vol_scale_active,long_scale_bn,short_scale_bn,final_long_scale,final_short_scale,mean_beta_long,mean_beta_short,long_turnover,short_turnover,avg_turnover,mkt_ret,ic,n_long,n_short
2016-01-01,2016-04-01,2016,412,412,0,27.42718446601942,0.04288546145814866,-0.039049931196193946,0.01978449632555277,0.050802997945126355,0.03101850161957358,0.01978449632555277,0.050802997945126355,0.03101850161957358,,1.0,False,1.1946529521238922,0.8053470478761078,1.1946529521238922,0.8053470478761078,0.8710045161806516,1.2920493336538965,1.0,1.0,1.0,0.012316551191878558,0.06571654296512143,60,60
2016-04-01,2016-07-01,2016,402,402,0,24.62686567164179,0.008131795505021166,-0.1404333693749415,-0.09897769944233431,-0.09030816996206124,0.008669529480273077,-0.0542884649782403,-0.04953329840820059,0.004755166570039717,0.18231810290087627,0.5484918853854495,True,1.2243047652153918,0.7756952347846081,0.6715212289593803,0.4254625418115186,0.8346208201211692,1.3173089138623668,0.18032786885245902,0.2459016393442623,0.21311475409836067,0.059695372806958226,-0.12206489418479559,61,61
2016-07-01,2016-10-01,2016,414,410,129,27.073170731707318,0.07344448942006404,-0.18059488969268722,-0.06940781709723655,-0.062126238429574335,0.007281578667662238,-0.04218598127176804,-0.03776024719526537,0.004425734076502675,0.16452815604809956,0.6077987038933638,True,1.1485698134958644,0.8514301865041357,0.6980992439738289,0.5174981638128987,0.8666168642562425,1.169056472190663,0.16666666666666666,0.13333333333333333,0.15,0.11983462083024066,-0.10059725004693552,60,60
2016-10-01,2017-01-01,2016,387,383,129,27.154046997389035,0.0030944498982639675,-0.02455230073163228,-0.016132944214833012,-0.010541749328238594,0.00559119488659442,-0.012780052079968289,-0.008350869105776204,0.004429182974192086,0.1262353558020324,0.7921710947353308,True,1.1926051524035932,0.8073948475964069,0.9447473291665505,0.6395948603041112,0.9239187538596036,1.364722935172932,0.08928571428571429,0.10714285714285714,0.09821428571428571,0.050954940456969106,-0.09023625591980641,56,56
2017-01-01,2017-04-01,2017,384,379,129,30.07915567282322,0.015181551052376577,-0.054292382188584884,-0.03039100965640124,-0.023171348729955223,0.007219660926446017,-0.026846722547717587,-0.020469039279795324,0.006377683267922256,0.11320193592489368,0.8833771188007528,True,1.125512132004438,0.874487867995562,0.9942516643453728,0.7725025732561326,0.863741715038971,1.1116812648561702,0.18867924528301888,0.11320754716981132,0.15094339622641512,0.04259551614936625,0.025820955533837543,53,53
2017-04-01,2017-07-01,2017,404,396,129,27.02020202020202,0.0854084674166824,-0.0492034359097687,0.053089209446715586,0.06247904822280094,0.009389838776085352,0.04495479858717265,0.05290591172945087,0.00795111314227821,0.11809464420971512,0.8467784518865882,True,1.1254285655471017,0.8745714344528983,0.9529886584429184,0.740568245330258,0.9102362247586083,1.1713232428862974,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.04583759316820054,0.08381787387570229,58,58
2017-07-01,2017-10-01,2017,428,423,196,27.18676122931442,0.026753514300100395,-0.07068432353909986,-0.03149580543054403,-0.022925338980896576,0.008570466449647473,-0.028455740211857688,-0.020712519695607563,0.007743220516250126,0.11068348669214917,0.9034771399832767,True,1.1276198660008923,0.8723801339991075,1.0187787715228118,0.7881755084437414,0.8789258045937538,1.1360806595370603,0.20967741935483872,0.20967741935483872,0.20967741935483872,0.05428442439290262,-0.06438222980450149,62,62
2017-10-01,2018-01-01,2017,390,383,196,26.109660574412533,0.10913059630274945,-0.061590671954199726,0.057735554785681924,0.06433701651451126,0.00660146172882934,0.0543042106415363,0.06051333376497586,0.006209123123439554,0.10631874417031126,0.9405679194236032,True,1.059720915508822,0.940279084491178,0.9967394966698088,0.8843963421773977,0.9442177102573813,1.0641598572779738,0.14035087719298245,0.08771929824561403,0.11403508771929824,0.03269021098844809,0.13257988690812264,57,57
2018-01-01,2018-04-01,2018,417,407,196,26.044226044226043,0.016115648932238515,0.080471862877669,0.09292748446362038,0.10106035095051168,0.008132866486891297,0.08650823958271067,0.09407930390886945,0.007571064326158783,0.1074203855168874,0.9309219988256247,True,1.0568713900632902,0.9431286099367098,0.9838648269393345,0.8779791707119148,0.9754953824802532,1.0931416458158463,0.16393442622950818,0.18032786885245902,0.1721311475409836,-0.013602042470349096,0.1806382896568062,61,61
2018-04-01,2018-07-01,2018,429,417,196,26.378896882494004,0.20047200558883943,-0.1291882117272893,0.09134091143560791,0.10062661415748932,0.009285702721881395,0.07861324689543932,0.0866050572375939,0.007991810342154562,0.11619022880087523,0.8606575701936025,True,1.060841789577612,0.9391582104223879,0.9130215169777005,0.8082936234095044,0.9738421780728095,1.1000196425778823,0.1774193548387097,0.24193548387096775,0.20967741935483872,0.14285795051833228,0.11610928149502667,62,62
