rebalance_date,hold_end,period,n_universe,n_delisted,composite_long,composite_short,composite_ls,M1_solo_long,M1_solo_short,M1_solo_ls,M2_solo_long,M2_solo_short,M2_solo_ls,M3_solo_long,M3_solo_short,M3_solo_ls,bench_long,bench_short,bench_ls,ic_m1,ic_m2,ic_m3
2015-01-01,2015-04-01,in_sample,364,0,0.07066534900737775,-0.05742902437482002,0.013236324632557736,0.015004265681836267,0.01642453573848322,0.03142880142031949,0.04674487204553396,-0.09455388546113017,-0.04780901341559621,0.04645348442522062,-0.037223986155834936,0.009229498269385683,0.02291802341426359,-0.08600386833749915,-0.06308584492323556,0.08194246568145262,-0.04297511137691416,-0.033771500343525135
2015-04-01,2015-07-01,in_sample,362,2,-0.0217204656394503,-0.061103152379893666,-0.08282361801934396,-0.011837947149287653,-0.008731947528423194,-0.020569894677710848,-0.025879975718113082,-0.07007133566798913,-0.09595131138610222,-0.00485957407404807,-0.08705414616300448,-0.09191372023705255,-0.017280866655033478,-0.06073781330696562,-0.0780186799619991,0.0016348687333641566,0.013190115065455312,-0.025434846351474298
2015-07-01,2015-10-01,in_sample,394,1,-0.18229671532236838,0.209542580431026,0.02724586510865762,-0.193468255673324,0.17915759932777056,-0.014310656345553452,-0.13114382697766278,0.23487798844185737,0.10373416146419459,-0.18334109631628664,0.16899129908394886,-0.014349797232337785,-0.1498474079098489,0.21134114550940228,0.06149373759955337,0.023781295853714097,0.05395146371163423,-0.042925999733305895
2015-10-01,2016-01-01,in_sample,428,1,0.007002681512810975,-0.13852441066720408,-0.1315217291543931,0.0754804890100553,-0.052666652973571905,0.022813836036483397,0.029149569645757906,-0.22380834582038375,-0.19465877617462585,0.06738567141059967,-0.13581246545571773,-0.06842679404511806,0.05941821039557353,-0.1789728806331536,-0.11955467023758008,-0.036400232439976046,0.024457879232662887,0.015853828465490178
2016-01-01,2016-04-01,in_sample,415,1,0.07069057576819059,0.05681771872321959,0.12750829449141018,0.025875059880920103,0.009519242571683285,0.03539430245260339,0.08905531259914694,0.11180410095545096,0.2008594135545979,-0.02779266342325525,-0.02282086475132819,-0.050613528174583436,0.06582304530267505,0.11595194412949936,0.1817749894321744,0.055400042222669754,0.017281858963458005,-0.061973078329129336
2016-04-01,2016-07-01,in_sample,402,1,0.059532836669919396,-0.0826333029567403,-0.023100466286820907,0.08278034398807359,-0.022144216847259687,0.0606361271408139,0.0365858236086202,-0.04863193565339828,-0.012046112044778082,0.07782548691554533,-0.07716643444982464,0.0006590524657206914,0.06775261292176889,-0.08787271885158263,-0.02012010592981374,0.003589958016246242,0.14992182359457862,0.12293856690721013
2016-07-01,2016-10-01,in_sample,415,1,0.10245699106656031,-0.20277478438645583,-0.10031779331989552,0.10533000553703716,-0.14165069840732417,-0.03632069287028701,0.07048398728619834,-0.19935709046945474,-0.1288731031832564,0.09431303863332575,-0.17997945103367174,-0.08566641240034599,0.07048648606458875,-0.22083043977334516,-0.15034395370875642,-0.011141950131979874,0.015805202165550612,-0.08149838656039284
2016-10-01,2017-01-01,in_sample,387,1,0.07043123094817996,0.02073763571005171,0.09116886665823168,0.028608920664791024,-0.028398124206133985,0.00021079645865703864,0.07497005173094903,0.047544887354664014,0.12251493908561305,0.007970232774424386,0.020123782989397404,0.02809401576382179,0.12028117107402497,0.06577954968051994,0.1860607207545449,-0.05128825702168341,-0.020334204138178994,0.08905161874596716
2017-01-01,2017-04-01,in_sample,385,1,0.020309468876827108,-0.10205625986309927,-0.08174679098627216,0.016781139085429955,-0.06335000458442203,-0.04656886549899207,-0.005527027035360714,-0.09894120648076019,-0.1044682335161209,0.07536505514365048,-0.06015637013538483,0.015208685008265652,0.0050201443383552785,-0.14867135806173087,-0.14365121372337558,-0.034021125694716374,-0.042499445710379676,0.011361389191106347
2017-04-01,2017-07-01,in_sample,405,1,0.02076748381795074,-0.09168158151737639,-0.07091409769942565,0.054221516232048426,-0.03407022788721242,0.020151288344836003,0.025075316526262825,-0.08585613023191185,-0.06078081370564903,0.050889252003379286,-0.05547442862584365,-0.004585176622464361,0.02295903116657161,-0.07590317372606833,-0.052944142559496726,-0.008573946090545693,-0.018832642365315375,0.025524370283280133
2017-07-01,2017-10-01,in_sample,428,2,0.081936492230788,-0.07749032137130916,0.004446170859478835,0.04412035635824331,-0.09352771696791085,-0.049407360609667536,0.027767153013866255,-0.08555578285236373,-0.057788629838497474,0.08345656777751725,-0.058920793016831605,0.02453577476068565,0.05087462724946431,-0.10661394639638345,-0.055739319146919146,0.024507242754638326,0.12689357287080452,0.04192116826663784
2017-10-01,2018-01-01,in_sample,389,2,0.07080480492934109,-0.026531886729655,0.04427291819968609,0.038004466918251704,-0.03682556712167791,0.0011788997965737971,0.09854458709819362,0.01838372404691639,0.11692831114511001,-0.001011092028614627,-0.041632720417699984,-0.04264381244631461,0.06237604280328236,0.00739403413567488,0.06977007693895723,-0.029610914299416088,-0.030179941689652563,-0.12245348585860528
