year,ticker,list_kind,priced,entry_date,exit_date,price_col,return,benchmark_ret,abnormal_ret
2016,SGY,deletion,True,2016-06-13,2016-06-24,adjClose,0.7442348008358131,-0.019684696454071005,0.7639194972898841
2017,SGY,addition,True,2017-06-01,2017-06-23,adjClose,-0.214768122467357,0.014105793450912563,-0.22887391591826955
2016,SHBI,addition,True,2016-06-13,2016-06-24,adjClose,-0.023297491044078078,-0.019684696454071005,-0.0036127945900070735
2021,SHBI,deletion,True,2021-06-07,2021-06-25,adjClose,-0.025287356324715682,0.009467139915354084,-0.034754496240069765
2022,SHBI,addition,True,2022-06-06,2022-06-24,adjClose,-0.12248897599181807,-0.06551746377655376,-0.05697151221526431
2016,SHOS,addition,True,2016-06-13,2016-06-24,adjClose,0.005084745762711673,-0.019684696454071005,0.024769442216782678
2017,SHOS,deletion,True,2017-06-01,2017-06-23,adjClose,-0.15625,0.014105793450912563,-0.17035579345091256
2019,SHSP,addition,True,2019-06-10,2019-06-28,adjClose,-0.10413793103448277,0.028299177250638685,-0.13243710828512145
2020,SHSP,deletion,True,2020-06-15,2020-06-26,adjClose,-0.026755852842809347,-0.030640470954920174,0.003884618112110827
2019,SIC,addition,True,2019-06-10,2019-06-28,adjClose,0.07970342910101968,0.028299177250638685,0.051404251850381
2020,SIC,deletion,True,2020-06-15,2020-06-26,adjClose,-0.26573426573426573,-0.030640470954920174,-0.23509379477934556
2018,SIEB,addition,True,2018-06-11,2018-06-22,adjClose,0.2670025188916876,0.0062960964203993,0.2607064224712883
2021,SIEB,deletion,True,2021-06-07,2021-06-25,adjClose,0.0714285714285714,0.009467139915354084,0.06196143151321731
2016,SIEN,deletion,False,,,,,,
2017,SIEN,addition,False,,,,,,
2022,SIEN,deletion,False,,,,,,
2016,SILC,addition,True,2016-06-13,2016-06-24,adjClose,0.02335609054852328,-0.019684696454071005,0.04304078700259428
2017,SILC,deletion,True,2017-06-01,2017-06-23,adjClose,-0.07677652886264053,0.014105793450912563,-0.09088232231355309
2021,SKLZ,addition,True,2021-06-07,2021-06-25,adjClose,-0.07427536231884058,0.009467139915354084,-0.08374250223419466
2023,SKLZ,deletion,True,2023-05-22,2023-06-23,adjClose,-0.13259668508287292,0.01571050492389836,-0.14830719000677128
2018,SLCT,addition,True,2018-06-11,2018-06-22,adjClose,0.01607963246554367,0.0062960964203993,0.00978353604514437
2021,SLCT,deletion,True,2021-06-07,2021-06-25,adjClose,0.0185185185185186,0.009467139915354084,0.009051378603164517
2020,SLNO,addition,True,2020-06-15,2020-06-26,adjClose,-0.061224489795918324,-0.030640470954920174,-0.03058401884099815
2021,SLNO,deletion,True,2021-06-07,2021-06-25,adjClose,0.0350877192982455,0.009467139915354084,0.025620579382891417
2020,SMED,addition,True,2020-06-15,2020-06-26,adjClose,0.02083333333333326,-0.030640470954920174,0.05147380428825343
2022,SMED,deletion,True,2022-06-06,2022-06-24,adjClose,-0.197080291970803,-0.06551746377655376,-0.13156282819424925
2020,SMHI,deletion,True,2020-06-15,2020-06-26,adjClose,-0.24293785310734461,-0.030640470954920174,-0.21229738215242444
2023,SMHI,addition,True,2023-05-22,2023-06-23,adjClose,0.4189873417721519,0.01571050492389836,0.40327683684825355
