year,entry_date,exit_date,n_confirmed_additions,n_priced,coverage_pct,n_in_core_100m_2b_universe,core_universe_frac,basket_gross_ret,basket_net_ret,benchmark_ret_IWM,abnormal_ret_gross,abnormal_ret_net,hold_calendar_days
2016,2016-06-13,2016-06-24,183,159,0.8688524590163934,41,0.22404371584699453,-0.00299083571903358,-0.007990835719033581,-0.019684696454071005,0.016693860735037425,0.011693860735037424,11
2017,2017-06-01,2017-06-23,195,165,0.8461538461538461,56,0.28717948717948716,0.0033430332236025475,-0.0016569667763974526,0.014105793450912563,-0.010762760227310014,-0.015762760227310015,22
2018,2018-06-11,2018-06-22,182,152,0.8351648351648352,56,0.3076923076923077,0.03243218178595436,0.02743218178595436,0.0062960964203993,0.026136085365555062,0.02113608536555506,11
2019,2019-06-10,2019-06-28,181,150,0.8287292817679558,74,0.4088397790055249,0.05137287167638526,0.04637287167638526,0.028299177250638685,0.023073694425746576,0.018073694425746578,18
2020,2020-06-15,2020-06-26,203,180,0.8866995073891626,80,0.39408866995073893,0.006896086727179809,0.0018960867271798085,-0.030640470954920174,0.037536557682099986,0.03253655768209998,11
2021,2021-06-07,2021-06-25,254,220,0.8661417322834646,129,0.5078740157480315,0.00579894884028771,0.0007989488402877099,0.009467139915354084,-0.0036681910750663736,-0.008668191075066374,18
2022,2022-06-06,2022-06-24,292,269,0.9212328767123288,126,0.4315068493150685,-0.15425303957760594,-0.15925303957760595,-0.06551746377655376,-0.08873557580105218,-0.09373557580105218,18
2023,2023-05-22,2023-06-23,281,263,0.9359430604982206,155,0.5516014234875445,0.06642652445377013,0.061426524453770136,0.01571050492389836,0.05071601952987177,0.045716019529871775,32
