rebalance_date,hold_end,n_universe,n_with_signal,n_delisted,long_ret,short_ret,ls_ret,mkt_ret,ic,n_long,n_short
2015-01-01,2015-04-01,363,337,0,0.056805108431182,0.015005962682978845,0.07181107111416085,0.0368644551623505,0.092363468989301,68,68
2015-04-01,2015-07-01,362,345,2,-0.06502967529610776,-0.05715387806342328,-0.12218355335953104,0.013032347032042622,-0.13558833164471956,69,69
2015-07-01,2015-10-01,393,376,1,-0.21059497488678816,0.24034136787643423,0.02974639298964607,-0.17003327430587573,0.10359445833223753,76,76
2015-10-01,2016-01-01,426,407,1,0.05135614268319961,-0.06649762004974935,-0.015141477366549742,0.06704104484301107,-0.009533790642492728,82,82
2016-01-01,2016-04-01,414,387,1,-0.03525326221385813,-0.07364067318119066,-0.1088939353950488,0.012417543433762631,-0.14089543641443963,77,77
2016-04-01,2016-07-01,404,384,1,0.051338167537227704,-0.06135515492606153,-0.010016987388833824,0.06047608224292797,-0.004159320453589733,77,77
2016-07-01,2016-10-01,416,399,1,0.09000160887532915,-0.223410824543685,-0.13340921566835584,0.11718851843869335,-0.13376932914283154,80,80
2016-10-01,2017-01-01,389,378,1,0.018029189280167366,-0.03875557267364707,-0.020726383393479705,0.051154124185097585,-0.020043929831359393,76,76
2017-01-01,2017-04-01,386,369,1,0.01544207923388748,-0.15864607191820015,-0.14320399268431266,0.04300009182021422,-0.12330966079230221,74,74
2017-04-01,2017-07-01,406,391,1,0.017390106650508934,-0.05876501458617537,-0.041374907935666436,0.04710964267734021,-0.06769785856283538,79,79
2017-07-01,2017-10-01,430,405,2,0.06502906635247321,-0.04835753599669734,0.01667153035577587,0.059798346582183734,0.1429365479429883,81,81
2017-10-01,2018-01-01,392,379,2,0.05600405692898382,-0.04183106130621197,0.014172995622771849,0.03248067307308328,-0.02385549092238931,76,76
2018-01-01,2018-04-01,418,405,2,-0.030216815764599135,0.06705653235565619,0.03683971659105705,-0.010000799871656365,0.10534844945906742,81,81
2018-04-01,2018-07-01,431,422,2,0.20544237655560094,-0.14808681882070412,0.05735555773489681,0.14801180958175641,0.022805521538493134,85,85
2018-07-01,2018-10-01,444,433,2,0.027139437312847417,-0.0863514007722958,-0.05921196345944839,0.02162586898930913,-0.026928873563381497,87,87
2018-10-01,2019-01-01,428,423,3,-0.2589587316168911,0.27447476254201425,0.015516030925123159,-0.22201247805726296,0.024654556137843165,85,85
2019-01-01,2019-04-01,457,452,3,0.21400918182164191,-0.23828914709492152,-0.024279965273279608,0.1702793535852582,-0.11496362280774425,91,91
2019-04-01,2019-07-01,442,438,3,0.08650850587378964,0.030884377423401096,0.11739288329719073,-0.012838794148610607,0.1028913627854057,88,88
2019-07-01,2019-10-01,450,448,3,-0.10472613228506414,0.10402507500922786,-0.0007010572758362754,-0.06939739279367649,0.00926182063079955,90,90
2019-10-01,2020-01-01,447,444,3,0.1535154955792113,-0.18713790039551975,-0.03362240481630846,0.14864943031307376,-0.07733067251421699,89,89
2020-01-01,2020-04-01,420,418,3,-0.37202625546298024,0.41241893954933945,0.04039268408635921,-0.3759844002907361,0.10170872257559088,84,84
2020-04-01,2020-07-01,514,512,3,0.7309592122123204,-0.6430044681385926,0.08795474407372783,0.5133299027587741,0.028838105038839646,103,103
2020-07-01,2020-10-01,494,492,3,0.13619814036103953,-0.05275029903424598,0.08344784132679355,0.0858520705854475,-0.04248052751841198,99,99
2020-10-01,2021-01-01,491,489,3,0.303483819086102,-0.45965074005180456,-0.15616692096570256,0.3613871438827567,-0.1901919097114732,98,98
