rebalance_date,hold_end,n_universe,n_delisted,n_long,n_short,guard_fired,usable,ic_cluster,ic_naive,mkt_ret,ls_ret,ls_gross,ls_cost,ls_ba_cost,ls_borrow_cost,long_scale,short_scale,mean_beta_long,mean_beta_short,avg_turnover,sign_ok,mean_long_ret,mean_short_ret
2015-01-01,2015-04-01,361,0,50,182,False,True,0.07479734037728843,0.03705679454569685,0.037178660155379274,0.024840872260523207,0.05553536244718042,0.03069449018665722,0.02718293912022242,0.0035115510664348,0.9721424049204749,1.027857595079525,1.0334165957913672,0.9774000790835449,1.0,True,0.0968327532917393,0.037553707242816696
2015-04-01,2015-07-01,360,1,65,129,False,True,0.007261701652381853,-0.04963607884042938,0.011506345439762637,-0.034601366632365516,-0.01725212078865543,0.017349245843710094,0.014131134726897483,0.003218111116812609,1.056685591173003,0.9433144088269968,0.9200135366840136,1.0305843298916542,0.5280858676207514,False,0.0058002475115236565,0.02478617790689088
2015-07-01,2015-10-01,391,1,77,142,False,True,-0.04808919930068681,-0.03649910804572909,-0.17129319252963052,-0.07909058142126513,-0.06207614431102315,0.017014437110241955,0.013821426868361332,0.003193010241880621,1.0264031467244978,0.9735968532755022,0.9710902078326561,1.0237605449519018,0.5229559173221145,False,-0.1977136883159479,-0.14467775553411055
2015-10-01,2016-01-01,424,1,76,176,False,True,-0.03069522113225822,-0.06396293320014552,0.06685225723538354,-0.05431320949280794,-0.03487140019382731,0.019441809298980633,0.016089144409057284,0.0033526648899233494,0.9831939999075655,1.0168060000924346,1.0137182751142253,0.9802083441662893,0.5995813397129186,False,0.044019833882687154,0.07685973207977591
2016-01-01,2016-04-01,412,1,70,188,False,True,0.06659676823060333,0.09594151513172929,0.012316551191878558,0.05191201976545932,0.06825750249451938,0.016345482729060064,0.01291542633747943,0.0034300563915806315,1.00356180563883,0.9964381943611701,0.9868843575211267,0.9939396677037025,0.47621580547112463,True,0.05217392291090875,-0.015954573299931486
2016-04-01,2016-07-01,402,1,68,128,False,True,-0.048185322287080286,0.038284842080943904,0.059695372806958226,-0.05449674018668982,-0.03789776182161647,0.016598978365073347,0.013053076099810712,0.0035459022652626353,0.973844632564006,1.0261553674359942,1.0328582796385983,0.9802058477154348,0.49356617647058826,False,0.040046944297557285,0.0749372522101813
2016-07-01,2016-10-01,414,1,72,146,False,True,-0.056157177273663914,-0.028850206840809033,0.11767258142230523,-0.08976255610815095,-0.07146740882606249,0.01829514728208845,0.014890939049783062,0.0034042082323053886,1.0061543558386326,0.9938456441613674,0.9642772216799168,0.9762197304269645,0.5625,False,0.08423349397022845,0.15718668850587644
2016-10-01,2017-01-01,387,1,54,167,False,True,0.14079335627502945,0.0461273304964127,0.05076861445168253,0.05934156978904214,0.07785213574129915,0.018510565952257002,0.015152047008042846,0.0033585189442141574,1.033839871182889,0.966160128817111,0.9368935819360962,1.0025231958668825,0.5725770680860501,True,0.11960253613513651,0.04740180581232257
2017-01-01,2017-04-01,384,1,55,164,False,True,0.0057814894215340775,0.010443644320612854,0.042824776158783356,-0.023137595016183073,-0.004937483612043922,0.018200111404139144,0.014655367780423267,0.003544743623715879,1.0020018077789048,0.9979981922210953,1.0395894377468944,1.0437599026627025,0.5254434589800443,False,0.036919156173470954,0.04201465009291745
2017-04-01,2017-07-01,404,1,71,111,False,True,-0.03319270639389547,0.04314212753070975,0.04707856554716786,-0.05324533077165371,-0.03488451242318377,0.018360818348469945,0.014783137273023803,0.003577681075446142,0.9820918029450955,1.0179081970549044,1.0410154046797198,1.0043859540904934,0.5581778962060653,False,0.026541684374714394,0.0598785659259792
