rebalance_date,corr,n
2015-01-01,0.6517949134540633,337
2015-02-01,0.6351285160986285,342
2015-03-01,0.7024400625424639,347
2015-04-01,0.6457092685221499,345
2015-05-01,0.5665895136639081,359
2015-06-01,0.5893327140782273,361
2015-07-01,0.5861215578052058,376
2015-08-01,0.617271166736581,384
2015-09-01,0.6135732993945412,401
2015-10-01,0.6420820984203034,407
2015-11-01,0.6521967688293067,381
2015-12-01,0.7056724975578402,374
2016-01-01,0.7005425066696733,384
2016-02-01,0.623118031199371,402
2016-03-01,0.6998447501601268,391
2016-04-01,0.7274404192748978,384
2016-05-01,0.7060588610419206,385
2016-06-01,0.7631784191241344,385
2016-07-01,0.7733372884579105,399
2016-08-01,0.7121628505072531,396
2016-09-01,0.610492509243317,389
2016-10-01,0.6464126708147476,378
2016-11-01,0.5478249883671107,397
2016-12-01,0.4986724851573065,372
2017-01-01,0.5330456746039804,369
2017-02-01,0.5149706965667263,378
2017-03-01,0.48445233931693016,380
2017-04-01,0.4149980675570416,391
2017-05-01,0.45059310609149694,392
2017-06-01,0.4457891062377419,410
2017-07-01,0.4909652784101747,405
2017-08-01,0.5167937907142046,400
2017-09-01,0.5580748144221885,398
2017-10-01,0.6686129605852278,379
2017-11-01,0.5395469785797937,392
2017-12-01,0.4904684809602986,390
2018-01-01,0.5683347360217895,405
2018-02-01,0.5287317386521609,410
2018-03-01,0.5354374527450161,416
2018-04-01,0.5152040453433743,422
2018-05-01,0.5427860931874348,415
2018-06-01,0.5291140219939794,420
2018-07-01,0.4863173608472409,433
2018-08-01,0.4672059364471391,427
2018-09-01,0.537423814394048,416
2018-10-01,0.49350982717908554,423
2018-11-01,0.4562561637864884,435
2018-12-01,0.4902047521417429,436
2019-01-01,0.5957274088857296,452
2019-02-01,0.6237983349095981,432
2019-03-01,0.6083545682635207,417
2019-04-01,0.6343061126649295,438
2019-05-01,0.6195218500624632,441
2019-06-01,0.7311771725867224,472
2019-07-01,0.798415558345522,448
2019-08-01,0.7538852042495636,448
2019-09-01,0.7933960877875645,457
2019-10-01,0.7428539327799054,444
2019-11-01,0.7164706841761804,416
2019-12-01,0.6991736625055381,422
2020-01-01,0.6600942991543136,418
2020-02-01,0.6859354875776726,432
2020-03-01,0.6870195417940597,461
2020-04-01,0.47196400086018786,512
2020-05-01,0.7982124371168858,484
2020-06-01,0.7441566952501965,472
2020-07-01,0.7739133030523041,492
2020-08-01,0.7402104330071307,493
2020-09-01,0.5576041440232842,489
2020-10-01,0.5967298644258099,489
2020-11-01,0.5622334933863683,474
2020-12-01,0.5272933530071231,458
