rebalance_date,b_nearness,b_momentum,n
2015-01-01,0.0694767744730097,0.003816262272069465,337
2015-02-01,-0.10416970630347366,0.03653957601166971,342
2015-03-01,0.051211934489879665,-0.0008127007961835561,347
2015-04-01,-0.08866978445267015,-0.055626950558358514,345
2015-05-01,-0.023708689413236422,0.07049415603063927,359
2015-06-01,0.10320552402834196,-0.06558136728439169,361
2015-07-01,0.05525942275757673,0.0258706981434671,376
2015-08-01,0.010126153115318117,-0.019286738743219355,384
2015-09-01,0.16460924665654517,-0.048802905745594594,401
2015-10-01,-0.01822894579677802,0.05282112025087441,407
2015-11-01,-0.06147311263196146,0.06754669299961122,381
2015-12-01,0.023046353114223865,0.022436927864645562,374
2016-01-01,0.2050972082269217,-0.09829175562478659,384
2016-02-01,-0.036730062774692915,-0.11646894025091098,402
2016-03-01,-0.061974052829977894,0.006996146512119175,391
2016-04-01,-0.09469620999840381,-0.011543600150358373,384
2016-05-01,-0.011270919901262557,0.022411046554758184,385
2016-06-01,0.045207657097945574,0.03257667348512087,385
2016-07-01,-0.018431730062059445,0.01860427913977471,399
2016-08-01,-0.06771187809004736,-0.04993132720174587,396
2016-09-01,-0.10249753326498126,-0.002073413239189928,389
2016-10-01,0.04980617416287443,-0.01853960568692234,378
2016-11-01,0.018405212976564656,-0.03141622943970776,397
2016-12-01,0.027323223972416318,-0.014034632045521923,372
2017-01-01,-0.10416916289061609,0.07520227948366764,369
2017-02-01,-0.04729377831716277,-0.006678185083808828,378
2017-03-01,0.002066889186182648,-0.06602071268765633,380
2017-04-01,0.053796590952088955,-0.017170523289354096,391
2017-05-01,0.03857148034285691,-0.01986349313874869,392
2017-06-01,-0.026561436831733766,-0.02217910411962965,410
2017-07-01,0.03703824059392141,0.06597178292965253,405
2017-08-01,-0.028264407209342795,0.01566239324593209,400
2017-09-01,-0.08429119107542227,0.0620644855713297,398
2017-10-01,0.09228113484161893,-0.026223310709583968,379
2017-11-01,0.009402027026353838,0.012345638729099162,392
2017-12-01,-0.08978682921755823,0.04385683158226322,390
2018-01-01,-0.016285968894276654,0.07455019574051527,405
2018-02-01,0.003794015500232402,0.028211278239834072,410
2018-03-01,0.0464420802988606,-0.0031945283258480936,416
2018-04-01,-0.06475614721657923,0.026242169927752627,422
2018-05-01,-0.00028964180058529965,0.06467611320366866,415
2018-06-01,0.053062059519978166,-0.008655645102376291,420
2018-07-01,0.03530699463459836,0.010066108857956248,433
2018-08-01,-0.031733667114718644,0.04672043086700879,427
2018-09-01,-0.016820823013719545,-0.06502398090420639,416
2018-10-01,0.010845734278307958,-0.017394219458348216,423
2018-11-01,0.03103174612398794,-0.03444330665882938,435
2018-12-01,0.12943831407487566,0.00029098337399666163,436
2019-01-01,-0.07999911277271995,-0.0518408185490354,452
2019-02-01,-0.09109395778047014,0.043249727875421286,432
2019-03-01,-0.16880528641407372,0.20859886340436962,417
2019-04-01,0.046792606213009846,0.00010059336008931552,438
2019-05-01,0.02595720095152107,0.08884488320569459,441
2019-06-01,-0.06749694260338161,0.09743734817279474,472
2019-07-01,0.1312348448409912,-0.048729406056852095,448
2019-08-01,0.0636436263836346,-0.019605449161155232,448
2019-09-01,-0.022342163205854144,-0.048573028357368125,457
2019-10-01,0.04038568875385748,-0.004496070884377312,444
2019-11-01,-0.030859360068046113,-0.017379481620042374,416
2019-12-01,-0.06491859527769761,0.00017515450452175452,422
2020-01-01,-0.03635251077291869,0.13167421729535314,418
2020-02-01,-0.017417730758850208,0.02197776357631274,432
2020-03-01,0.08853765394656322,-0.042771432935697386,461
2020-04-01,-0.4387655751352083,0.14873761809659153,512
2020-05-01,-0.25096185183224773,0.09450939024743865,484
2020-06-01,-0.2835719919359562,0.1641687379727794,472
2020-07-01,-0.0381750960516962,0.15932024663442276,492
2020-08-01,-0.22013566514681265,-0.010379486428104406,493
2020-09-01,0.015171317021472112,0.049109220978054535,489
2020-10-01,0.03236823872494341,-0.03283237545969105,489
2020-11-01,-0.26888433043307575,-0.020853360410006738,474
2020-12-01,0.04074255404561056,-0.008931267352354555,458
