rebalance_date,hold_end,n_universe,n_with_signal,ls_ret,ls_gross,ls_cost,ls_ba_cost,ls_borrow_cost,long_scale,short_scale,mean_beta_long,mean_beta_short,avg_turnover,mkt_ret,ic,n_long,n_short
2015-01-01,2015-02-01,363,338,0.0016585800169233098,0.028918881530403853,0.027260301513480537,0.026365801304709238,0.0008945002087712969,1.345661180727969,0.654338819272031,0.7342278699011231,1.509954649234669,1.0,-0.04160153758668027,0.20456768513925733,68,68
2015-02-01,2015-03-01,361,342,-0.04647810012778756,-0.03726769616739717,0.009210403960390395,0.008217078751473992,0.000993325208916404,1.2909767921379875,0.7090232078620123,0.7479480083955983,1.361850373665716,0.2898550724637681,0.06422054397952677,-0.1671820370177187,69,69
2015-03-01,2015-04-01,364,347,0.02099110537251972,0.03088499172562091,0.009893886353101195,0.008906633937079059,0.0009872524160221359,1.2918375523289067,0.708162447671093,0.7626593170150068,1.391251327422962,0.3214285714285714,0.003548387819190466,0.10253975983513917,70,70
2015-04-01,2015-05-01,362,346,-0.11651663854098282,-0.10442832635349197,0.012088312187490848,0.01080789204809383,0.001280420139397018,1.0781203964460004,0.9218796035539996,0.9349996914868743,1.0934640859571534,0.39285714285714285,-0.0012198462094795573,-0.27538350266223566,70,70
2015-05-01,2015-06-01,371,359,0.01618850738897446,0.026953649159478944,0.010765141770504484,0.009497496215458704,0.00126764555504578,1.051901862606684,0.9480981373933159,0.906168890668356,1.005381939206198,0.375,0.010437092713241216,0.1364536459484856,72,72
2015-06-01,2015-07-01,376,361,0.04137510221539524,0.05119479821712859,0.009819696001733352,0.008260826575888997,0.001558869425844355,0.8738165226321266,1.1261834773678736,1.0453071897335697,0.8110638381502197,0.32191780821917804,0.00158974409441369,0.17691285125014306,73,73
2015-07-01,2015-08-01,393,377,0.030602033983405143,0.04161661196837042,0.011014577984965286,0.009770026161977686,0.0012445518229875993,1.1090125749681834,0.8909874250318166,0.8880979229848049,1.1054160100610886,0.35526315789473684,-0.03951065247260145,0.17646544052921523,76,76
2015-08-01,2015-09-01,396,384,-0.034681505080574604,-0.02428818388899101,0.01039332119158359,0.009176296307222668,0.0012170248843609223,1.1247238236694423,0.8752761763305575,0.8700450637281644,1.1180018802105505,0.35064935064935066,-0.07096956614793327,-0.011769938822059518,77,77
2015-09-01,2015-10-01,419,402,0.057008839227731554,0.06640778533371253,0.009398946105980969,0.008410093458261523,0.0009888526477194464,1.2804285459877378,0.7195714540122622,0.7513871567277367,1.3370424287931262,0.2901234567901234,-0.05912276373395171,0.3206259712629017,81,81
2015-10-01,2015-11-01,426,407,0.10355511463156289,0.1125708864301464,0.00901577179858349,0.008091770031996568,0.000924001766586921,1.323985094076585,0.6760149059234153,0.716468690198709,1.4032144230605619,0.28658536585365857,0.08217387948895631,-0.13241145281395647,82,82
