sic_major_group,contribution
28,0.11901933909840018
35,0.06982188327847709
10,0.061679539785461396
36,0.058513616098588746
33,0.044071644824335614
48,0.035142383612620426
14,0.03438236386211129
70,0.032068473413313404
50,0.02070329685393007
87,0.02064652179954808
82,0.019766476724494535
12,0.019522774656316043
44,0.01763075691962429
16,0.016406596325293996
79,0.016338403974554487
31,0.015308326562767854
57,0.01467988313281286
24,0.012247961948095834
47,0.010962981203245275
53,0.0053961573381440045
23,0.0053847175033022
27,0.005230713912550602
51,0.0044023570130542295
45,0.003413433501193213
55,0.0030802956860680425
22,0.002670686956960996
42,0.0021882687531318214
58,0.0020357885325565208
2,0.0019141961937033996
1,0.0008342002328370218
56,9.872625611259591e-05
32,-0.00011007411829513762
29,-0.0002065950735296116
54,-0.0012323617071343129
78,-0.0014747943354213027
72,-0.002590213096417244
17,-0.0029685673138886886
21,-0.0031441824127766043
81,-0.003163395591921712
20,-0.006703313836611324
38,-0.007655669669164125
30,-0.008275002690336661
49,-0.013013029615231576
39,-0.014464629152835732
13,-0.01672026546365335
34,-0.0177022128359052
26,-0.019166051223880553
59,-0.02544476259262355
25,-0.02941372699687883
15,-0.04002379838701143
52,-0.04267479453048299
80,-0.09379727520453066
37,-0.10358808914237945
73,-0.13434803943708534
