rebalance_date,hold_end,n_universe,n_with_signal,n_delisted,pct_dropped,long_ret,short_ret,ls_ret,ls_gross,ls_cost,ls_ba_cost,ls_borrow_cost,long_scale,short_scale,mean_beta_long,mean_beta_short,long_turnover,short_turnover,avg_turnover,mkt_ret,ic,n_long,n_short,guard_fired,mean_growth_long,mean_growth_short,sign_ok
2015-01-01,2015-04-01,361,358,0,0.8310249307479224,0.011627483535915294,-0.1134695464750893,-0.09469404877378963,-0.06160430724009422,0.03308974153369541,0.029449788626696997,0.003639952906998415,1.057139759151401,0.9428602408485991,1.0027676484720567,1.124308253189762,1.0,1.0,1.0,0.037178660155379274,0.07631155977742554,72,72,False,-0.13482495063470196,1.5186646553760441,True
2015-04-01,2015-07-01,360,358,1,0.5555555555555556,-0.017368294426638793,-0.04499359344169185,-0.06099951925869192,-0.04685252946232599,0.014146989796365923,0.010464400637145523,0.0036825891592204016,1.0493159769563534,0.9506840230436466,0.987834882377913,1.0903211788028075,0.4027777777777778,0.2916666666666667,0.3472222222222222,0.011506345439762637,0.0341078838282796,72,72,False,-0.15018909823097992,1.430599965676681,True
2015-07-01,2015-10-01,391,385,1,1.5345268542199488,-0.20893625923086023,0.19962704481548343,-0.022577973373263283,-0.007951331022592323,0.014626642350670953,0.011153646467304719,0.0034729958833662347,1.0324766292676677,0.9675233707323324,1.0892453527428398,1.162370237521144,0.36363636363636365,0.4025974025974026,0.38311688311688313,-0.17129319252963052,0.01047204091245542,77,77,False,-0.15050864504822703,1.855424219228414,True
2015-10-01,2016-01-01,424,405,1,4.481132075471698,0.09518883344389621,-0.06576022353259013,0.04635327732916293,0.059534968997323266,0.013181691668160338,0.009953221935284622,0.0032284697328757166,1.1051554307667018,0.8948445692332982,1.0431725895652746,1.2883442468369704,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.06685225723538354,-0.0012879777886152983,81,81,False,-0.17458663870620234,14.684233630645258,True
2016-01-01,2016-04-01,412,411,1,0.24271844660194175,0.07177457282821421,0.09802547543353128,0.16946592997761156,0.18317362554071479,0.013707695563103209,0.009921922551737846,0.0037857730113653623,1.0127278779384237,0.9872721220615763,1.1319599788361985,1.1611463563705358,0.25609756097560976,0.4146341463414634,0.33536585365853655,0.012316551191878558,-0.2206618226148139,82,82,False,-0.18937472681637818,16.34968665054039,True
2016-04-01,2016-07-01,402,401,1,0.24875621890547264,0.0869013717224839,-0.04773984730957087,0.03847544594935253,0.05039957255875141,0.011924126609398875,0.008090039392938871,0.003834087216460004,0.9949043950397006,1.0050956049602993,1.2553672149974542,1.2426383653712718,0.275,0.275,0.275,0.059695372806958226,-0.1252247256229202,80,80,False,-0.18813576263551196,2.107775165217916,True
2016-07-01,2016-10-01,414,411,1,0.7246376811594203,0.17362774996549174,-0.14775373874954878,0.0064244206702865625,0.01971938841777421,0.013294967747487637,0.009363648287009162,0.003931319460478476,0.9394812979944164,1.0605187020055837,1.2304118383236025,1.0899844658560938,0.2926829268292683,0.34146341463414637,0.3170731707317073,0.11767258142230523,0.018242785027237394,82,82,False,-0.21909818683397705,2.509605016835866,True
2016-10-01,2017-01-01,387,382,1,1.2919896640826873,0.04012664080795638,-0.00798244001702737,0.030278383983499822,0.04335692993693275,0.013078545953432927,0.009199477350033007,0.0038790686033999206,0.9612169516558245,1.0387830483441758,1.2323899474225963,1.1403671925539,0.3026315789473684,0.32894736842105265,0.3157894736842105,0.05076861445168253,-0.04245769041894803,76,76,False,-0.21377172559777882,0.8823627572844237,True
2017-01-01,2017-04-01,384,384,1,0.0,0.08871766042946318,-0.09361403138759357,-0.01601008810654557,-0.0018373789494981335,0.014172709157047419,0.010363160031249595,0.003809549125797825,0.9390467063752901,1.06095329362471,1.3323272481745847,1.1792390124338068,0.3246753246753247,0.38961038961038963,0.35714285714285715,0.042824776158783356,0.07796712498244936,77,77,False,-0.21305573304061448,0.7968608228632875,True
2017-04-01,2017-07-01,404,403,1,0.24752475247524752,-0.015994121057714254,-0.09420491653821694,-0.11252606174720811,-0.09758363461912598,0.014942427128082138,0.01128863992480673,0.0036537872032754073,0.9702467653348821,1.0297532346651177,1.143563955720931,1.077480693083353,0.3950617283950617,0.38271604938271603,0.38888888888888884,0.04707856554716786,0.18148845995910037,81,81,False,-0.18636183233272788,0.5874423041464427,True
2017-07-01,2017-10-01,428,419,2,2.102803738317757,0.04983657560622881,-0.09186382683533843,-0.0431153207310997,-0.029412866643151785,0.013702454087947916,0.010218327460549879,0.0034841266273980373,0.9923213379549943,1.0076786620450056,1.0867077833727126,1.0701460318451734,0.36904761904761907,0.34523809523809523,0.35714285714285715,0.05924516301675565,0.07465857766458535,84,84,False,-0.1700816493075053,0.7764390019980348,True
2017-10-01,2018-01-01,390,382,2,2.051282051282051,0.018333281812003485,-0.009312187402425825,0.009417835630046008,0.022222810967889958,0.012804975337843947,0.009325784021661027,0.0034791913161829192,1.0143510394918989,0.9856489605081012,1.0932256610466673,1.1250603715041314,0.2894736842105263,0.3684210526315789,0.32894736842105265,0.0318429356842954,0.010158040757145841,76,76,False,-0.17234071584403224,0.6892251643679171,True
2018-01-01,2018-04-01,417,415,2,0.47961630695443647,0.020132152083319862,0.030885452816466735,0.05134109119285814,0.06683193600044798,0.015490844807589856,0.011818289182659505,0.0036725556249303506,0.9699174884903583,1.030082511509642,1.145931546495775,1.0790000171249883,0.4457831325301205,0.37349397590361444,0.40963855421686746,-0.010000799871656365,-0.08252646685389704,83,83,False,-0.1589215360159137,0.9473656178647982,True
2018-04-01,2018-07-01,429,428,2,0.2331002331002331,0.15792571983643017,-0.15347434686842765,0.002616884015131271,0.016558679056739245,0.013941795041607934,0.010231485729632697,0.0037103093119752375,0.9941088999360751,1.005891100063925,1.1357218837444192,1.1224189501336088,0.4186046511627907,0.29069767441860467,0.3546511627906977,0.14755012213898547,-0.043870865118133505,86,86,False,-0.1596459764856813,1.0561666458886445,True
2018-07-01,2018-10-01,442,438,2,0.9049773755656109,-0.017167449767825433,-0.02302515346370783,-0.04033382477871135,-0.024433579172291758,0.015900245606419595,0.012143712790821186,0.003756532815598411,0.9758913126183965,1.0241086873816034,1.1139937051090394,1.061544338528204,0.42045454545454547,0.4090909090909091,0.4147727272727273,0.021529261515332385,-0.037007842964279815,88,88,False,-0.15314529344795544,1.627962219315262,True
2018-10-01,2019-01-01,426,420,3,1.408450704225352,-0.19567192231179573,0.26524311713602167,-0.041800830033460024,-0.028549832629737565,0.013250997403722474,0.01039658713476546,0.002854410268957014,1.2416324383580783,0.7583675616419218,0.8778633282492433,1.437276117717049,0.40476190476190477,0.2976190476190476,0.35119047619047616,-0.22201243352719388,-0.15070955284893547,84,84,False,-0.14366947205590422,1.2981108108888086,True
2019-01-01,2019-04-01,455,455,3,0.0,0.20481942209556966,-0.204336955868084,0.04999289852929892,0.06436197692001328,0.01436907839071435,0.01107049734940016,0.00329858104131419,1.1210061359625472,0.8789938640374526,0.9977978093034301,1.2725202216331666,0.38461538461538464,0.37362637362637363,0.3791208791208791,0.17053053657903,0.0478372883825052,91,91,False,-0.13802066131122925,1.5484419802602243,True
2019-04-01,2019-07-01,440,440,3,0.0,-0.04046314182791863,-0.0001110261192758949,-0.041701677780753954,-0.027088383425424044,0.014613294355329917,0.011186548046437029,0.0034267463088928883,1.027941777370497,0.9720582226295027,1.1650165846532317,1.231993301239734,0.38636363636363635,0.4090909090909091,0.3977272727272727,-0.01236953985797984,0.01773879053133575,88,88,False,-0.15371673483984305,1.2527843730386914,True
2019-07-01,2019-10-01,448,447,3,0.22321428571428573,-0.09465027452737897,0.11684779029419466,0.029342983519450305,0.04642577890529907,0.01708279538584878,0.013199911702692965,0.003882883683155818,0.9662149733678995,1.0337850266321007,1.0951123303989043,1.0235338139868349,0.4444444444444444,0.45555555555555555,0.44999999999999996,-0.06853629721579911,-0.11084292223718983,90,90,False,-0.1467176526334912,1.332987817002449,True
2019-10-01,2020-01-01,445,440,3,1.1235955056179776,0.20269166896317287,-0.19512920988082194,-0.007741273792629455,0.005936105859050883,0.013677379651680328,0.00984074634710479,0.0038366333045755374,0.961531096810578,1.0384689031894219,1.1261356530105422,1.0427028159159162,0.36363636363636365,0.32954545454545453,0.34659090909090906,0.14899350121645746,-0.03522177778737544,88,88,False,-0.13383833960483313,1.0402526469799163,True
2020-01-01,2020-04-01,418,418,3,0.0,-0.38943705977089066,0.38875868687026105,0.07929530956394237,0.09380170239279118,0.014506392828848778,0.010536614335972564,0.003969778492876213,0.8972319203622554,1.1027680796377446,1.314104316199613,1.0691788789964098,0.40476190476190477,0.3333333333333333,0.36904761904761907,-0.37511731337168475,-0.024657648843746334,84,84,False,-0.17002617822242083,1.059899782788512,True
2020-04-01,2020-07-01,512,512,3,0.0,0.5366927280741924,-0.6954401856594278,-0.12352660041930541,-0.10530779256342926,0.01821880785587613,0.014495475058960776,0.003723332796915354,1.0285852741805293,0.9714147258194707,0.9935776559452463,1.0520525564382015,0.4854368932038835,0.46601941747572817,0.47572815533980584,0.5094513015429641,0.13316598556854858,103,103,False,-0.13016017601865043,1.3600816035545458,True
2020-07-01,2020-10-01,492,492,3,0.0,0.0353490071576263,-0.11220667351221361,-0.08675802781551413,-0.068939770132766,0.01781825768274812,0.0138353029542832,0.00398295472846492,0.9329042337375058,1.0670957662624942,0.9947254235443376,0.8696347491669946,0.4444444444444444,0.45454545454545453,0.4494949494949495,0.08638872390757436,0.07146501819878313,99,99,False,-0.22964897610547785,1.2914385031287023,True
2020-10-01,2021-01-01,489,486,3,0.6134969325153374,0.34731897794927247,-0.3312177953310531,-0.1013205657163534,-0.085080148167681,0.016240417548672406,0.01190639660223913,0.004334020946433275,0.8269485856058947,1.1730514143941053,1.2652541119878364,0.8919473481738307,0.41237113402061853,0.3917525773195876,0.4020618556701031,0.3605908060628444,-0.11635174288842146,97,97,False,-0.22286201769941238,1.22403850049142,True
