rebalance_date,hold_end,n_universe,n_delisted,mkt_ret,pct_dropped,orig_ls_ret,orig_ls_gross,orig_ls_cost,orig_ls_ba_cost,orig_ls_borrow_cost,orig_long_scale,orig_short_scale,orig_mean_beta_long,orig_mean_beta_short,orig_avg_turnover,orig_ic,orig_n_long,orig_n_short,orig_long_hhi,orig_short_hhi,orig_long_top_share,orig_short_top_share,orig_long_n_sectors,orig_short_n_sectors,orig_mean_sig_long,orig_mean_sig_short,in_ls_ret,in_ls_gross,in_ls_cost,in_ls_ba_cost,in_ls_borrow_cost,in_long_scale,in_short_scale,in_mean_beta_long,in_mean_beta_short,in_avg_turnover,in_ic,in_n_long,in_n_short,in_long_hhi,in_short_hhi,in_long_top_share,in_short_top_share,in_long_n_sectors,in_short_n_sectors,in_mean_sig_long,in_mean_sig_short
2015-01-01,2015-04-01,354,0,0.04062231227578676,25.141242937853107,0.017947329771767405,0.04766001319411979,0.02971268342235239,0.02681004925452937,0.0029026341678230214,1.1677358404957219,0.832264159504278,0.7724343270041921,1.0837896090698487,1.0,0.09323501721714236,53,53,0.06443574225703097,0.0893556425774297,0.11320754716981132,0.16981132075471697,24,21,0.7602739038560934,0.08569502807269726,0.07168332064298043,0.10192741110650647,0.03024409046352604,0.026905530438524713,0.003338560025001328,1.0849922579764555,0.9150077420235446,0.861194748383571,1.021182217037583,1.0,0.06939808357357986,53,53,0.06657173371306516,0.07582769668921324,0.1320754716981132,0.1509433962264151,22,24,0.9279836544468383,0.1281214309940513
2015-04-01,2015-07-01,349,1,0.010961045793605994,24.355300859598852,0.0038500898034578603,0.012169093590949986,0.008319003787492125,0.004834968175216749,0.003484035612275377,1.032609421471612,0.9673905785283882,0.8884359011640537,0.9483318343984702,0.17924528301886794,0.03608710680954026,53,53,0.06728373086507654,0.12566749733001065,0.1320754716981132,0.2830188679245283,25,18,0.7634317303411877,-0.025286216244797828,0.023876279148393346,0.03456887282664321,0.01069259367824987,0.007060075818827584,0.003632517859422286,1.0156398247404577,0.9843601752595421,0.8959936888663393,0.9244653491683849,0.2641509433962264,0.07517025147474694,53,53,0.06799572801708795,0.0715557137771449,0.1320754716981132,0.1320754716981132,23,22,0.9263346295560313,0.12671594634947936
2015-07-01,2015-10-01,390,1,-0.16984186551347985,25.897435897435898,0.014354886200515532,0.024172852760030117,0.009817966559514571,0.006404792200838608,0.003413174358675963,1.0782130556384504,0.9217869443615497,0.9527284835953026,1.1144053360427781,0.2327586206896552,0.11147933818557851,58,58,0.07669441141498216,0.12366230677764567,0.1896551724137931,0.25862068965517243,24,17,0.7681316192708674,0.07584367860183235,0.03969975066405107,0.050710538859984,0.011010788195932934,0.007625330290926663,0.003385457905006271,1.0706605975648809,0.9293394024351191,0.8632451229745262,0.994515606232891,0.28448275862068967,0.08964439643591775,58,58,0.06123662306777646,0.07074910820451842,0.1206896551724138,0.13793103448275862,26,25,0.9304482898108969,0.1309121544171358
2015-10-01,2016-01-01,417,1,0.06033882734284373,24.46043165467626,-0.02017008597408248,-0.010038745837695422,0.010131340136387055,0.006848388377988075,0.0032829517583989796,1.1465780576308118,0.8534219423691883,0.8848841389902151,1.1888477281180632,0.24603174603174602,-0.023272789539473045,63,63,0.07634164777021919,0.10456034265558076,0.19047619047619047,0.2222222222222222,25,18,0.7583501973642741,0.07778541187337665,-0.0009869275468872493,0.010407791048351819,0.011394718595239066,0.007989386753454057,0.003405331841785009,1.0794973061192004,0.9205026938807995,0.9423846722615112,1.1051588678631965,0.2936507936507936,-0.02412342195444049,63,63,0.06324011085915848,0.07382212144116906,0.12698412698412698,0.14285714285714285,26,25,0.9293496573955913,0.1294303560427083
2016-01-01,2016-04-01,397,1,0.019270216517010434,26.448362720403022,0.01688881889189891,0.024364780248049424,0.007475961356150523,0.0044175264449856436,0.0030584349111648793,1.2008098972336005,0.7991901027663997,0.8678066030418109,1.3039084871173265,0.1610169491525424,0.03119056230984376,59,59,0.06750933639758691,0.14392415972421718,0.13559322033898305,0.3050847457627119,24,16,0.7569375511590751,0.0851381792388441,-0.0066437988472986195,0.0033978149931776364,0.010041613840476247,0.006715172015845447,0.003326441824630801,1.1296213300094367,0.8703786699905636,0.9095365098844764,1.1804423493041052,0.2457627118644068,-0.0006022307436746462,59,59,0.062338408503303654,0.07555300201091643,0.11864406779661017,0.13559322033898305,25,23,0.9280795964494869,0.13026839118563943
2016-04-01,2016-07-01,401,1,0.06227187926225437,24.189526184538654,-0.10504208423774211,-0.09644524073174576,0.008596843505996363,0.005725349716155842,0.002871493789840521,1.2175205691573623,0.7824794308426379,0.8419243428130552,1.3100155283894432,0.21311475409836067,-0.13731846257675887,61,61,0.08519215264713785,0.12442891695780704,0.19672131147540983,0.26229508196721313,22,17,0.7562075126612408,0.0848796016763408,-0.11321753935968336,-0.10380029829611898,0.009417241063564381,0.006350128324432736,0.0030671127391316447,1.143967853058514,0.856032146941486,0.8439042374264425,1.1277605895117158,0.2459016393442623,-0.09178788724423173,61,61,0.06046761623219564,0.0787422735823703,0.11475409836065574,0.13114754098360656,25,23,0.9276044365475973,0.12833901510384255
2016-07-01,2016-10-01,411,1,0.11952659196592552,26.7639902676399,-0.06745640948173377,-0.05963430677930623,0.007822102702427523,0.0047759470432536515,0.0030461556591738726,1.1620430242696644,0.8379569757303353,0.8598085371364435,1.1923458384198027,0.175,-0.08635675648768677,60,60,0.09444444444444447,0.16555555555555554,0.2,0.3333333333333333,20,16,0.8250448638903674,0.07690803179559458,-0.051636244448263646,-0.04108091851899462,0.01055532592926904,0.007244376475969629,0.0033109494532994103,1.1386042239483598,0.8613957760516401,0.8465189545413601,1.1189398463399942,0.2583333333333333,-0.043734704592131586,60,60,0.06444444444444446,0.07555555555555556,0.11666666666666667,0.13333333333333333,23,24,0.9264807094259334,0.12599869135600836
2016-10-01,2017-01-01,388,1,0.0529380681580842,27.061855670103093,-0.021371961763360106,-0.01525961649043481,0.006112345272925298,0.0030383659217421925,0.0030739793511831053,1.183407991140576,0.8165920088594238,0.9198975282422897,1.3331187106189206,0.11403508771929824,-0.08726851161293102,57,57,0.08033240997229915,0.16281932902431512,0.15789473684210525,0.3157894736842105,21,14,0.8505009890283437,0.0793865672623535,-0.0416445329921983,-0.03263498435300252,0.009009548639195774,0.005833484804817227,0.003176063834378547,1.1469791926133481,0.8530208073866516,0.9017563880125544,1.212509477963707,0.21052631578947367,-0.10247250043998253,57,57,0.06617420744844565,0.07048322560787934,0.12280701754385964,0.12280701754385964,23,24,0.9274577502679169,0.12870282865001165
2017-01-01,2017-04-01,382,1,0.04154972143995191,28.79581151832461,-0.02420845002552376,-0.015379225955037028,0.008829224070486728,0.005692791318916793,0.003136432751569934,1.1365745195145527,0.8634254804854473,0.856696475245098,1.1277167592668924,0.2,0.027969824895034395,55,55,0.08892561983471074,0.13520661157024794,0.2,0.2727272727272727,20,17,0.8124914510697692,0.0748730332533064,0.005489385183096964,0.01609562561830267,0.010606240435205704,0.007163690987507257,0.0034425494476984465,1.0616976324894596,0.9383023675105402,0.8463395240409686,0.957640841662332,0.2636363636363636,0.07605717504078874,55,55,0.0677685950413223,0.07239669421487602,0.12727272727272726,0.12727272727272726,22,24,0.9265036584551058,0.12848972945966303
2017-04-01,2017-07-01,401,1,0.047920009468845434,25.935162094763093,0.03427396233743627,0.04376262200761735,0.009488659670181079,0.006447715548681895,0.003040944121499184,1.1321530274616627,0.8678469725383374,0.9183700491856296,1.1980630968551267,0.24166666666666667,0.08363920553200477,60,60,0.08444444444444445,0.1505555555555555,0.18333333333333332,0.3333333333333333,21,21,0.8197548521256712,0.07957906533115615,0.021492761409325364,0.03435067244806933,0.012857911038743978,0.009476363871615512,0.0033815471671284664,1.0764513711029169,0.923548628897083,0.9460992511633735,1.1027354751535736,0.3416666666666667,0.042017808832323617,60,60,0.06222222222222223,0.0688888888888889,0.11666666666666667,0.13333333333333333,25,28,0.929266522161259,0.13055727720201404
2017-07-01,2017-10-01,427,2,0.05832802710766809,26.229508196721312,-0.008140932619714075,0.0002216380861776862,0.008362570705891761,0.00524379386567451,0.003118776840217251,1.1090293401588553,0.8909706598411445,0.8903127700105384,1.1082104365095877,0.19047619047619047,-0.03452960281731621,63,63,0.08238851095993956,0.13076341647770215,0.1746031746031746,0.2857142857142857,22,21,0.8492928706520434,0.05948541585158534,-0.017648000615792234,-0.006172821605210439,0.011475179010581805,0.007976463806628895,0.0034987152039529104,1.0366198779900964,0.9633801220099039,0.9727382047231045,1.0466893971121438,0.2857142857142857,-0.04676401406907615,63,63,0.06072058453010833,0.06676744771982868,0.1111111111111111,0.12698412698412698,25,27,0.9283558213331499,0.1285147171350852
2017-10-01,2018-01-01,396,2,0.025985928204953417,25.505050505050505,0.0750136063309601,0.08300250452106839,0.007988898190108298,0.0045569640061388725,0.0034319341839694267,1.0488718922204663,0.9511281077795338,0.9676193053011738,1.0670578268049096,0.1610169491525424,0.15054041441314558,59,59,0.09508761850043093,0.12726228095374895,0.2033898305084746,0.288135593220339,20,20,0.8862089651174481,0.06632137334023586,-0.006393505647107139,0.003763981532049515,0.010157487179156648,0.006362016120806106,0.0037954710583505405,0.970297631426168,1.0297023685738322,0.9930413670127387,0.9357516460365175,0.2288135593220339,0.12090042500356935,59,59,0.0606147658718759,0.0709566216604424,0.11864406779661017,0.13559322033898305,24,25,0.9288425285581258,0.12832040837175201
2018-01-01,2018-04-01,417,2,-0.011015461506370077,26.139088729016787,0.05025329366325054,0.05833132903677181,0.008078035373521263,0.004608951659649484,0.00346908371387178,1.048084628075543,0.9519153719244569,0.9622675262210811,1.0594826305721547,0.16935483870967744,0.14063974219004444,62,62,0.08480749219562954,0.13319458896982314,0.1774193548387097,0.3064516129032258,21,20,0.8483480274695008,0.06703868946107322,0.052284497173504946,0.06255572834836512,0.010271231174860172,0.006684278654461832,0.00358695252039834,1.031766418816174,0.9682335811838261,0.9168631337052734,0.9770251831701983,0.24193548387096775,0.08880876122090814,62,62,0.06451612903225806,0.07232049947970863,0.12903225806451613,0.14516129032258066,24,26,0.929090615179325,0.12997737029995096
2018-04-01,2018-07-01,429,2,0.15144740909510424,25.174825174825173,0.08862696659507746,0.09852234737128242,0.009895380776204958,0.00628730988116101,0.0036080708950439484,1.052532133344821,0.947467866655179,0.9865917700752694,1.0959944680379206,0.2230769230769231,0.12294606011606507,65,65,0.0844970414201184,0.14792899408284022,0.18461538461538463,0.3230769230769231,21,20,0.8250285304675834,0.053149190901470696,0.11988101758181387,0.1302711978705713,0.010390180288757413,0.006634485798248739,0.003755694490508675,1.0094086373085982,0.9905913626914016,1.025844843455023,1.0453317932316504,0.23846153846153847,0.09645702357601035,65,65,0.06508875739644972,0.08118343195266275,0.12307692307692308,0.15384615384615385,25,26,0.9287544119825573,0.13041023571988664
2018-07-01,2018-10-01,444,2,0.022580589382359052,27.47747747747748,0.1287338426940137,0.1374999159437009,0.008766073249687195,0.005174917695954311,0.003591155553732885,1.0191680273105208,0.9808319726894792,0.9899990377949816,1.0286933893704298,0.19230769230769232,0.13837197192361642,65,65,0.07550295857988168,0.1327810650887574,0.18461538461538463,0.3076923076923077,26,20,0.857429231022475,0.05077484253466713,0.10100485792230535,0.1122519017198775,0.011247043797572144,0.007623817538450248,0.0036232262591218956,0.984467877408804,1.015532122591196,0.982285257048861,0.9522380045935114,0.2846153846153846,0.12313939561010062,65,65,0.06177514792899409,0.07739644970414203,0.12307692307692308,0.13846153846153847,26,26,0.9303026367616368,0.13162475092504888
2018-10-01,2019-01-01,428,3,-0.22230761876606714,26.635514018691588,0.09697781089751667,0.10531939022563233,0.00834157932811569,0.004720384573101447,0.003621194755014243,0.9855431911626525,1.0144568088373476,0.977041132898655,0.9491939209493762,0.1746031746031746,0.17686406529549797,63,63,0.08138070042831946,0.12673217435122192,0.20634920634920634,0.30158730158730157,24,22,0.8637674396316865,0.062207982470388445,0.10799017140928358,0.11733928635071963,0.009349114941436054,0.005630350342080407,0.0037187645993556474,0.9145100908475223,1.0854899091524777,1.0629345737894123,0.8955075357633592,0.21428571428571427,0.16434411416517755,63,63,0.06475182665658856,0.07533383723859914,0.12698412698412698,0.14285714285714285,25,26,0.9286704159613804,0.12842369702623788
2019-01-01,2019-04-01,465,3,0.1615114131927857,24.086021505376344,-0.018698782250082507,-0.009379383902588384,0.0093193983474941,0.005510983194637273,0.0038084151528568278,0.9899329508542672,1.0100670491457326,0.973750082095913,0.9543399054340536,0.1971830985915493,-0.07906217665594292,71,71,0.07359650862924022,0.09660781590954175,0.18309859154929578,0.23943661971830985,26,25,0.848201182208867,0.07255870535147048,-0.04563857920598151,-0.034540688191569496,0.011097891014412015,0.007253459070484608,0.0038444319439274064,0.9568225696694972,1.0431774303305028,1.0217935181826905,0.9372088307445915,0.2605633802816901,-0.05249445358353225,71,71,0.055346161475897646,0.06883554850228127,0.11267605633802817,0.14084507042253522,29,29,0.9307713290145928,0.13151067310589662
2019-04-01,2019-07-01,438,3,-0.02086862159458397,24.65753424657534,0.015039709004782534,0.0226369438461808,0.007597234841398263,0.0038938354890791027,0.00370339935231916,1.0415528672820062,0.9584471327179938,0.9566820462620967,1.0396347324194952,0.13636363636363635,0.05932687079745061,66,66,0.07208448117539028,0.14003673094582192,0.16666666666666666,0.3333333333333333,25,22,0.9237293060294417,0.06094887458868091,0.03066507079304121,0.04032775524110383,0.009662684448062613,0.005849884856212943,0.003812799591849669,0.9910980935822391,1.0089019064177611,1.00412567335944,0.9864061453873801,0.20454545454545453,0.11017721483433598,66,66,0.060606060606060594,0.07162534435261707,0.12121212121212122,0.15151515151515152,28,27,0.9275428087094585,0.12692862819987938
