member,reference,construction,sector_group,entry_date,exit_date,holding_days,exit_reason,direction,entry_z,trade_pnl,trade_gross,trade_cost,profitable
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-03-02,2016-03-09,5,time_forced,long_m_short_ref,-3.1650503148613724,0.31755160971337865,0.3519439701874138,0.03439236047403517,True
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-03-17,2016-03-24,5,time_forced,long_m_short_ref,-2.685891928440554,-0.08671771697690207,-0.05232535650286691,0.03439236047403517,False
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-03-28,2016-04-04,5,time_forced,long_m_short_ref,-2.8931718627908043,0.004490347930865745,0.03888270840490091,0.03439236047403517,True
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-04-05,2016-04-12,5,time_forced,long_m_short_ref,-2.684383453024184,-0.06325802572523792,-0.028865665251202745,0.03439236047403517,False
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-04-13,2016-04-20,5,time_forced,long_m_short_ref,-3.178924298607807,-0.0213308846908368,0.01306147578319837,0.03439236047403517,False
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-04-21,2016-04-28,5,time_forced,long_m_short_ref,-2.9949782524928548,-0.016094769391940038,0.01829759108209513,0.03439236047403517,False
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-04-29,2016-05-06,5,time_forced,long_m_short_ref,-3.082180574290145,-0.04661771850224302,-0.012225358028207851,0.03439236047403517,False
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-05-09,2016-05-16,5,time_forced,long_m_short_ref,-3.1829789011067335,-0.0579300733435811,-0.02353771286954593,0.03439236047403517,False
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-05-17,2016-05-24,5,time_forced,long_m_short_ref,-3.355941943874437,-0.12862866749770327,-0.09423630702366809,0.03439236047403517,False
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-05-25,2016-06-02,5,time_forced,long_m_short_ref,-3.457787184497345,0.020492253571750975,0.054884614045786144,0.03439236047403517,True
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-06-03,2016-06-10,5,time_forced,long_m_short_ref,-3.203321932061387,0.051882471472958436,0.08627483194699359,0.03439236047403517,True
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-06-13,2016-06-20,5,time_forced,long_m_short_ref,-2.8355460930756022,-0.00302362511890558,0.03136873535512959,0.03439236047403517,False
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-06-21,2016-06-28,5,time_forced,long_m_short_ref,-2.884255482202664,-0.008989385395960559,0.02540297507807461,0.03439236047403517,False
