date,book_net,book_gross,book_cost,n_open
2016-01-04,-0.014050246068631578,0.0,0.014050246068631578,1
2016-01-05,-0.017307394108047408,-0.011844770882561612,0.0054626232254857965,2
2016-01-06,-0.01262645684072804,-0.008453432425498276,0.004173024415229762,5
2016-01-07,0.008934251261330066,0.008949520604212113,1.5269342882047583e-05,5
2016-01-08,-0.0071676702944764295,-0.003026320537711992,0.0041413497567644375,8
2016-01-11,-0.006087885625283404,-0.0012759528956265477,0.004811932729656856,10
2016-01-12,-0.00015371325829476612,0.004062612078427674,0.0042163253367224415,12
2016-01-13,-0.0037303866995858797,-0.0010740125854365827,0.002656374114149297,12
2016-01-14,0.0023512772904381502,0.004099058448051483,0.0017477811576133324,12
2016-01-15,-0.005495168705989569,-0.0017909248319280023,0.003704243874061567,13
2016-01-19,-0.013528799050732197,-0.00750103348107299,0.006027765569659207,15
2016-01-20,-0.0008664868257282582,0.0031843187833712682,0.004050805609099526,14
2016-01-21,-0.007614813742283448,-0.0039987509806024,0.003616062761681048,14
2016-01-22,-0.0010436807148698083,0.0021698341542291458,0.0032135148690989545,16
2016-01-25,-0.0013456854056706686,0.0009006221247940122,0.002246307530464681,16
2016-01-26,-0.0020632684412850784,0.002401570918337141,0.004464839359622219,16
2016-01-27,-0.0003958633569789869,0.0027231048739775163,0.0031189682309565032,13
2016-01-28,0.018645488210125544,0.02300655519395667,0.00436106698383113,13
2016-01-29,0.0009222711331519388,0.005614865938780772,0.004692594805628833,12
2016-02-01,-0.004069675730950481,-0.0008845566808834803,0.0031851190500670006,10
2016-02-02,-0.020137188489968,-0.01798742959239108,0.002149758897576918,7
2016-02-03,0.016220146004271695,0.022004891673110934,0.005784745668839237,10
2016-02-04,0.0011562388921766407,0.005530058892402615,0.004373820000225975,11
2016-02-05,0.0048913500537939875,0.007480871489813345,0.002589521436019358,10
2016-02-08,5.931078966127913e-05,0.005339036017632833,0.005279725227971554,13
2016-02-09,-0.005872151492410678,-0.003063948792139585,0.0028082027002710934,15
2016-02-10,-0.004810501093246793,-0.0012836362673142555,0.003526864825932538,17
2016-02-11,-0.008076860228504243,-0.004781420564114093,0.003295439664390148,14
2016-02-12,0.004379248855483395,0.005883137407354184,0.0015038885518707898,14
2016-02-16,-0.0036829496202626334,0.0004482127344313723,0.004131162354694006,14
2016-02-17,-0.006659693224174901,-0.0009090542373559985,0.005750638986818903,11
2016-02-18,-0.004783693725896756,0.002501374443212079,0.007285068169108835,13
2016-02-19,-0.003971299765796188,-0.0015631780766882143,0.0024081216891079734,12
2016-02-22,0.00705858429328454,0.01005513732873072,0.0029965530354461793,12
2016-02-23,-0.0067901432856494635,-0.0048889257196426264,0.001901217566006836,11
2016-02-24,-0.002999022777694983,-0.001058747467812169,0.0019402753098828147,11
2016-02-25,-0.009907105961435448,-0.0019237971417353386,0.007983308819700108,14
2016-02-26,-0.0037971670655225927,0.0008584177775691528,0.004655584843091746,12
2016-02-29,0.002837793600323533,0.006139662557556243,0.00330186895723271,13
2016-03-01,-0.005305557484268883,-0.0011119901312904598,0.004193567352978423,15
2016-03-02,-0.0044951729152635225,-0.0029397263399516685,0.0015554465753118529,15
2016-03-03,0.011021887427422173,0.013863477278230903,0.002841589850808729,15
2016-03-04,0.009625538212828128,0.015261850971326762,0.005636312758498635,15
2016-03-07,0.01153279302204342,0.0161974942654397,0.004664701243396281,15
2016-03-08,-0.02551014315136498,-0.021512529081121962,0.003997614070243012,14
2016-03-09,-0.007265981383524327,-0.005150128193644324,0.002115853189880003,11
2016-03-10,-0.006796748049802219,-0.0036155887979166432,0.0031811592518855743,12
2016-03-11,-0.005586572544810692,-0.0020393159130142197,0.003547256631796473,12
2016-03-14,-0.0034058917004171187,0.003194155540480581,0.0066000472408977,11
2016-03-15,-0.013471845700013306,-0.007507062167451839,0.005964783532561467,13
