member,reference,construction,sector_group,entry_date,exit_date,holding_days,exit_reason,direction,entry_z,trade_pnl,trade_gross,trade_cost,profitable
CRK,MTDR,peer,13,2016-03-01,2016-03-08,5,time_forced,long_m_short_ref,-2.655263850536421,0.0040129207501009845,0.03184890077795155,0.027835980027850538,True
CRK,MTDR,peer,13,2016-03-15,2016-03-22,5,time_forced,long_m_short_ref,-2.642421748847179,-0.1427103423132896,-0.11487436228543907,0.027835980027850538,False
CRK,MTDR,peer,13,2016-03-23,2016-03-31,5,time_forced,long_m_short_ref,-3.2085950713826157,0.010998902260395835,0.038834882288246386,0.027835980027850538,True
CRK,MTDR,peer,13,2016-04-01,2016-04-08,5,time_forced,long_m_short_ref,-3.122957905276069,0.014667222714794084,0.04250320274264463,0.027835980027850538,True
CRK,MTDR,peer,13,2016-04-11,2016-04-18,5,time_forced,long_m_short_ref,-2.8658746431655655,-0.16431920552190238,-0.13648322549405184,0.027835980027850538,False
CRK,MTDR,peer,13,2016-04-19,2016-04-26,5,time_forced,long_m_short_ref,-3.441245962723735,-0.013420395495495178,0.014415584532355363,0.027835980027850538,False
CRK,MTDR,peer,13,2016-04-27,2016-05-04,5,time_forced,long_m_short_ref,-3.2564594023907687,-0.011951002913547948,0.01588497711430259,0.027835980027850538,False
CRK,MTDR,peer,13,2016-05-05,2016-05-12,5,time_forced,long_m_short_ref,-3.122723879361374,-0.12835446315148163,-0.1005184831236311,0.027835980027850538,False
CRK,MTDR,peer,13,2016-05-13,2016-05-20,5,time_forced,long_m_short_ref,-3.5094637303427825,-0.09393046361234843,-0.06609448358449788,0.027835980027850538,False
CRK,MTDR,peer,13,2016-05-23,2016-05-31,5,time_forced,long_m_short_ref,-3.986712823617191,0.007072069142529221,0.03490804917037976,0.027835980027850538,True
CRK,MTDR,peer,13,2016-06-01,2016-06-08,5,time_forced,long_m_short_ref,-3.8186732974699575,0.16919098952293726,0.1970269695507878,0.027835980027850538,True
CRK,MTDR,peer,13,2016-06-09,2016-06-16,5,time_forced,long_m_short_ref,-3.089327280844245,-0.015126722693186991,0.012709257334663548,0.027835980027850538,False
CRK,MTDR,peer,13,2016-06-17,2016-06-24,5,time_forced,long_m_short_ref,-2.9506432702225087,-0.06275713765535018,-0.034921157627499644,0.027835980027850538,False
CRK,MTDR,peer,13,2016-06-27,2016-07-01,4,period_forced_close,long_m_short_ref,-2.881197427386932,-0.03587940546053736,-0.008057540566947463,0.027821864893589905,False
GTE,NOG,peer,13,2016-01-15,2016-01-25,5,time_forced,long_ref_short_m,2.6333068783518074,-0.09552509065710008,-0.06560715007039603,0.029917940586704033,False
GTE,NOG,peer,13,2016-01-26,2016-02-02,5,time_forced,long_ref_short_m,3.5752202576615097,0.02893308873939882,0.058851029326102866,0.029917940586704033,True
GTE,NOG,peer,13,2016-02-03,2016-02-10,5,time_forced,long_ref_short_m,2.7367114429008783,-0.03353345905730325,-0.0036155184705992105,0.029917940586704033,False
