rebalance_date,hold_end,n_universe,n_with_signal,n_pass_filter,n_delisted,ls_ret,ls_gross,ls_cost,ls_ba_cost,ls_borrow_cost,long_ret,short_ret,ls_naive_net,ls_naive_gross,long_scale,short_scale,mean_beta_long,mean_beta_short,actual_turnover,n_active_longs,n_active_shorts,n_carry_longs,n_carry_shorts,n_long,n_short,mkt_ret,ic,mean_r1m_long,mean_r1m_short,sign_ok
2015-03-01,2015-04-01,362,318,44,0,-0.040703122295621785,-0.011424169153631874,0.029278953141989916,0.028169183006191034,0.0011097701357988808,-0.015314311434241322,-0.026304180608656073,-0.03518902786789854,-0.0046909082406532765,1.083292142312909,0.916707857687091,0.9959260810817683,1.176905912732596,1.0,22,22,0,0,22,22,0.0037165824803454934,0.007848839406002645,-0.24121215516590933,0.24816079432351013,True
2015-04-01,2015-05-01,360,314,35,0,0.03668393373599532,0.051800736808497706,0.015116803072502388,0.014061491373483934,0.0010553116990184538,0.04181707282758911,-0.011091114088647117,0.03512688537460522,0.06687019760141916,1.112609698882442,0.8873903011175578,0.9687416160553665,1.2146079536556316,0.4520547945205479,14,21,21,17,35,38,-0.0010647112124466491,0.091621098084133,-0.10340259322607327,0.17122808361253075,True
2015-05-01,2015-06-01,369,320,30,1,-0.024982166521022107,-0.014927046343845016,0.010055120177177091,0.008943070657899866,0.001112049519277226,-0.000827565997895954,-0.026127762721272953,0.12781649941500184,0.15969871104966477,1.0779899942961162,0.9220100057038835,1.0014060638833375,1.1708177898455407,0.32989690721649484,14,16,31,36,45,52,0.010304379373492887,0.15907572575254642,-0.06758633024426866,0.08215971053674286,True
2015-06-01,2015-07-01,374,319,32,1,-0.016107707258450645,-0.006732849951348039,0.009374857307102608,0.008255769606357889,0.001119087700744718,-0.025716132544127104,0.011473808685475585,-0.12194527716928438,-0.08905041789839105,1.0501582776988716,0.9498417223011283,1.0284083985120032,1.1370226925134272,0.2627118644067797,18,14,39,47,57,61,0.00033088005709023285,-0.11948694692721142,-0.060795180473369716,0.0707790811630208,True
2015-07-01,2015-08-01,391,335,32,1,-0.014933148906674923,-0.00667704025973441,0.008256108646940515,0.007071051970124119,0.0011850566768163953,-0.059851531680430316,0.0449252994550945,-0.1340312437597826,-0.10172716737922897,1.0000660134617945,0.9999339865382055,1.1089325016588707,1.109078920271132,0.25925925925925924,12,20,53,50,65,70,-0.03986124994395056,-0.1147858866488771,-0.06327819108187693,0.07027036198817233,True
2015-08-01,2015-09-01,394,337,38,1,-0.018340159293805933,-0.009623160059881772,0.00871699923392415,0.007483453867171439,0.0012335453667527121,-0.08319905870232357,0.05954087562361487,0.09199411733571783,0.12215079600557802,0.9627432658560752,1.0372567341439247,1.1690474850374886,1.0850665574272906,0.3082191780821918,21,17,53,55,74,72,-0.07162086986186793,0.1373016642561841,-0.08549989294049086,0.0468839317379301,True
2015-09-01,2015-10-01,417,354,39,1,-0.045660426427873414,-0.036637307596958685,0.009023118830914733,0.007721864798803929,0.0013012540321108033,-0.10119751178515289,0.04798416934608079,-0.03321330144081648,5.904143951845908e-05,0.9493710222734756,1.0506289777265243,1.1674621455735865,1.054943994603281,0.2392638036809816,16,23,63,61,79,84,-0.05936164854178844,-0.014080720927717838,-0.048103309269270055,0.09544440290649545,True
2015-10-01,2015-11-01,424,361,46,1,-0.054833763945419806,-0.045860507770276226,0.008973256175143577,0.007614304871439985,0.0013589513037035917,0.10155430219072564,-0.1317528339257281,-0.05324859412297279,-0.022494824214645076,0.8944085782351688,1.1055914217648313,1.239716437025513,1.0029139101719733,0.26704545454545453,20,26,58,72,78,98,0.08234282412855498,0.05271192666166725,-0.09376732707221934,0.058236167021298905,True
2015-11-01,2015-12-01,401,337,49,1,-0.01752666029444324,-0.00849063572151679,0.009036024572926448,0.007729800838894083,0.0013062237340323649,0.015139866292449185,-0.02833814406492316,0.03469905842196897,0.06717422674347986,0.9004466283900379,1.099553371609962,1.178713966478731,0.9652728501918636,0.27461139896373055,25,24,62,82,87,106,0.026288780810050344,0.12261140250422327,-0.06065711415734284,0.0842942214931144,True
2015-12-01,2016-01-01,400,329,39,1,-0.010538647635634876,-0.003956463472157917,0.006582184163476946,0.005394931026059093,0.001187253137417853,-0.07676504717715092,0.061376095081857034,-0.01124834791443273,0.020646307529151517,0.9648887769397118,1.035111223060288,1.1148689627471442,1.0392357129823948,0.21256038647342995,19,20,69,99,88,119,-0.055785436772974636,0.10011171561606763,-0.03158836735978433,0.06483085256400552,True
2016-01-01,2016-02-01,412,338,37,1,-0.03176979377262486,-0.025928427312096353,0.005841366460528517,0.004596602193156277,0.0012447642673722396,-0.12480167704256702,0.08212445133254064,-0.01852195567212553,0.01183854761130712,0.9472882809771179,1.0527117190228823,1.1481606960026811,1.0331785543447813,0.18303571428571427,18,19,76,111,94,130,-0.09944611480590097,-0.04394323591460061,-0.05444085098706727,0.026653589642766026,True
2016-02-01,2016-03-01,427,351,49,1,-0.017975083344254753,-0.0107909946174135,0.007184088726841252,0.005817465034568566,0.0013666236922726866,0.05228505513019174,-0.05684977163243986,-0.1569288084037823,-0.12588990358339913,0.8771211057019019,1.1228788942980978,1.2061378189598575,0.9421576474248838,0.2,24,25,77,109,101,134,0.04679720838839071,-0.03460678210678211,-0.08765438355347066,0.049620236691269554,True
2016-03-01,2016-04-01,412,342,47,1,-0.0418091485059548,-0.034589797992579746,0.0072193505133750745,0.005876298458441233,0.0013430520549338417,0.06889953041624074,-0.09143987105608604,0.00960719214819096,0.04096549024831085,0.8798248734299091,1.120175126570091,1.1956791282742478,0.9391283672918171,0.2594142259414226,25,22,80,112,105,134,0.0760111994505304,0.05889026834247028,-0.06586562092648171,0.05790818278194238,True
2016-04-01,2016-05-01,402,343,29,1,-0.006449396864475366,-0.0012952278520345327,0.005154169012440835,0.003860188706201342,0.0012939803062394933,0.030325205771116737,-0.030436798979228807,-0.02897419348184472,0.004430518350279182,0.8956946255739323,1.1043053744260678,1.2016401098216345,0.9746421716010268,0.128099173553719,17,12,91,122,108,134,0.025974445227640162,0.017008592021283197,-0.05436382733679023,0.032595197247724216,True
