rebalance_date,hold_end,n_universe,n_with_signal,n_delisted,pct_excluded,long_ret,short_ret,ls_ret,ls_gross,ls_cost,ls_ba_cost,ls_borrow_cost,ls_ret_eqdollar,long_scale,short_scale,mean_beta_long,mean_beta_short,long_turnover,short_turnover,avg_turnover,mkt_ret,ic,n_long,n_short,guard_fired,mean_rm_long,mean_rm_short,sign_ok
2015-01-01,2015-04-01,361,314,0,13.01939058171745,0.0006354647245979516,-0.05059606574465146,-0.04673441583527764,-0.014674358181876993,0.03206005765340064,0.02853905462789854,0.0035210030255021047,-0.04996060102005351,1.062972648976636,0.9370273510233642,1.0887876055526726,1.2351309105153274,1.0,1.0,1.0,0.037178660155379274,-0.0085536178208285,63,63,False,0.45712148579967565,-0.4258230528766029,True
2015-04-01,2015-07-01,360,314,1,12.777777777777779,-0.0324067884073677,-0.08914141764748373,-0.1181330411512359,-0.10015955420434484,0.017973486946891062,0.014276887996487412,0.0036965989504036496,-0.12154820605485143,1.060195421197901,0.939804578802099,1.0509304192534077,1.1855567036183552,0.5079365079365079,0.4603174603174603,0.4841269841269841,0.011506345439762637,-0.16697472094391164,63,63,False,0.46239972283632874,-0.45888868500637825,True
2015-07-01,2015-10-01,391,335,1,14.322250639386189,-0.22158250036535607,0.2051200992980366,0.02118615136277402,0.039330839886217134,0.018144688523443125,0.013952660367612146,0.004192028155830978,-0.01646240106731947,0.9117686359075554,1.0882313640924448,1.2378639191260687,1.0371374454199964,0.44776119402985076,0.4925373134328358,0.4701492537313433,-0.17129319252963052,0.08294338827675142,67,67,False,0.5007497083527466,-0.41639441208888883,True
2015-10-01,2016-01-01,424,361,1,14.858490566037736,0.11256304697511803,-0.09993242800697455,0.025502094825486293,0.045244703310214504,0.01974260848472819,0.01634547990068829,0.0033971285840398986,0.012630618968143478,1.0605729409458133,0.9394270590541869,1.091183917370105,1.2318999385893066,0.6301369863013698,0.5205479452054794,0.5753424657534246,0.06685225723538354,-0.0051960739301000385,73,73,False,0.5062116832429671,-0.4298671210235494,True
2016-01-01,2016-04-01,412,340,1,17.475728155339805,0.028310130160944337,-0.035592423335320256,-0.0033899714554685573,0.015719863180451404,0.01910983463591996,0.015378287969423136,0.003731546666496826,-0.007282293174375919,1.060910268932131,0.9390897310678691,1.0791487473157235,1.2191380119028847,0.45588235294117646,0.5735294117647058,0.5147058823529411,0.012316551191878558,-0.040971059975085815,68,68,False,0.5309173054260361,-0.49989623996962285,True
2016-04-01,2016-07-01,402,343,1,14.676616915422885,0.09502641206153607,-0.01734589010131936,0.09422480676843875,0.11207400129604493,0.017849194527606176,0.014532009605087142,0.0033171849225190338,0.07768052196021671,1.1472274260630992,0.8527725739369008,0.9958427405992628,1.3396984600326145,0.463768115942029,0.5217391304347826,0.49275362318840576,0.059695372806958226,0.1281856159144896,69,69,False,0.5384186197428055,-0.4437270668394621,True
2016-07-01,2016-10-01,414,362,1,12.560386473429952,0.14807257335057725,-0.18681043959632154,0.016780143706278616,0.03352667719580166,0.016746533489523027,0.01347282628780841,0.003273707201714616,-0.038737866245744296,1.1657832968697823,0.8342167031302175,0.9267225110121798,1.2950563326260602,0.4520547945205479,0.4520547945205479,0.4520547945205479,0.11767258142230523,-0.06661770968603237,73,73,False,0.5550467456323678,-0.4673828743191955,True
2016-10-01,2017-01-01,387,341,1,11.886304909560723,0.0012927644742519052,-0.059156610275761606,-0.060861730061855975,-0.04332929096551856,0.017532439096337418,0.013525305363571534,0.004007133732765883,-0.0578638458015097,0.9504066953091918,1.0495933046908084,1.159538706310151,1.049962252066733,0.5072463768115942,0.43478260869565216,0.47101449275362317,0.05076861445168253,-0.02426149036555508,69,69,False,0.5539981486576953,-0.5128020305358656,True
2017-01-01,2017-04-01,384,338,1,11.979166666666666,-0.023145033555976437,-0.17200421207929728,-0.17560258846585997,-0.15925600421461497,0.016346584251245008,0.013249235841223183,0.0030973484100218244,-0.19514924563527372,1.1313097207932765,0.8686902792067236,1.023951113422918,1.3335084735727523,0.4852941176470588,0.4264705882352941,0.45588235294117646,0.042824776158783356,-0.2226170517730938,68,68,False,0.5965925867296908,-0.5633470652604251,True
2017-04-01,2017-07-01,404,360,1,10.891089108910892,0.0008131226941843579,-0.058783627215158105,-0.06271199424835504,-0.04426899811150552,0.018442996136849528,0.014656576045163256,0.0037864200916862736,-0.05797050452097375,0.9204404647133615,1.0795595352866385,1.1620103993290516,0.990738682768623,0.5,0.5138888888888888,0.5069444444444444,0.04707856554716786,-0.09311131515932479,72,72,False,0.5418828748753656,-0.4715540386808932,True
2017-07-01,2017-10-01,428,377,2,11.91588785046729,0.07664929259794954,-0.0632309960304093,0.0015322697075581537,0.019835431742829666,0.01830316203527151,0.014489738998175728,0.003813423037095782,0.013418296567540247,0.9150271494537625,1.0849728505462375,1.1532327334472394,0.9725950840260476,0.4868421052631579,0.5263157894736842,0.506578947368421,0.05924516301675565,0.1536535527731419,76,76,False,0.805024213464126,-0.481525320273161,True
2017-10-01,2018-01-01,390,348,2,10.76923076923077,0.03523276968603447,-0.02636775238309724,0.009681634843242307,0.02774574010319668,0.01806410525995437,0.014359069026739512,0.003705036233214858,0.00886501730293723,1.013256665899497,0.9867433341005027,1.0753314335766204,1.1042250861679448,0.5,0.4857142857142857,0.4928571428571429,0.0318429356842954,-0.04893584427728554,70,70,False,0.795094749995091,-0.4947954174919175,True
2018-01-01,2018-04-01,417,380,2,8.872901678657074,-0.009819034823510719,0.04088236332073683,0.03715493070228229,0.05605018704734865,0.018895256345066364,0.014716692365734928,0.004178563979331434,0.031063328497226112,0.8798533683878832,1.120146631612117,1.2597386307451466,0.9895001656651568,0.5,0.5,0.5,-0.010000799871656365,0.04652044171467874,76,76,False,0.6094021945876132,-0.6532221036198438,True
2018-04-01,2018-07-01,429,393,2,8.391608391608392,0.26855409011193226,-0.13218811776776485,0.11062328673564584,0.12879543933006604,0.018172152594420194,0.014163753633641387,0.004008398960778807,0.13636597234416742,0.9357624799625559,1.0642375200374439,1.200613519307747,1.0556751318676123,0.5063291139240507,0.4430379746835443,0.47468354430379744,0.14755012213898547,0.08277923397505171,79,79,False,0.6590641640300906,-0.6133568131543552,True
2018-07-01,2018-10-01,442,402,2,9.049773755656108,0.006711450798238507,-0.06296503493261059,-0.06168096318693933,-0.0425340970106191,0.019146866176320238,0.015203598713634824,0.0039432674626854155,-0.05625358413437208,0.9221060161740577,1.0778939838259423,1.1702820416687254,1.0011412322878754,0.48148148148148145,0.5555555555555556,0.5185185185185185,0.021529261515332385,0.04517695428478174,81,81,False,0.7380497660432579,-0.5779428368625359,True
2018-10-01,2019-01-01,426,394,3,7.511737089201878,-0.24305036785572867,0.21386498358495948,0.00858111594210223,0.025190543166340257,0.01660942722423801,0.012628649552096721,0.003980777672141288,-0.029185384270769194,0.9173446457997289,1.082655354200271,1.2840103297118302,1.0879547185011254,0.3924050632911392,0.46835443037974683,0.430379746835443,-0.22201243352719388,-0.032511147745705335,79,79,False,0.7508042225660524,-0.4879331251340681,True
2019-01-01,2019-04-01,455,427,3,6.153846153846154,0.22165053672924045,-0.2022064243770228,-0.037823365762941374,-0.01837136115699206,0.019452004605949313,0.0149852887804406,0.004466715825508711,0.019444112352217657,0.8648896128408712,1.1351103871591288,1.2527820929550044,0.9545487660117181,0.4418604651162791,0.5348837209302325,0.4883720930232558,0.17053053657903,-0.08287306187361644,86,86,False,0.6547206589097345,-0.6166569158862786,True
2019-04-01,2019-07-01,440,419,3,4.7727272727272725,0.019787940159822843,-0.0011408467467547492,0.01855317198044078,0.03514938179035147,0.01659620980991069,0.012973802773194352,0.0036224070367163394,0.018647093413068094,0.9955123327000958,1.0044876672999041,1.1289865361921831,1.1188987747881616,0.5,0.42857142857142855,0.4642857142857143,-0.01236953985797984,-0.017064031308472963,84,84,False,0.6356215662378412,-0.6134335336002833,True
2019-07-01,2019-10-01,448,434,3,3.125,-0.08481055482402776,0.1062102260666915,0.0014080101703939502,0.02110186524664194,0.019693855076247987,0.016154424637037323,0.0035394304392106645,0.021399671242663745,1.1046569958464718,0.8953430041535283,0.9374507694586546,1.1566087476421367,0.5402298850574713,0.5287356321839081,0.5344827586206897,-0.06853629721579911,0.023526636455794274,87,87,False,0.566857714721268,-0.6907364494139182,True
2019-10-01,2020-01-01,445,432,3,2.9213483146067416,0.16395329868016945,-0.18534200579518187,0.037455911235057676,0.05639132034171085,0.01893540910665318,0.015684312346938945,0.003251096759714236,-0.021388707115012423,1.1684666744617593,0.8315333255382408,0.8906710220565525,1.251566684363771,0.5402298850574713,0.5057471264367817,0.5229885057471264,0.14899350121645746,-0.04698241910161127,87,87,False,0.5539331522685234,-0.6452111841125306,True
2020-01-01,2020-04-01,418,415,3,0.7177033492822966,-0.35686216180496566,0.4030255447617047,-0.07908101919238536,-0.06123227320188568,0.017848745990499664,0.014575622106200174,0.0032731238842994906,0.04616338295673905,1.164819618828951,0.835180381171049,0.9348349527789265,1.3038070791810359,0.5542168674698795,0.42168674698795183,0.4879518072289157,-0.37511731337168475,0.02444040375549019,83,83,False,0.5027612357868445,-0.6241586189164136,True
2020-04-01,2020-07-01,512,509,3,0.5859375,0.7430225532406998,-0.5708165572129247,0.04883554896034992,0.07088754499013683,0.02205199602978686,0.017778658839249502,0.004273337190537359,0.1722059960277751,0.9060992734301924,1.0939007265698077,1.0883030707495616,0.901462626110703,0.5686274509803921,0.5784313725490197,0.5735294117647058,0.5094513015429641,0.09340704739424041,102,102,False,0.59567405730691,-0.4858645182405044,True
2020-07-01,2020-10-01,492,490,3,0.4065040650406504,0.18356716949144625,-0.0838434342213365,0.16080588905195445,0.1819501430926494,0.02114425404069496,0.018167241159524422,0.002977012881170538,0.09972373527010975,1.2284208364730782,0.7715791635269216,0.7207866451341208,1.147554749258579,0.6224489795918368,0.5408163265306123,0.5816326530612246,0.08638872390757436,-0.007877923825809608,98,98,False,0.8334421217479835,-0.5506843995925345,True
2020-10-01,2021-01-01,489,488,3,0.20449897750511248,0.35071700171265113,-0.41321463190539104,-0.08497950976441798,-0.06682824206760823,0.018151267696809758,0.014258098550632719,0.003893169146177039,-0.062497630192739906,0.9705708225941607,1.0294291774058395,1.1159379425512785,1.0521333867721065,0.40816326530612246,0.5306122448979592,0.46938775510204084,0.3605908060628444,-0.1250204192645513,98,98,False,0.8972160611387294,-0.5643060926677282,True
