rebalance_date,hold_end,n_universe,n_with_signal,n_delisted,pct_dropped,long_ret,short_ret,ls_ret,ls_gross,ls_cost,ls_ba_cost,ls_borrow_cost,long_scale,short_scale,mean_beta_long,mean_beta_short,long_turnover,short_turnover,avg_turnover,mkt_ret,ic,n_long,n_short
2015-01-01,2015-04-01,361,265,0,26.592797783933516,0.03212818515280363,-0.039415901369478014,0.004295999193493209,0.03419727754525964,0.029901278351766435,0.02701906445560016,0.0028822138961662734,1.1619101727794088,0.8380898272205911,0.7817853155529868,1.08385077776572,1.0,1.0,1.0,0.037178660155379274,0.08514360515353565,53,53
2015-04-01,2015-07-01,360,270,1,25.0,0.0392306519326245,-0.006813520467735861,0.03409108462947426,0.04257211124666299,0.008481026617188732,0.0050098369327488115,0.00347118968443992,1.0363553752259975,0.9636446247740025,0.8900895729895107,0.9572503075152092,0.12962962962962962,0.24074074074074073,0.18518518518518517,0.011506345439762637,0.06266173442403568,54,54
2015-07-01,2015-10-01,391,290,1,25.831202046035806,-0.13486868316318645,0.18700804258140935,0.030346046497617407,0.039632493904486005,0.009286447406868598,0.005784898413836292,0.0035015489930323054,1.0677070169338623,0.9322929830661377,0.9397099175738437,1.0762012490710302,0.22413793103448276,0.1896551724137931,0.20689655172413793,-0.17129319252963052,0.13071613873796523,58,58
2015-10-01,2016-01-01,424,316,1,25.471698113207548,0.029187864251277527,-0.06433959740758671,-0.020833565502680847,-0.01019855726440752,0.01063500823827332,0.007371126329292003,0.0032638819089813183,1.1530905190804066,0.8469094809195936,0.8764612659491755,1.1933260860532935,0.234375,0.296875,0.265625,0.06685225723538354,-0.02752104737195345,64,64
2016-01-01,2016-04-01,412,299,1,27.42718446601942,0.05439344302979283,-0.0270562091467096,0.04319164912870363,0.050802997945126355,0.007611348816422728,0.004529860877946169,0.0030814879384765586,1.1946529521238922,0.8053470478761078,0.8710045161806516,1.2920493336538965,0.13333333333333333,0.2,0.16666666666666669,0.012316551191878558,0.06571654296512143,60,60
2016-04-01,2016-07-01,402,303,1,24.62686567164179,0.008131795505021166,-0.1404333693749415,-0.09897769944233431,-0.09030816996206124,0.008669529480273077,0.0057367093366640955,0.0029328201436089815,1.2243047652153918,0.7756952347846081,0.8346208201211692,1.3173089138623668,0.18032786885245902,0.2459016393442623,0.21311475409836067,0.059695372806958226,-0.12206489418479559,61,61
2016-07-01,2016-10-01,414,303,1,26.81159420289855,0.07177253126140563,-0.1744319650377531,-0.0640348918504605,-0.05637371146293803,0.00766118038752249,0.004594103604452507,0.0030670767830699836,1.1568799209863125,0.8431200790136871,0.8555926534459839,1.1739940560696702,0.18032786885245902,0.14754098360655737,0.1639344262295082,0.11767258142230523,-0.08369389288865368,61,61
2016-10-01,2017-01-01,387,282,1,27.131782945736433,0.0014711114425474737,-0.027952422305888708,-0.020899905790984465,-0.015346072018396243,0.005553833772588219,0.002584903224683546,0.0029689305479046733,1.1896918677435684,0.8103081322564318,0.9211556157949093,1.3524377967006684,0.08771929824561403,0.10526315789473684,0.09649122807017543,0.05076861445168253,-0.08776219530828001,57,57
2017-01-01,2017-04-01,384,269,1,29.947916666666668,0.01960292882696165,-0.05101290847934227,-0.02189041423471511,-0.013995696147377487,0.007894718087337618,0.004821548246355585,0.0030731698409820324,1.1348077963923782,0.865192203607622,0.8626388814056143,1.131458794945696,0.2037037037037037,0.14814814814814814,0.17592592592592593,0.042824776158783356,0.041133159169637536,54,54
2017-04-01,2017-07-01,404,295,1,26.980198019801982,0.08292424791118795,-0.04750216704610066,0.05452933314784159,0.06360235785726341,0.009073024709421814,0.006130641563544455,0.0029423831458773586,1.1464983323279372,0.8535016676720629,0.896439869135246,1.2041766922366788,0.22033898305084745,0.23728813559322035,0.2288135593220339,0.04707856554716786,0.08270838950783815,59,59
2017-07-01,2017-10-01,428,311,2,27.33644859813084,0.04169564217455867,-0.07030066166200909,-0.015114151345712347,-0.0074963388130426176,0.007617812532669733,0.004587642519988402,0.003030170012681331,1.1204581551318409,0.8795418448681591,0.8860079051268551,1.1286953413336138,0.1774193548387097,0.16129032258064516,0.16935483870967744,0.05924516301675565,-0.04991405535562197,62,62
2017-10-01,2018-01-01,390,288,2,26.153846153846153,0.10709006826479589,-0.0565424016011436,0.06086094171729354,0.06811927172921453,0.00725833001192098,0.003885289204465509,0.003373040807455471,1.0630270695179918,0.9369729304820084,0.9411434755788901,1.0677586921598008,0.13793103448275862,0.13793103448275862,0.13793103448275862,0.0318429356842954,0.14670773163672468,58,58
2018-01-01,2018-04-01,417,308,2,26.139088729016787,0.008586285170934061,0.08083084613501161,0.08475408326300854,0.09355875875444485,0.008804675491436301,0.005317244196976597,0.0034874312944597036,1.0645453163630652,0.9354546836369348,0.9524894820662347,1.0839308784862842,0.1774193548387097,0.20967741935483872,0.1935483870967742,-0.010000799871656365,0.15204368049464173,62,62
2018-04-01,2018-07-01,429,316,2,26.34032634032634,0.20619521621294434,-0.12723523901213307,0.09754567543729092,0.10739574355624731,0.009850068118956374,0.006188566759532217,0.0036615013594241577,1.0557408537379516,0.9442591462620484,0.9678255401014613,1.0820895577457832,0.1875,0.25,0.21875,0.14755012213898547,0.12597216177061804,64,64
2018-07-01,2018-10-01,442,320,2,27.601809954751133,0.08842193413458531,0.0328946901001031,0.12348254692784917,0.1318061401985646,0.008323593270715428,0.004776730624241072,0.0035468626464743563,1.0390064864702402,0.9609935135297599,0.9723558170973754,1.051291176160428,0.1875,0.171875,0.1796875,0.021529261515332385,0.14102739110862267,64,64
2018-10-01,2019-01-01,426,312,3,26.760563380281692,-0.18163027699144293,0.29059626780125125,0.1003903584114216,0.10954868937488116,0.009158330963459535,0.005573203848682246,0.0035851271147772897,1.0181599964952233,0.9818400035047768,0.940492319147362,0.9752827883858,0.2222222222222222,0.19047619047619047,0.20634920634920634,-0.22201243352719388,0.19358847200783288,63,63
2019-01-01,2019-04-01,455,344,3,24.395604395604394,0.1266116142785321,-0.22563955195924734,-0.10361803888430073,-0.09461322898061722,0.009004809903683532,0.0051421987014875145,0.003862611202196017,0.9869692377384862,1.0130307622615138,0.9608082263460145,0.9360901939962929,0.17391304347826086,0.18840579710144928,0.18115942028985507,0.17053053657903,-0.07970784163022433,69,69
2019-04-01,2019-07-01,440,336,3,23.636363636363637,-0.0811975150770011,0.05363802007096198,-0.035723531360720054,-0.027580198096976427,0.008143333263743627,0.004521941477568168,0.0036213917861754588,1.0605481065931326,0.9394518934068675,0.9486532688060528,1.070935547744877,0.1323529411764706,0.19117647058823528,0.16176470588235292,-0.01236953985797984,0.06878199629095927,68,68
2019-07-01,2019-10-01,448,336,3,25.0,-0.05018010096628532,0.07545718998748319,0.018107336738022325,0.026986397859281294,0.008879061121258962,0.005123838228468746,0.0037552228927902154,1.0570670716373043,0.9429329283626958,0.9293554088257118,1.0418461069373235,0.20588235294117646,0.14705882352941177,0.1764705882352941,-0.06853629721579911,0.06372230576488674,68,68
2019-10-01,2020-01-01,445,331,3,25.617977528089888,0.13581180529855763,-0.1777329128581756,-0.030597456513091287,-0.022191225562413014,0.008406230950678249,0.0045863122036080735,0.003819918747070176,1.0361149475363394,0.9638850524636609,0.9237134664256191,0.9929330549923356,0.1791044776119403,0.13432835820895522,0.15671641791044777,0.14899350121645746,-0.03430095286123518,67,67
2020-01-01,2020-04-01,418,318,3,23.923444976076556,-0.40581130182802794,0.3840110212518606,-0.10621625071448781,-0.09891637557780941,0.00729987513667834,0.0038738571540299733,0.003426017982648366,1.1068796964476046,0.8931203035523952,0.8594385294923564,1.065136527359292,0.171875,0.09375,0.1328125,-0.37511731337168475,-0.00103516761813585,64,64
2020-04-01,2020-07-01,512,389,3,24.0234375,0.5348284406276272,-0.6068417771517153,-0.05975635377651334,-0.045604936990545464,0.014151416785967834,0.010086614434460194,0.00406480235150764,1.0107360098885787,0.9892639901114214,0.9963236260001808,1.0179488754945198,0.358974358974359,0.2948717948717949,0.3269230769230769,0.5094513015429641,0.039050496456402045,78,78
2020-07-01,2020-10-01,492,363,3,26.21951219512195,0.19204450689921848,-0.032649554376319674,0.16294703391446907,0.17309891506324818,0.01015188114877906,0.0062029149116737525,0.0039489662371053075,1.0158085236939771,0.9841914763060229,0.976151744507683,1.0075105163594493,0.2328767123287671,0.1780821917808219,0.2054794520547945,0.08638872390757436,0.05239123335173334,73,73
2020-10-01,2021-01-01,489,362,3,25.971370143149283,0.3633723637732534,-0.5363503818613714,-0.1137992280894945,-0.10188453637616546,0.011914691713329068,0.008065497463501409,0.0038491942498276592,1.065774473620628,0.9342255263793722,0.9699784539668566,1.1065617958506504,0.2602739726027397,0.273972602739726,0.26712328767123283,0.3605908060628444,0.005193605750784468,73,73
