rebalance_date,hold_end,n_universe,n_with_signal,n_delisted,pct_dropped,long_ret,short_ret,ls_ret,ls_gross,ls_cost,ls_ba_cost,ls_borrow_cost,long_scale,short_scale,mean_beta_long,mean_beta_short,long_turnover,short_turnover,avg_turnover,mkt_ret,ic,n_long,n_short
2015-01-01,2015-07-01,361,265,1,26.592797783933516,0.07306330180492583,-0.03733728604080026,0.053600994017175385,0.0863844862651081,0.032783492247932706,0.02701906445560016,0.005764427792332547,1.1619101727794088,0.8380898272205911,0.7817853155529868,1.08385077776572,1.0,1.0,1.0,0.05964173452800772,0.14868066392396087,53,53
2015-07-01,2016-01-01,391,290,1,25.831202046035806,-0.13056746410431547,0.12790860638492363,-0.020159501401004948,-0.004755785774765764,0.01540371562623918,0.008400617640174569,0.007003097986064611,1.0677070169338623,0.9322929830661377,0.9397099175738437,1.0762012490710302,0.25862068965517243,0.3448275862068966,0.3017241379310345,-0.12337679186666856,0.023289303528883438,58,58
2016-01-01,2016-07-01,412,299,1,27.42718446601942,0.05781185693234019,-0.14178972629769074,-0.045124831941022236,-0.030178289099506733,0.014946542841515507,0.00878356696456239,0.006162975876953117,1.1946529521238922,0.8053470478761078,0.8710045161806516,1.2920493336538965,0.3,0.3333333333333333,0.31666666666666665,0.07113261706213961,-0.0456863811836558,60,60
2016-07-01,2017-01-01,414,303,1,26.81159420289855,0.06773086939055123,-0.23836393267428835,-0.12261293492148405,-0.10980148396314365,0.01281145095834036,0.006677297392200392,0.006134153566139967,1.1568799209863125,0.8431200790136871,0.8555926534459839,1.1739940560696702,0.21311475409836064,0.2786885245901639,0.2459016393442623,0.16446683275984564,-0.19477602844714023,61,61
2017-01-01,2017-07-01,384,269,1,29.947916666666668,0.08932408702453327,-0.08580002038624182,0.02713216165352017,0.037766977251443956,0.010634815597923779,0.004488475915959715,0.006146339681964065,1.1348077963923782,0.865192203607622,0.8626388814056143,1.131458794945696,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.07825710512373096,0.05589643818049635,54,54
2017-07-01,2018-01-01,428,311,2,27.33644859813084,0.18135666900537037,-0.18418815394493496,0.04120137005102459,0.05608217201301832,0.01488080196199371,0.008820461936631049,0.006060340025362662,1.1204581551318409,0.8795418448681591,0.8860079051268551,1.1286953413336138,0.3064516129032258,0.3548387096774194,0.3306451612903226,0.11501128929017776,0.026475522367107682,62,62
2018-01-01,2018-07-01,417,308,2,26.139088729016787,0.2196422333912966,-0.01461069498917452,0.22015146777341404,0.2344297804414394,0.014278312668025355,0.007303450079105947,0.006974862588919407,1.0645453163630652,0.9354546836369348,0.9524894820662347,1.0839308784862842,0.20967741935483872,0.3225806451612903,0.2661290322580645,0.12349728936269169,0.19592152058260756,62,62
2018-07-01,2019-01-01,442,320,2,27.601809954751133,-0.10989266840595088,0.29359977078066113,0.16796828000473346,0.1823688723134581,0.01440059230872463,0.007306867015775917,0.0070937252929487125,1.0390064864702402,0.9609935135297599,0.9723558170973754,1.051291176160428,0.25,0.296875,0.2734375,-0.2027740934453819,0.22799712045501522,64,64
2019-01-01,2019-07-01,455,344,3,24.395604395604394,0.05496547822698857,-0.09841933954717177,-0.04545258241512389,-0.029522482145443202,0.015930100269680697,0.008204877865288665,0.007725222404392034,0.9869692377384862,1.0130307622615138,0.9608082263460145,0.9360901939962929,0.2898550724637681,0.2898550724637681,0.2898550724637681,0.1581631238906963,0.03090983779443231,69,69
2019-07-01,2020-01-01,448,336,3,25.0,0.08880741141351384,-0.05360226581438331,0.043332048851340316,0.05767843858508792,0.014346389733747609,0.006835943948167179,0.007510445785580431,1.0570670716373043,0.9429329283626958,0.9293554088257118,1.0418461069373235,0.2647058823529412,0.20588235294117646,0.23529411764705882,0.057257211949662316,0.07519250466556374,68,68
2020-01-01,2020-07-01,418,318,3,23.923444976076556,0.031893608959140375,0.020029932340018337,0.053191527454963014,0.06665848231327423,0.01346695485831121,0.006614918893014479,0.006852035965296732,1.1068796964476046,0.8931203035523952,0.8594385294923564,1.065136527359292,0.296875,0.15625,0.2265625,-0.061553189028685645,0.06218655649756624,64,64
2020-07-01,2021-01-01,492,363,3,26.21951219512195,0.579012151306532,-0.5200009084330348,0.0763850168683805,0.09340125783628561,0.017016240967905123,0.009118308493694507,0.007897932474210615,1.0158085236939771,0.9841914763060229,0.976151744507683,1.0075105163594493,0.3150684931506849,0.2876712328767123,0.3013698630136986,0.4663755593179043,0.04295240438569503,73,73
