year,blend_net,iwm_ret,gp_net,s7_net,s8_net
2015,-0.07800312602525838,-0.039113664602929976,0.0477559917674899,-0.08443462607786878,-0.191058738503183
2016,-0.041221192458491984,0.24877507643985397,-0.1386366419154239,0.15173823216372284,-0.1376032349804116
2017,-0.056748799896335966,0.1289120236874295,0.07768177206074856,-0.17662958344654744,-0.08239241157065635
2018,0.02431665238794789,-0.10358969941323093,0.4718616952302528,-0.18294526954325585,-0.1441988352990644
2019,-0.12307141048539694,0.24685404748912165,-0.14691481700307651,-0.204403327404575,-0.02087229318395578
2020,-0.1430979893251041,0.19950234784271448,-0.13390621781073764,-0.31728051325049345,-0.005818010843007593
