rebalance_date,top1_share,dominant_sleeve
2015-01-01,0.6022433771600014,s8_net_q
2015-04-01,0.6694757146763697,gp_net
2015-07-01,0.5009470251413545,s7_net
2015-10-01,0.6928961598535154,s8_net_q
2016-01-01,0.42512546064624274,s7_net
2016-04-01,0.40926570120804967,gp_net
2016-07-01,0.5860819629067341,s7_net
2016-10-01,0.7251290614909347,s7_net
2017-01-01,0.8468457585859757,s7_net
2017-04-01,0.49285747159634075,gp_net
2017-07-01,0.7856273661002674,s7_net
2017-10-01,0.5974170591009363,s7_net
2018-01-01,0.6100036979053841,s7_net
2018-04-01,0.524077428307454,s8_net_q
2018-07-01,0.49257020792157796,gp_net
2018-10-01,0.6701631353379521,gp_net
2019-01-01,0.4865104181035081,s7_net
2019-04-01,0.6378478179523599,s7_net
2019-07-01,0.46531996211410914,s7_net
2019-10-01,0.796565097049215,s7_net
2020-01-01,0.5358101551021233,s7_net
2020-04-01,0.8019993546605206,s7_net
2020-07-01,0.5918150535649895,gp_net
2020-10-01,0.476747216361405,gp_net
