rebalance_date,gp_net,gp_gross,s7_net,s7_gross,s8_net_q,s8_gross_q,s8_n_months,s8_mean_turnover,s8_mean_ic,iwm_ret,blended_net,blended_gross,year
2015-01-01,0.0042959991934932,0.0341972775452596,0.0225867148011327,0.0579909027165464,-0.040703122295621674,-0.011424169153631758,1,1.0,0.0078488394060026,0.04943476006448333,-0.004606802766998592,0.02692133703605808,2015
2015-04-01,0.0340910846294742,0.0425721112466629,-0.0113348675229903,0.0121863714366722,-0.005496111011475846,0.029124549544294442,3,0.34822118871460744,0.043736625636489335,0.0065102073625993295,0.005753368698336018,0.027961010742543185,2015
2015-07-01,0.0303460464976174,0.039632493904486,-0.1079071269596839,-0.0879360359247619,-0.07715309016755056,-0.05227841233831154,3,0.2689140803408108,0.0028116855598630656,-0.1232564013576436,-0.05157139020987236,-0.033527318119529144,2015
2015-10-01,-0.0208335655026808,-0.0101985572644075,0.0151493142146763,0.0352792930913098,-0.08118556630465856,-0.05770472437157115,3,0.2514057466608716,0.091811681593986,0.037590018140007064,-0.02895660586422102,-0.010874662848222949,2015
2016-01-01,0.0431916491287036,0.0508029979451263,0.0977030937299152,0.1188428457615033,-0.08892704570561949,-0.06976898701690193,3,0.2141499800757123,-0.006553249892970833,0.013176984849489592,0.01732256571766644,0.03329228556324256,2016
2016-04-01,-0.0989776994423343,-0.0903081699620612,0.0849819105084953,0.1046356517286689,-0.05788254576898022,-0.04259070086641459,3,0.15757522652593844,0.03217197374045894,0.03842692584611518,-0.02395944490093974,-0.009421073033268964,2016
2016-07-01,-0.0640348918504605,-0.056373711462938,-0.1245978236518364,-0.10335432894453,0.023961821674518102,0.039821547517243205,3,0.18008586157406478,0.06164137876108534,0.08532502738789649,-0.05489029794259293,-0.039968830963408274,2016
2016-10-01,-0.0208999057909844,-0.0153460720183962,0.1046858113791441,0.1244880557141736,-0.0187828055365743,-0.00440497775175408,3,0.16260820538646903,0.044413810209837805,0.09361170016105236,0.021667700017195132,0.034912335314674435,2016
2017-01-01,-0.0218904142347151,-0.0139956961473774,-0.2010049814190905,-0.1817403077090938,0.014461855511648025,0.029743255256045043,3,0.15504794633551564,0.048705722472898394,0.017380259830709344,-0.06947784671405254,-0.05533091620014205,2017
2017-04-01,0.0545293331478415,0.0636023578572634,0.0134197370951299,0.0343025770644911,-0.04269008263671148,-0.028496243873660787,3,0.15753925260967508,0.015528260183140631,0.035947952657257476,0.008419662535419975,0.023136230349364573,2017
2017-07-01,-0.0151141513457123,-0.0074963388130426,-0.1149744856922709,-0.095705337437164,-0.016258716240946547,-0.0014679375969010033,3,0.1457100825543871,0.09661603808382886,0.049875891085190194,-0.04878245109297658,-0.0348898712823692,2017
2017-10-01,0.0608609417172935,0.0681192717292145,0.1489629854691706,0.1688750008723317,-0.039521121134298065,-0.023366987424612518,3,0.21478804324811004,0.009381321064234699,0.020236583827508037,0.05676760201738868,0.07120909505897789,2017
2018-01-01,0.0847540832630085,0.0935587587544448,-0.1643597346319551,-0.1424265180477361,0.02032673663991802,0.03695739451936442,3,0.17521777393533544,0.04144665295320517,-0.01111907576044191,-0.01975963824300953,-0.003970121591308958,2018
2018-04-01,0.0975456754372909,0.1073957435562473,0.006074669207915,0.0285599302953236,-0.1141048711954632,-0.10028704779157971,3,0.15337243401759526,-0.0282780398601226,0.10558293390936768,-0.003494842183419102,0.011889542019997063,2018
2018-07-01,0.1234825469278491,0.1318061401985646,-0.0726172532637727,-0.0519894178274274,-0.05459044648182043,-0.041619956305689376,3,0.12788496338984934,0.0160905112543421,0.015024383197232538,-0.0012417176059146783,0.012732255355149274,2018
2018-10-01,0.1003903584114216,0.1095486893748811,0.0479548307949135,0.0689582628997249,0.001454692520666212,0.018545754171643836,3,0.20097389397755291,0.0436183209091355,-0.19221638877498137,0.04993329390900044,0.06568423548208328,2018
2019-01-01,-0.1036180388843007,-0.0946132289806172,-0.1141197014809383,-0.092358971433143,0.01683010697047549,0.033005317596435324,3,0.18912280249135183,0.07077764891238371,0.15235473720060155,-0.06696921113158784,-0.051322294272441636,2019
2019-04-01,-0.03572353136072,-0.0275801980969764,0.0713347556389054,0.091790150860442,-0.004778351193959085,0.012307202401079742,3,0.16886700778882313,0.0474203525860453,0.012189847035099621,0.010277624361408772,0.02550571838818178,2019
2019-07-01,0.0181073367380223,0.0269863978592812,-0.0445994408730596,-0.0203075357298332,-0.03314004716391583,-0.016465231863389218,3,0.17442190882776795,-0.02681592808230743,-0.046129211180387264,-0.019877383766317713,-0.003262123244647072,2019
2019-10-01,-0.0305974565130912,-0.022191225562413,-0.1225806063629207,-0.1005579084594929,0.0007084265232935039,0.01854823310424414,3,0.21648185711278037,0.0157249849025997,0.120670402065016,-0.0508232121175728,-0.034733633639220586,2019
2020-01-01,-0.1062162507144878,-0.0989163755778094,-0.1718149056595063,-0.1507474689920859,0.04263261608989111,0.061265811731185504,3,0.19869187694121382,0.045790863997620494,-0.3541606829387691,-0.07846618009470101,-0.06279934427956994,2020
2020-04-01,-0.0597563537765133,-0.0456049369905454,-0.3035389475370341,-0.2764808844488066,0.015182493927970553,0.039311437802873606,3,0.2685056921714308,0.09510613298495722,0.3340382241752109,-0.11603760246185894,-0.09425812787882613,2020
2020-07-01,0.162947033914469,0.1730989150632481,0.1051905170577388,0.1306716214257704,-0.00719683420928563,0.01039548043197458,3,0.18461631717133928,0.08543397567362337,0.07726929465072074,0.08698023892097406,0.10472200564033103,2020
2020-10-01,-0.1137992280894945,-0.1018845363761654,0.0709788751962201,0.0915910746649554,-0.053921199372043094,-0.041071353948272105,3,0.14011461957065244,-0.008356368923595566,0.29236166507963013,-0.032247184088439164,-0.017121605219827366,2020
