year,beta,beta_t,n
2015,0.23782702577781234,1.531843751280915,4
2016,-0.23834814325205408,-0.367404650820551,4
2017,-0.8083204219935652,-0.30873741017526074,4
2018,-0.1977145667904903,-2.00495331416329,4
2019,-0.2981178334027903,-1.935618005191333,4
2020,-0.004919247148576855,-0.024857046145958444,4
