rebalance_date,top1_share,top3_share,n_names
2015-01-01,0.036903909384996235,0.10908779409597473,94
2015-04-01,0.04125774317727199,0.11170866084493043,94
2015-07-01,0.03400568302266387,0.09853004506185475,100
2015-10-01,0.07188038003857575,0.15886061044903374,112
2016-01-01,0.06586593748794009,0.13131825198122637,102
2016-04-01,0.055064079514936214,0.15878441939374094,102
2016-07-01,0.056626402433844564,0.14555325186715773,106
2016-10-01,0.039978397389650214,0.10739343272283774,102
2017-01-01,0.0826713977543567,0.16975932589986933,96
2017-04-01,0.04253666967459949,0.11534864975433783,106
2017-07-01,0.040295606518033704,0.10113847951124909,114
2017-10-01,0.045336494006185155,0.11912579302836417,106
2018-01-01,0.027189895132915552,0.07866461027819614,114
2018-04-01,0.05628945153302672,0.1504368071338334,118
2018-07-01,0.19337147984747657,0.24061910170431908,120
2018-10-01,0.03258319460571925,0.07654291952804473,118
2019-01-01,0.18597024595085132,0.23913753226803583,132
2019-04-01,0.03217521601484157,0.09072222497440585,130
2019-07-01,0.038562131840628636,0.09607748386552344,134
2019-10-01,0.050480284006160836,0.11470323848054423,132
2020-01-01,0.016490699413299982,0.048519558561508774,128
2020-04-01,0.024760602282496245,0.06985570507840122,156
2020-07-01,0.11703293656542652,0.20850162164047198,146
2020-10-01,0.060055523042628366,0.12326213115309857,146
