rebalance_date,hold_end,n_universe,mkt_ret,composite__long_ret,composite__short_ret,composite__ls_ret,composite__ls_gross,composite__ls_cost,composite__ls_ba_cost,composite__ls_borrow_cost,composite__long_scale,composite__short_scale,composite__mean_beta_long,composite__mean_beta_short,composite__avg_turnover,composite__n_long,composite__guard_fired,composite__ic,gp_alone__long_ret,gp_alone__short_ret,gp_alone__ls_ret,gp_alone__ls_gross,gp_alone__ls_cost,gp_alone__ls_ba_cost,gp_alone__ls_borrow_cost,gp_alone__long_scale,gp_alone__short_scale,gp_alone__mean_beta_long,gp_alone__mean_beta_short,gp_alone__avg_turnover,gp_alone__n_long,gp_alone__guard_fired,gp_alone__ic,residrev_alone__long_ret,residrev_alone__short_ret,residrev_alone__ls_ret,residrev_alone__ls_gross,residrev_alone__ls_cost,residrev_alone__ls_ba_cost,residrev_alone__ls_borrow_cost,residrev_alone__long_scale,residrev_alone__short_scale,residrev_alone__mean_beta_long,residrev_alone__mean_beta_short,residrev_alone__avg_turnover,residrev_alone__n_long,residrev_alone__guard_fired,residrev_alone__ic,ivolvalue_alone__long_ret,ivolvalue_alone__short_ret,ivolvalue_alone__ls_ret,ivolvalue_alone__ls_gross,ivolvalue_alone__ls_cost,ivolvalue_alone__ls_ba_cost,ivolvalue_alone__ls_borrow_cost,ivolvalue_alone__long_scale,ivolvalue_alone__short_scale,ivolvalue_alone__mean_beta_long,ivolvalue_alone__mean_beta_short,ivolvalue_alone__avg_turnover,ivolvalue_alone__n_long,ivolvalue_alone__guard_fired,ivolvalue_alone__ic
2015-01-01,2015-04-01,233,0.027931809171967747,0.07839384420091623,-0.016343061223269572,0.06210130846025876,0.09272756324429803,0.03062625478403925,0.02702191615473101,0.00360433862930824,1.0005333241822274,0.9994666758177727,1.0266693997200982,1.0277650793085658,1.0,47,False,0.13856589125240606,0.03590108253413071,-0.029262718008606622,0.017955433550048437,0.04712099022259669,0.029165556672548245,0.026354768355781273,0.002810788316766973,1.1736711015973065,0.8263288984026935,0.8036258101052292,1.14142491160776,1.0,47,False,0.1314600623095517,0.013443619623146965,-0.04437576277062717,-0.031324086135968675,0.00013624821633714118,0.031460334352305816,0.02771363592316349,0.0037466984291423247,0.9932212525927867,1.0067787474072132,1.1352172128254885,1.1199301385643707,1.0,47,False,0.0017180663547394345,0.02244502076774268,-0.0029711932170330448,0.01689948173116489,0.04561414385261713,0.028714662121452243,0.025217303458897757,0.0034973586625544873,0.8987124588624106,1.1012875411375895,1.1192318470047609,0.9133560198272485,1.0,47,False,0.10739195440246202
2015-04-01,2015-07-01,233,0.0002337042025809423,0.005800259671138581,-0.020472477163889335,-0.014876233009499563,0.005759917734780899,0.020636150744280463,0.01700144197165622,0.0036347087726242423,0.9922347063410307,1.0077652936589692,0.9661019798424494,0.9512134623965869,0.6170212765957447,47,False,-0.04308866789279772,0.016783353037137766,-0.02151529861128394,-0.002619614587232609,0.005846567340622779,0.008466181927855386,0.00506598859286026,0.0034001933349951264,1.0551541867923857,0.9448458132076142,0.9055607968766728,1.0112827435575606,0.19148936170212766,47,False,0.02643507397836242,-0.006856173396314155,-0.03179661612404795,-0.038626741967722734,-0.013579925514664574,0.025046816453058167,0.021572909826200075,0.0034739066268580903,1.0010443901467077,0.9989556098532923,1.0217558221748317,1.0238922768931296,0.7659574468085106,47,False,-0.0405467454453691,0.0038525995626883212,0.013538035832377091,0.0185834180061232,0.035066081161873444,0.016482663155750248,0.012861899048532925,0.003620764107217323,0.8768478179149576,1.1231521820850425,1.1304051012783078,0.8825101907167644,0.48936170212765956,47,False,-0.04293078782497163
2015-07-01,2015-10-01,249,-0.1628755842277167,-0.18757593022091915,0.15982669027034463,-0.03176564774693774,-0.012728711632183781,0.01903693611475398,0.01568021525886292,0.0033567208558910613,1.0115612478417222,0.9884387521582779,0.9992399628656156,1.0226151307024036,0.5800000000000001,50,False,-0.01381791046644217,-0.15621407119850172,0.1951103067618082,0.011066034552483006,0.01950865299825516,0.008442618445772161,0.004986691492403893,0.0034559269533682682,1.0792151150238927,0.9207848849761074,1.0046763048972875,1.177540891084067,0.18,50,False,0.12138593082005439,-0.22132436338167155,0.151297954376485,-0.06202721063253963,-0.035092824047939675,0.026934386584599918,0.023176739684128783,0.003757646900471136,0.9785326911689743,1.0214673088310258,1.085567967616405,1.039939052003707,0.81,50,False,-0.05729109988340459,-0.17774176260137928,0.14914176120328335,-0.03133540539401711,-0.015141453251672599,0.0161939521423445,0.01298360416636245,0.003210347975982048,1.0083681305318888,0.9916318694681113,0.9670858085625429,0.9834077936272811,0.47,50,False,-0.10313686541210387
2015-10-01,2016-01-01,277,0.06529883477992898,0.05400517519313425,-0.11480617399628934,-0.057062658317569806,-0.037365875687343994,0.01969678263022583,0.016409868578730585,0.0032869140514952444,1.0221450779437258,0.9778549220562743,1.0225106544803546,1.0688234103524457,0.5982142857142857,56,False,-0.07792067372319758,0.003639990656600383,-0.054244060645672165,-0.0422704692139884,-0.03152580892298005,0.01074466029100836,0.007524224882830973,0.0032204354081773875,1.1439705858106757,0.8560294141893244,0.9265931370532055,1.2382697092327628,0.2767857142857143,56,False,-0.03180300346486351,0.009767033677269252,-0.09866375678456328,-0.1000995610521652,-0.07346957518089733,0.02662998587126785,0.02264698868786828,0.003982997183399572,0.8966821333944388,1.1033178666055612,1.1925394913780565,0.9691938177126268,0.7946428571428572,56,False,-0.0794093966703893,0.03649663223322845,-0.0538434442472572,-0.018907763868010435,-0.0023937592231552257,0.016514004644855213,0.013093748734628034,0.003420255910227179,0.9827213799811332,1.017278620018867,1.1296057854703594,1.091232760117887,0.4642857142857143,56,False,-0.02890147872462236
2016-01-01,2016-04-01,252,0.06204332287195982,0.09832642853417817,-0.07599556791980794,0.02394173643081833,0.0432826314407858,0.01934089500996748,0.01597391579322082,0.003366979216746657,1.0092408063767977,0.9907591936232024,1.0038949519346965,1.0226215990012715,0.5980392156862745,51,False,0.10970202627264455,0.07526782655442822,-0.025530509422955712,0.06837750215775448,0.07580950741488884,0.007432005257134375,0.004397829219214448,0.0030341760379199276,1.184925523279117,0.815074476720883,0.8977097764139947,1.3050577057075432,0.16666666666666669,51,False,0.10086402008454598,0.05725080800110935,-0.048219762279406594,0.0027943761421203445,0.02932789253830264,0.026533516396182292,0.022595949138075493,0.003937567258106799,0.9408681534290088,1.0591318465709911,1.1938621841535217,1.0605543703457672,0.7647058823529411,51,False,0.05079700021671268,0.087455395604029,-0.10148598803515427,-0.0205083073767046,-0.003326694760872495,0.017181612615832096,0.013603857853334202,0.0035777547624978923,0.9657157430478563,1.0342842569521438,1.0817321407027907,1.010018040026959,0.5,51,False,0.06291642444272044
2016-04-01,2016-07-01,254,0.05869000249553302,0.029873093569797334,-0.10455782177793192,-0.056559228601266394,-0.035352863557907135,0.021206365043359255,0.01804474113435059,0.0031616239090086658,1.1348313337001643,0.8651686662998359,0.9671554580259718,1.2686061817530423,0.6176470588235294,51,False,-0.032886994666550595,0.01029448904396232,-0.15784139895703703,-0.10851177481637249,-0.09949890412143206,0.009012870694940436,0.006167155968739848,0.002845714726200589,1.2321642069447434,0.7678357930552566,0.8717001539550944,1.3988377965787204,0.22549019607843138,51,False,-0.1249733398336866,0.09421767688652755,-0.03602736386981835,0.0613353470865205,0.08837893288407203,0.02704358579755153,0.02351778934517101,0.00352579645238052,1.0241470542874245,0.9758529457125754,1.1441795077661545,1.2008039506393857,0.7941176470588236,51,False,0.1254573647952225,0.037689994220323986,-0.09631468781174718,-0.051095534579469574,-0.03607840006245782,0.01501713451701175,0.01199849201619939,0.0030186425008123597,1.0561857906588044,0.9438142093411953,1.024360213261515,1.14632169239986,0.45098039215686275,51,False,-0.06716775315148102
2016-07-01,2016-10-01,265,0.12650605008328966,0.06399450031601644,-0.13941347809062316,-0.06509695964550014,-0.04484610541763727,0.020250854227862873,0.01686406336865821,0.0033867908592046616,1.0507453946003606,0.9492546053996392,0.9764010449323071,1.0807942309783936,0.6037735849056604,53,False,-0.048103363197807364,0.07317426460723726,-0.16978084818298758,-0.054449968357984865,-0.04562441957373044,0.008825548784254449,0.005831884272425309,0.0029936645118291403,1.1735160653077708,0.8264839346922294,0.873254356869848,1.239924908242027,0.20754716981132076,53,False,-0.09348845314752265,0.10972289181641344,-0.1378285791796156,-0.027412062527935904,-0.001426862267604953,0.025985200260330948,0.022308272151943673,0.003676928108387274,1.002801941884956,0.9971980581150439,1.025404469141201,1.0311668624947115,0.7735849056603774,53,False,0.05399411908845873,0.1283793564102015,-0.17027138213822943,-0.03055850386504491,-0.014215606876306602,0.01634289698873828,0.013246810274345135,0.003096086714393146,1.037949083662303,0.962050916337697,0.9902756093592061,1.0684004805279155,0.49056603773584906,53,False,-0.04648890114081291
2016-10-01,2017-01-01,251,0.0507371716860481,0.03143665461539875,-0.027527873565408378,0.015019770324543887,0.033498808204371025,0.01847903787982714,0.015612744078699866,0.0028662938011272733,1.1884351425739066,0.8115648574260935,0.8758345806582457,1.2825501070079648,0.5784313725490196,51,False,-0.011680236314338418,0.0026624632883672766,-0.030856505711479743,-0.0221206023915487,-0.015653577934346876,0.006467024457201826,0.0034731008096493786,0.0029939236475524473,1.1811941182197903,0.8188058817802097,0.9497159880061594,1.3700425998079169,0.12745098039215685,51,False,-0.08805124038156872,0.022812351446996663,0.011142190345274111,0.03481843417243165,0.06117387981270421,0.026355445640272562,0.022933910049553922,0.0034215355907186405,1.0740257458856637,0.9259742541143362,0.9634941084428017,1.117544547139155,0.8431372549019608,51,False,0.08666894327452096,0.049967191240792366,-0.06806901421249884,-0.006201531775594196,0.01092878022098169,0.017130311996575887,0.014009583964361066,0.0031207280322148217,1.1008189915154583,0.8991810084845414,0.9511680692286109,1.1644639564781756,0.5098039215686274,51,False,-0.017671792386984266
2017-01-01,2017-04-01,238,0.029058857667690823,0.041541706772380664,-0.04312849375698725,-0.0007879201675858316,0.01837849971881081,0.019166419886396644,0.015661063889925365,0.0035053559964712796,1.009435041041903,0.9905649589580968,1.0212432419595567,1.040697739747949,0.5729166666666667,48,False,0.023078948172717606,0.001356932886782188,-0.051188292759419565,-0.04329753762897099,-0.03558127823317432,0.007716259395796671,0.0046196580309709875,0.003096601364825683,1.1243466397434472,0.8756533602565529,0.9499617996327231,1.219759331465087,0.16666666666666669,48,False,0.03210288589945463,0.07160962581232838,-0.03636114815998519,0.032606140644878455,0.05948811081223532,0.02688197016735686,0.02312678912709172,0.0037551810402651374,0.9755272940051138,1.0244727059948862,1.0591730238016526,1.008569762518981,0.8125,48,False,0.1150625389714172,0.002232508372642294,-0.03700953594045815,-0.03571304385150484,-0.018759501826912526,0.01695354202459232,0.013399308302840703,0.0035542337217516185,0.9761476166679596,1.0238523833320403,1.0106406609682947,0.9635514734080511,0.5,48,False,-0.14530957401239422
2017-04-01,2017-07-01,261,0.041319762455675584,0.01814762537979839,-0.010241473727469093,0.009735612897266604,0.028849235604295028,0.019113622707028426,0.015724215090506963,0.003389407616521464,1.064442384664083,0.935557615335917,0.9503574225394805,1.0812810505186423,0.5660377358490566,53,False,0.05849891021675833,0.07196608812912564,-0.032909686595801846,0.05346689177080351,0.06282787710404221,0.009360985333238706,0.0064232050442233155,0.002937780289015391,1.1374053281158223,0.8625946718841779,0.9095183665367934,1.1992782587660722,0.24528301886792453,53,False,0.07953781351668458,0.02697656859407698,-0.06854561944770354,-0.041835622416651154,-0.014461598848361082,0.02737402356829008,0.023573139235222317,0.00380088433306776,0.9972093231060828,1.002790676893917,1.0500032446907595,1.0441591141837374,0.8207547169811321,53,False,-0.02960900641869318,0.028339309034197013,-0.04120115144618587,-0.013294028879796766,0.0030346482893327184,0.016328677169129488,0.012957504225666914,0.0033711729434625724,0.9937851077657182,1.0062148922342817,1.0259615954553072,1.0132878797282259,0.49056603773584906,53,False,0.030124666768695765
