year,n_quarters,ann_return_net,ann_return_gross
2015,4,-0.21394082378339352,-0.11800465916148739
2016,4,0.07116790989467314,0.1871355177401739
2017,4,-0.06954445052408464,0.03570240431300897
2018,4,-0.07661174520368452,0.02765529069568906
2019,4,-0.09676122015394317,0.006501213665095484
2020,4,0.10889081004319046,0.23264548403940077
