,GP/A,ResidRev,IVOLValue
GP/A,1.0,-0.17450227594905313,0.5626970763299382
ResidRev,-0.17450227594905313,1.0,0.03068139700163943
IVOLValue,0.5626970763299382,0.03068139700163943,1.0
