rebalance_date,hold_end,n_universe,n_with_signal,n_delisted,pct_dropped,long_ret,short_ret,ls_ret,ls_gross,ls_cost,ls_ba_cost,ls_borrow_cost,long_scale,short_scale,mean_beta_long,mean_beta_short,long_turnover,short_turnover,avg_turnover,mkt_ret,ic,n_long,n_short,guard_fired,mean_acc_long,mean_acc_short,sign_ok
2015-01-01,2015-04-01,361,308,0,14.681440443213296,-0.012613865123734316,-0.03541352589215743,-0.04948385181992705,-0.017600094342660348,0.0318837574772667,0.028317163259684582,0.0035665942175821153,0.936119189718276,1.0638808102817239,1.1269929677570507,0.991652197876897,1.0,1.0,1.0,0.037178660155379274,0.06034457620428968,62,62,False,-0.16376709112481402,0.09465725345428207,True
2015-04-01,2015-07-01,360,330,1,8.333333333333334,0.003680990718714641,-0.027210206578976586,-0.02365730539619692,-0.01288040745293474,0.01077689794326218,0.007308616494505262,0.0034682814487569194,0.9958535263395392,1.0041464736604608,1.022299700446692,1.0138568310203886,0.3484848484848485,0.15151515151515152,0.25,0.011506345439762637,0.07320528028890823,66,66,False,-0.18051880044070287,0.10620753729669291,True
2015-07-01,2015-10-01,391,364,1,6.90537084398977,-0.20131216528267074,0.1340902711199906,-0.021293610309931876,-0.010438645367900123,0.01085496494203174,0.0069097904264794185,0.003945174515552322,0.8630651454254497,1.1369348545745501,1.1668421344250548,0.8857682323521976,0.2328767123287671,0.2602739726027397,0.2465753424657534,-0.17129319252963052,0.10928946520478276,73,73,False,-0.16978414046568865,0.10049118111820544,True
2015-10-01,2016-01-01,424,382,1,9.90566037735849,0.15276313718583961,-0.07646414728502936,0.04851670284727937,0.05877288831788678,0.010256185470607398,0.006353676613170006,0.0039025088574373918,0.8788002609826251,1.1211997390173751,1.0986788162459384,0.861148283265922,0.23376623376623376,0.22077922077922077,0.22727272727272727,0.06685225723538354,-0.08271812592538107,77,77,False,-0.1506757504181362,0.08176217406012379,True
2016-01-01,2016-04-01,412,362,1,12.135922330097088,-0.04004172915912695,-0.06076517782276607,-0.10300986709751075,-0.09542280863110533,0.00758705846640542,0.003815725595448977,0.0037713328709564438,0.8936972242712188,1.106302775728781,1.097928732612542,0.8869324766333215,0.16666666666666666,0.1111111111111111,0.1388888888888889,0.012316551191878558,0.13087537525208395,72,72,False,-0.1638594490050122,0.09563395006908429,True
2016-04-01,2016-07-01,402,374,1,6.965174129353234,0.049813803596633184,-0.10475383915910746,-0.07301627675098889,-0.06267796428851924,0.010338312462469657,0.006523690623736476,0.0038146218387331804,0.8830528766160972,1.1169471233839028,1.156339537358736,0.914196324456262,0.30666666666666664,0.17333333333333334,0.24,0.059695372806958226,0.04622608247681052,75,75,False,-0.15823585836822657,0.08813631639155309,True
2016-07-01,2016-10-01,414,386,1,6.763285024154589,0.12190331033322814,-0.10145701606749874,-0.0011497049125460401,0.009022883452381156,0.010172588364927224,0.006434421622359581,0.003738166742567643,0.9033131822187149,1.0966868177812852,1.0917844671428285,0.8992752400425381,0.23376623376623376,0.23376623376623376,0.23376623376623376,0.11767258142230523,0.01989176993529498,77,77,False,-0.1768939732031266,0.09506325970740435,True
2016-10-01,2017-01-01,387,363,1,6.2015503875969,-0.012941830783193917,-0.09604049311422191,-0.11566335431368724,-0.10766891313351687,0.007994441180170382,0.004331466752301349,0.0036629744278690326,0.9196012278794915,1.0803987721205086,1.0294165073752484,0.87620673829876,0.136986301369863,0.1780821917808219,0.15753424657534246,0.05076861445168253,0.15739851412825584,73,73,False,-0.17778724083873326,0.10539864833596267,True
2017-01-01,2017-04-01,384,348,1,9.375,0.06634594956702317,-0.02293935230123524,0.0346192350118418,0.042193876367565226,0.007574641355723432,0.003872184883195371,0.0037024564725280608,0.9015810881514184,1.0984189118485816,1.0645633388926259,0.8737924694592558,0.17142857142857143,0.11428571428571428,0.14285714285714285,0.042824776158783356,-0.00901012868135937,70,70,False,-0.16813343560972083,0.08854239633225634,True
2017-04-01,2017-07-01,404,379,1,6.188118811881188,0.026476789764132383,-0.049957296648235804,-0.028027394490808717,-0.017741571449064197,0.010285823041744514,0.0066919205796462326,0.003593902462098282,0.9405123051752792,1.0594876948247207,1.0429858047529543,0.925863498259486,0.3157894736842105,0.17105263157894737,0.24342105263157893,0.04707856554716786,0.0651431770782302,76,76,False,-0.18256961941878957,0.10012619221580814,True
