sic_major_group,contribution
73,0.22296641850010487
28,0.13959499403684614
59,0.05027351755234516
20,0.034548522568356915
48,0.03448654853939995
38,0.032110440639672555
82,0.031563988009650205
79,0.031072284435387013
13,0.03091693119553352
36,0.02826097135344601
12,0.02243493701128808
25,0.021088500589919165
29,0.015821288112981
21,0.014964362002261297
45,0.014731244882745576
57,0.012850647054296362
27,0.008335470894511792
75,0.006516128862990677
26,0.0060353474204017064
54,0.0031410796214274813
44,0.0017856368506455676
72,0.0017172606589526043
47,0.0010152948160566675
53,0.0002478194374244888
17,-0.00014156532163579606
81,-0.0003570487932674808
22,-0.0013031858784897901
14,-0.0027775739547930573
42,-0.0030276563962835785
32,-0.003688160066445118
70,-0.0038076523503337845
39,-0.003988251484734693
23,-0.006466898020361143
80,-0.008588894312007702
49,-0.008817915104674296
31,-0.009010430032843795
10,-0.010752746259731836
2,-0.01166396934368392
50,-0.012403500899608335
55,-0.014345738732117627
1,-0.01616710729413872
87,-0.016570306121090294
16,-0.01898289058199519
56,-0.01951414930747885
24,-0.024359038890909755
30,-0.025304323804107878
58,-0.026838440863494246
33,-0.03783672975795126
52,-0.03796423758595426
51,-0.05461909191644007
34,-0.05548339077341497
35,-0.07658658506354153
15,-0.08339762107339352
37,-0.18632682633273218
