date,book_net,book_gross,book_cost,n_open
2016-04-13,-0.01699451627385263,0.0,0.01699451627385263,1
2016-04-14,-0.020953888913427237,-0.020929292222522045,2.459669090519106e-05,1
2016-04-15,-0.028285466246477802,-0.02826086955557261,2.459669090519106e-05,1
2016-04-18,-0.0061031112492828474,-0.006078514558377657,2.459669090519106e-05,1
2016-04-19,-0.013550665389055397,-0.013526068698150207,2.459669090519106e-05,1
2016-04-20,-0.026076700899944443,-0.02605210420903925,2.459669090519106e-05,1
2016-04-21,0.013483485448254192,0.013508082139159383,2.459669090519106e-05,1
2016-04-22,-0.030602110960892753,-0.03057751426998756,2.459669090519106e-05,1
2016-04-25,0.03244707643912067,0.03247167313002586,2.459669090519106e-05,1
2016-04-26,0.002715934927470317,0.002740531618375508,2.459669090519106e-05,1
2016-04-27,0.01729112120136463,0.017315717892269822,2.459669090519106e-05,1
2016-04-28,0.01892820164632632,0.018952798337231513,2.459669090519106e-05,1
2016-04-29,-0.023839213445574586,-0.023814616754669393,2.459669090519106e-05,1
2016-05-02,-0.030658554701608314,-0.030633958010703122,2.459669090519106e-05,1
2016-05-03,0.03002325019392173,0.030047846884826923,2.459669090519106e-05,1
2016-05-04,0.005667570889420567,0.005692167580325758,2.459669090519106e-05,1
2016-05-05,0.026530183884506914,0.026554780575412107,2.459669090519106e-05,1
2016-05-06,0.022946387324947932,0.022970984015853124,2.459669090519106e-05,1
2016-05-09,-0.00552301441122586,-0.00549841772032067,2.459669090519106e-05,1
2016-05-10,0.015304442482204214,0.015329039173109404,2.459669090519106e-05,1
2016-05-11,-6.740898132943445e-05,-4.281229042424339e-05,2.459669090519106e-05,1
2016-05-12,-0.0053407379252573915,-0.005316141234352201,2.459669090519106e-05,1
2016-05-13,-0.034073789057898186,-0.034049192366993,2.459669090519106e-05,1
2016-05-16,-0.010441362589777495,-0.010416765898872304,2.459669090519106e-05,1
2016-05-17,-0.012736461098689792,-0.012711864407784601,2.459669090519106e-05,1
2016-05-18,-0.0026144487019738407,-0.0025898520110686496,2.459669090519106e-05,1
2016-05-19,0.008598970697991056,0.008623567388896247,2.459669090519106e-05,1
2016-05-20,0.026833768430346423,0.026858365121251615,2.459669090519106e-05,1
2016-05-23,-0.02414740371310224,-0.024122807022197046,2.459669090519106e-05,1
2016-05-24,0.00021221301783676743,0.0002368097087419585,2.459669090519106e-05,1
2016-05-25,0.013783179043397728,0.013807775734302918,2.459669090519106e-05,1
2016-05-26,0.013019831866128448,0.013044428557033638,2.459669090519106e-05,1
2016-05-27,0.006443185659516034,0.006467782350421225,2.459669090519106e-05,1
2016-05-31,0.001794186383409465,0.001818783074314656,2.459669090519106e-05,1
2016-06-01,-0.03129226051115911,-0.03126766382025392,2.459669090519106e-05,1
2016-06-02,0.0052522520543906905,0.005276848745295881,2.459669090519106e-05,1
2016-06-03,0.00798294492756831,0.008007541618473502,2.459669090519106e-05,1
2016-06-06,0.002052807047694912,0.002077403738600103,2.459669090519106e-05,1
2016-06-07,-0.022340577738371874,-0.022315981047466682,2.459669090519106e-05,1
2016-06-08,0.002249276449643641,0.002273873140548832,2.459669090519106e-05,1
2016-06-09,-0.003610384976586204,-0.003585788285681013,2.459669090519106e-05,1
2016-06-10,0.027308919105737534,0.027333515796642727,2.459669090519106e-05,1
2016-06-13,0.029884579637638704,0.029909176328543896,2.459669090519106e-05,1
2016-06-14,-0.03970653122133492,-0.03968193453042973,2.459669090519106e-05,1
2016-06-15,0.016547080011436472,0.016571676702341664,2.459669090519106e-05,1
2016-06-16,-0.015309326938917437,-0.015284730248012246,2.459669090519106e-05,1
2016-06-17,-0.030216135587007236,-0.030191538896102044,2.459669090519106e-05,1
2016-06-20,0.011879711356329111,0.011904308047234302,2.459669090519106e-05,1
2016-06-21,0.0073398875732351345,0.007364484264140325,2.459669090519106e-05,1
2016-06-22,0.00035619646644842944,0.0003807931573536205,2.459669090519106e-05,1
2016-06-23,0.012345765566547503,0.012370362257452694,2.459669090519106e-05,1
2016-06-24,-0.00224287531038501,-0.0022182786194798187,2.459669090519106e-05,1
2016-06-27,0.0077098029665471825,0.007734399657452373,2.459669090519106e-05,1
2016-06-28,0.004700283689065018,0.004724880379970209,2.459669090519106e-05,1
2016-06-29,0.011527195754870897,0.011551792445776088,2.459669090519106e-05,1
2016-06-30,0.012068532770161807,0.012093129461066998,2.459669090519106e-05,1
2016-07-01,-0.036462313428891044,-0.019443200464133226,0.01701911296475782,1
2019-02-25,-0.01228082746968421,0.0,0.01228082746968421,1
2019-02-26,0.03847055944393058,0.038488952245188834,1.8392801258255227e-05,1
2019-02-27,-0.001788641740015357,-0.0017702489387571019,1.8392801258255227e-05,1
2019-02-28,0.010585595406569287,0.010603988207827542,1.8392801258255227e-05,1
2019-03-01,0.00822607432818801,0.008244467129446265,1.8392801258255227e-05,1
2019-03-04,0.004414182899552815,0.00443257570081107,1.8392801258255227e-05,1
2019-03-05,-0.015695527927934712,-0.015677135126676456,1.8392801258255227e-05,1
2019-03-06,0.008959611824857999,0.008978004626116254,1.8392801258255227e-05,1
2019-03-07,0.0010258473201000312,0.0010442401213582864,1.8392801258255227e-05,1
2019-03-08,0.007214714688212559,0.007233107489470814,1.8392801258255227e-05,1
2019-03-11,0.009643352228201124,0.009661745029459379,1.8392801258255227e-05,1
2019-03-12,0.004261334066383965,0.0042797268676422195,1.8392801258255227e-05,1
2019-03-13,-0.0013022137921053173,-0.0012838209908470621,1.8392801258255227e-05,1
2019-03-14,0.00536027635561454,0.005378669156872795,1.8392801258255227e-05,1
2019-03-15,0.006124233544112295,0.00614262634537055,1.8392801258255227e-05,1
2019-03-18,0.0032289028592688055,0.003247295660527061,1.8392801258255227e-05,1
2019-03-19,0.011349653934387699,0.011368046735645954,1.8392801258255227e-05,1
2019-03-20,0.0020686892755638667,0.002087082076822122,1.8392801258255227e-05,1
2019-03-21,0.002591424241113032,0.0026098170423712874,1.8392801258255227e-05,1
2019-03-22,-0.01308721932078027,-0.013068826519522014,1.8392801258255227e-05,1
2019-03-25,0.023851734063761513,0.02387012686501977,1.8392801258255227e-05,1
2019-03-26,-0.0008252230532556033,-0.000806830251997348,1.8392801258255227e-05,1
2019-03-27,0.0037073361969918775,0.003725728998250133,1.8392801258255227e-05,1
2019-03-28,0.004273183194497881,0.004291575995756136,1.8392801258255227e-05,1
2019-03-29,0.006024101473307458,0.006042494274565713,1.8392801258255227e-05,1
2019-04-01,0.00907797591062715,0.009096368711885405,1.8392801258255227e-05,1
2019-04-02,-0.008066618224631944,-0.00804822542337369,1.8392801258255227e-05,1
2019-04-03,-0.002757037375301115,0.009542182895641349,0.012299220270942464,1
2019-06-04,-0.01228082746968421,0.0,0.01228082746968421,1
2019-06-05,-0.012042925422129752,-0.012024532620871498,1.8392801258255227e-05,1
2019-06-06,0.0061533625028318325,0.0061717553040900874,1.8392801258255227e-05,1
2019-06-07,-0.03112822120049907,-0.031109828399240813,1.8392801258255227e-05,1
2019-06-10,-0.02554119295710555,-0.02552280015584729,1.8392801258255227e-05,1
2019-06-11,-0.0016672121607580975,-0.0016488193594998424,1.8392801258255227e-05,1
2019-06-12,0.004275070161072763,0.004293462962331018,1.8392801258255227e-05,1
2019-06-13,0.009305877003047308,0.009324269804305563,1.8392801258255227e-05,1
2019-06-14,-0.006160112613289465,-0.00614171981203121,1.8392801258255227e-05,1
2019-06-17,-0.023680218912435765,-0.02366182611117751,1.8392801258255227e-05,1
2019-06-18,-0.0036184306494122472,-0.003600037848153992,1.8392801258255227e-05,1
2019-06-19,0.006641322138847444,0.006659714940105699,1.8392801258255227e-05,1
2019-06-20,0.02128297288442294,0.021301365685681195,1.8392801258255227e-05,1
2019-06-21,-0.0025979707900265444,-0.002579577988768289,1.8392801258255227e-05,1
2019-06-24,-0.00011321196144220066,-9.481916018394543e-05,1.8392801258255227e-05,1
2019-06-25,0.0165793290831654,0.016597721884423655,1.8392801258255227e-05,1
2019-06-26,-0.010724788433247251,-0.010706395631988996,1.8392801258255227e-05,1
2019-06-27,0.008240786718327958,0.008259179519586213,1.8392801258255227e-05,1
2019-06-28,0.009208376837728354,0.00922676963898661,1.8392801258255227e-05,1
2019-07-01,-0.028879897101916602,-0.01658067683097414,0.012299220270942464,1
2020-01-09,-0.011906349639578947,0.0,0.011906349639578947,1
2020-01-10,-0.0043377677198967405,-0.004327676152340865,1.0091567555875993e-05,1
2020-01-13,-0.003414686357188163,-0.003404594789632287,1.0091567555875993e-05,1
2020-01-14,0.13210919754346434,0.13211928911102022,1.0091567555875993e-05,1
2020-01-15,-0.032667921961318916,-0.020751480754184093,0.011916441207134823,1
2020-02-07,-0.012727609247242104,0.0,0.012727609247242104,3
2020-02-10,-0.01237590697745486,-0.01235293526105515,2.297171639971161e-05,3
2020-02-11,-0.010714678097925286,-0.010691706381525575,2.297171639971161e-05,3
2020-02-12,0.0015921382582958384,0.00161510997469555,2.297171639971161e-05,3
2020-02-13,0.011513736378644267,0.01153670809504398,2.297171639971161e-05,3
