rebalance_date,hold_end,n_universe,n_with_signal,n_delisted,long_ret,short_ret,ls_ret,ls_gross,ls_cost,ls_ba_cost,ls_borrow_cost,long_scale,short_scale,mean_beta_long,mean_beta_short,long_turnover,short_turnover,avg_turnover,mkt_ret,ic,n_long,n_short
2015-01-01,2015-02-01,361,361,0,-0.03351127583630312,0.026019708903202925,-0.027159080921805568,-0.0021542382513247763,0.025004842670480792,0.024156839772638442,0.0008480028978423484,1.3303744104816326,0.6696255895183675,0.6986459114332337,1.3880303517476262,1.0,1.0,1.0,-0.041703045126123814,0.16287580575695404,73,73
2015-02-01,2015-03-01,359,359,0,0.06411864476203223,-0.07805747956467693,0.014714867575589603,0.03268397106584096,0.017969103490251347,0.01692010766895314,0.0010489958212982055,1.2015366680863409,0.7984633319136594,0.7918917860011953,1.1916477313446692,0.5833333333333334,0.6527777777777778,0.6180555555555556,0.06450643294555407,-0.017107836271870444,72,72
2015-03-01,2015-04-01,362,362,0,0.02143520984734978,-0.011308527769828942,0.01954255372467459,0.036734290921969344,0.017191737197294756,0.01627504082616134,0.0009166963711334189,1.2875625182817796,0.7124374817182204,0.7148539561568642,1.2919297252205273,0.6301369863013698,0.6301369863013698,0.6301369863013698,0.0037165824803454934,0.11591737965122725,73,73
2015-04-01,2015-05-01,360,360,0,-0.0184865520466644,0.013361719852897464,-0.009292279166385654,0.011985195374729462,0.021277474541115112,0.020094039406324017,0.0011834351347910952,1.1308531585563375,0.8691468414436625,0.8503262543166898,1.1063655583217558,0.6944444444444444,0.7777777777777778,0.7361111111111112,-0.0010647112124466491,0.014031359168882452,72,72
2015-05-01,2015-06-01,369,369,1,0.008399035445966145,0.004399250182447963,0.013006691672641053,0.03223702145420232,0.01923032978156126,0.017971914977682562,0.0012584148038786997,1.0521043082306956,0.9478956917693044,0.8725974361424096,0.9685280035431614,0.6756756756756757,0.6891891891891891,0.6824324324324325,0.010304379373492887,0.11866969745479379,74,74
2015-06-01,2015-07-01,374,374,1,-0.004404933332518026,-0.017178589358627504,-0.019169010122897186,-0.002492365817528571,0.016676644305368617,0.015670171455971663,0.0010064728493969523,1.189022826613857,0.810977173386143,0.794337605431682,1.16462654670349,0.6133333333333333,0.6266666666666667,0.62,0.00033088005709023285,0.03492262877064171,75,75
2015-07-01,2015-08-01,391,391,1,-0.025792782612068726,0.005400396761883008,-0.027113772020553505,-0.010247252929371245,0.016866519091182256,0.01578400977529142,0.0010825093158908358,1.2154761491218995,0.7845238508781004,0.7666227175774681,1.187741618750622,0.5949367088607594,0.620253164556962,0.6075949367088607,-0.03986124994395056,0.04791622334552551,79,79
2015-08-01,2015-09-01,394,394,1,-0.06938649188190363,0.10331143917389388,-0.00012147585820664053,0.018952898650199668,0.01907437450840632,0.018052777433560534,0.0010215970748457864,1.197144360340928,0.8028556396590719,0.7420434024998317,1.1064667551044325,0.6582278481012658,0.7215189873417721,0.6898734177215189,-0.07162086986186793,0.15765971442640273,79,79
2015-09-01,2015-10-01,417,417,1,-0.02208024481933201,0.0843353506678493,0.029500028445823768,0.049793687856662466,0.02029365941083871,0.019337996502048524,0.000955662908790186,1.307803355821461,0.6921966441785391,0.686554458502562,1.2971432790596509,0.6785714285714286,0.7738095238095238,0.7261904761904763,-0.05936164854178844,0.29379633321391774,84,84
2015-10-01,2015-11-01,424,424,1,0.07532686836486965,-0.13186029717967893,0.01784750709437191,0.033563322993142075,0.01571581589877016,0.014840227932809341,0.0008755879659608196,1.3590035884398837,0.6409964115601161,0.6690034254247399,1.4183824424507374,0.5294117647058824,0.6,0.5647058823529412,0.08234282412855498,0.036088034571516284,85,85
