rebalance_date,hold_end,n_universe,n_high_ivol,n_delisted,long_ret,short_ret,ls_ret,ls_gross,ls_cost,ls_ba_cost,ls_borrow_cost,ls_ret_standalone_value,long_scale,short_scale,mean_beta_long,mean_beta_short,avg_turnover,mkt_ret,ic,n_long,n_short,guard_fired,mean_val_long,mean_val_short,sign_ok
2015-01-01,2015-04-01,338,113,0,0.03591101374416688,-0.011235618800465716,0.02258671480113273,0.05799090271654642,0.035404187915413686,0.030759410309713353,0.004644777605700335,-0.01977585127360123,0.9556982115193247,1.0443017884806751,1.4707602956450387,1.3459739316989663,1.0,0.037178660155379274,0.20304880727496377,38,38,False,0.060471519096450176,-0.338944949875582,True
2015-04-01,2015-07-01,341,114,1,0.027541977697355252,-0.03699170005860165,-0.011334867522990306,0.012186371436672297,0.023521238959662606,0.018890913983968714,0.004630324975693892,-0.061804407825889925,0.9707881957561314,1.0292118042438687,1.1694730197155434,1.1030874287622516,0.5789473684210527,0.011506345439762637,0.020651434617225486,38,38,False,0.06061450527783569,-0.5087608129509824,True
2015-07-01,2015-10-01,372,124,1,-0.23936698600504558,0.20520331495657015,-0.10790712695968399,-0.0879360359247619,0.019971091034922107,0.016206739486082488,0.00376435154883962,-0.012087434969432875,1.1658758035606511,0.8341241964393487,0.8628717330113593,1.2060569389891078,0.4880952380952381,-0.17129319252963052,0.04819897743435975,42,42,False,0.05758997760465369,-0.5354764097392911,True
2015-10-01,2016-01-01,403,135,1,0.04523420138808082,-0.04253409063582371,0.015149314214676322,0.035279293091309866,0.02012997887663353,0.01629642069443224,0.0038335581822012896,-0.07719786681468833,1.141841696760244,0.8581583032397558,1.149108109983945,1.5289714602906372,0.48888888888888893,0.06685225723538354,0.05629814190026468,45,45,False,0.07495469103342087,-0.923965743017805,True
2016-01-01,2016-04-01,391,131,1,0.06133689247287274,0.03204315083686235,0.09770309372991529,0.11884284576150334,0.021139752031588053,0.017381189207587768,0.003758562824000286,0.11669369269222532,1.1475759045702083,0.8524240954297915,1.1530453057387187,1.552287196992458,0.5340909090909091,0.012316551191878558,0.16842594675665543,44,44,False,0.07280030157790016,-0.7685597171869053,True
2016-04-01,2016-07-01,387,129,1,0.10288660469209514,-0.06233781432219258,0.08498191050849534,0.10463565172866898,0.019653741220173642,0.01642292966100936,0.0032308115591642823,-0.020508369706789667,1.2689258670339185,0.7310741329660814,1.1468674991724692,1.9906186939703507,0.4883720930232558,0.059695372806958226,0.08494099134539732,43,43,False,0.07560976624440614,-0.575522713245922,True
2016-07-01,2016-10-01,396,132,1,0.09158924631828755,-0.28124013667614556,-0.12459782365183644,-0.10335432894453002,0.021243494707306396,0.01756829966413608,0.003675195043170319,-0.12128504597275883,1.1744848171126925,0.8255151828873077,1.0548459305118796,1.5007604408269701,0.5113636363636364,0.11767258142230523,-0.1254862673415823,44,44,False,0.05973389241408653,-0.5377622551572709,True
2016-10-01,2017-01-01,371,124,1,0.051469190962329825,0.0536804804492618,0.10468581137914412,0.12448805571417365,0.019802244335029542,0.016479642400594307,0.0033226019344352368,0.20652566360393437,1.2097690217354096,0.7902309782645905,0.9614514411617204,1.4718913854461242,0.5119047619047619,0.05076861445168253,0.18643355647343687,42,42,False,0.051991764954098144,-0.48134923148076225,True
2017-01-01,2017-04-01,362,121,1,-0.019638773998563404,-0.21402855039820434,-0.2010049814190905,-0.18174030770909383,0.01926467370999668,0.015762047995860874,0.003502625714135806,-0.14371838380826096,1.1680250041058104,0.8319749958941896,1.065015139425078,1.4951943492757733,0.5,0.042824776158783356,-0.15643494042452458,41,41,False,0.044911604669616086,-0.5782838767603936,True
2017-04-01,2017-07-01,388,130,1,0.05436337035915505,-0.06131930081815322,0.013419737095129912,0.034302577064491115,0.02088283996936121,0.017429479655343555,0.0034533603140176543,0.01485174395750001,1.1761341378683938,0.8238658621316062,0.9273851031595485,1.3239160995874732,0.5454545454545454,0.04707856554716786,0.07722887864823348,44,44,False,0.06269709336841539,-0.325049736172966,True
