date,ls_gross,ls_net,ls_ba,ls_bw,n_long,n_short,skipped,guard_fired,mkt_ret,long_scale,short_scale,beta_long,beta_short,sort_label
2015-01-02,0.0,0.0,0.0,0.0,0,0,True,False,0.0011658687942998909,,,,,
2015-01-05,0.0,0.0,0.0,0.0,0,0,True,False,-0.013545940956127607,,,,,
2015-01-06,0.0,0.0,0.0,0.0,0,0,True,False,-0.014276308307199023,,,,,
2015-01-07,0.0,0.0,0.0,0.0,0,0,True,False,0.01071011101381041,,,,,
2015-01-08,0.0,0.0,0.0,0.0,0,0,True,False,0.016513728416827,,,,,
2015-01-09,-0.0031880091832275567,-0.020344899955213835,0.0171012867856,5.5603986386278195e-05,3,3,False,True,-0.005335575222712098,1.0,1.0,1.0,1.0,all
2015-01-12,0.026604113194375303,0.015187337584556412,0.011357670439764211,5.9105170054678364e-05,5,5,False,True,-0.005248571954958906,1.0,1.0,1.0,1.0,all
2015-01-13,0.012357305933428708,0.007965832119977664,0.004331615847550877,5.9857965900167086e-05,6,6,False,True,-0.0029574414144717337,1.0,1.0,1.0,1.0,all
2015-01-14,0.004211750006572217,-0.010469416212322967,0.014620739207808613,6.0427011086570595e-05,11,11,False,True,-0.0038280995002807432,1.0,1.0,1.0,1.0,all
2015-01-15,-0.0001742618470931545,-0.0013939224646770363,0.0011608491884912283,5.8811429092653516e-05,12,12,False,True,-0.01530080739381234,1.0,1.0,1.0,1.0,all
2015-01-16,0.006375867351868975,0.0029491607205443856,0.0033677634856060148,5.894314571857472e-05,14,14,False,True,0.014204922648193646,1.0,1.0,1.0,1.0,all
2015-01-20,0.015783411651465618,0.011469455124264932,0.004256005427829102,5.79510993715846e-05,17,17,False,True,-0.0030102315777202366,1.0,1.0,1.0,1.0,all
2015-01-21,-0.007846151230071804,-0.007904102329443389,0.0,5.79510993715846e-05,17,17,False,True,0.0005505746169890097,1.0,1.0,1.0,1.0,all
2015-01-22,-0.013792508342628082,-0.013850459441999667,0.0,5.79510993715846e-05,17,17,False,True,0.01206059091182411,1.0,1.0,1.0,1.0,all
2015-01-23,-0.0036456473028883577,-0.004653354641863658,0.0009497562396037153,5.79510993715846e-05,17,17,False,True,-0.001524949111726052,1.0,1.0,1.0,1.0,all
2015-01-26,3.1921551853254793e-06,-0.0011480304999530934,0.0010921524210526314,5.907023408578739e-05,18,18,False,True,0.009394359011817323,1.0,1.0,1.0,1.0,all
2015-01-27,0.007400658989218699,0.0073415887551329115,0.0,5.907023408578739e-05,18,18,False,True,-0.0027526525092205385,1.0,1.0,1.0,1.0,all
