rebalance_date,hold_end,n_universe,n_with_signal,n_delisted,long_ret,short_ret,ls_ret,long_scale,short_scale,mean_beta_long,mean_beta_short,mkt_ret,ic,n_long,n_short
2015-01-01,2015-04-01,361,360,0,0.0273347156429959,-0.011621252072800702,0.02783223997620112,1.311089086386417,0.6889109136135828,0.7635896822512053,1.453212714580936,0.037178660155379274,-0.10158540317955128,72,72
2015-04-01,2015-07-01,360,360,1,-0.02003879482991084,-0.010472207764668335,-0.0316109980664241,1.1149830618111911,0.885016938188809,0.8656171847576154,1.09054240362067,0.011506345439762637,-0.012874070530379606,72,72
2015-07-01,2015-10-01,391,390,1,-0.08464687543198801,0.2089137713403387,0.06817542725724292,1.1910728473582153,0.8089271526417845,0.8208533490545329,1.208633104388895,-0.17129319252963052,-0.30594799844433307,78,78
2015-10-01,2016-01-01,424,424,1,0.04294177744139116,-0.11952609138357409,-0.023368934413956904,1.3275440240159586,0.6724559759840415,0.7327400351136059,1.4465551493521056,0.06685225723538354,-0.027202241795955633,85,85
2016-01-01,2016-04-01,412,409,1,0.08608707118410136,0.04241612378758619,0.14088992020762522,1.2836376578568591,0.716362342143141,0.7933708595808546,1.4216279277851238,0.012316551191878558,-0.2520054512352976,82,82
2016-04-01,2016-07-01,402,400,1,0.0384191966611235,-0.05757561803748487,0.02114412838957372,1.4198200693700525,0.5801799306299477,0.6831248528867774,1.6717475472841634,0.059695372806958226,-0.006683291770573565,80,80
2016-07-01,2016-10-01,414,411,1,0.06269571205316903,-0.1624595203631034,-0.05124057261760365,1.2155101401446438,0.7844898598553561,0.7887111823781986,1.2220507732285208,0.11767258142230523,0.09184462562505293,83,83
2016-10-01,2017-01-01,387,385,1,0.13034063755087122,0.034560666225550235,0.1865678082025193,1.2262112227253295,0.7737887772746707,0.8432562482538242,1.3362952599079303,0.05076861445168253,-0.30684509790727404,77,77
2017-01-01,2017-04-01,384,380,1,0.006806566793342163,-0.10796690359372904,-0.06701989844347364,1.297459319142092,0.7025406808579081,0.7506715364386084,1.3863478757950727,0.042824776158783356,0.07236813617709353,76,76
2017-04-01,2017-07-01,404,402,1,0.0344800250263547,-0.03891150519225448,0.007317226347887305,1.1600825937106307,0.8399174062893694,0.8270153315090187,1.142262422032606,0.04707856554716786,-0.10579012016780955,81,81
2017-07-01,2017-10-01,428,423,2,0.06028346571737341,-0.08137523473877016,0.005781886233174313,1.189707057653624,0.8102929423463763,0.8229307591640411,1.2082624455578697,0.05924516301675565,-0.07122687488544859,85,85
2017-10-01,2018-01-01,390,388,2,0.0008492228502576622,-0.05215988255144293,-0.039511942849749744,1.2225790599940405,0.7774209400059596,0.8481300101492705,1.333776770346683,0.0318429356842954,-0.041373535301905975,78,78
2018-01-01,2018-04-01,417,414,2,-0.02304974762972526,-0.0033428907728227653,-0.030906213165936225,1.2290357511683696,0.7709642488316305,0.8449719649425272,1.3470154488008543,-0.010000799871656365,-0.07142387848055028,83,83
2018-04-01,2018-07-01,429,428,2,0.1293858077954967,-0.24792214260619422,-0.029718299159727818,1.2353993218441646,0.7646006781558354,0.7891069451333145,1.2749951873329723,0.14755012213898547,-0.019648580234362504,86,86
2018-07-01,2018-10-01,442,441,2,-0.004823990586893991,0.007335305212434969,-0.0008110857991515084,1.2732395427764693,0.726760457223531,0.7495540367947,1.3131724897921984,0.021529261515332385,0.000677193954504879,89,89
2018-10-01,2019-01-01,426,424,3,-0.15022341771643807,0.3009870118680526,6.057461610337045e-06,1.3341180230005616,0.6658819769994382,0.7364242365614827,1.475451927679869,-0.22201243352719388,-0.268782676458781,85,85
2019-01-01,2019-04-01,455,454,3,0.14531808184870532,-0.27117186398932874,-0.035220408325588926,1.2176123930979124,0.7823876069020876,0.7741208899409819,1.204747085757564,0.17053053657903,0.03718143746150864,91,91
2019-04-01,2019-07-01,440,439,3,-0.0014318129071938723,0.014319657864381486,0.008238631570521179,1.2951605887531636,0.7048394112468361,0.7354069257982035,1.3513291847643272,-0.01236953985797984,-0.157793666688415,88,88
2019-07-01,2019-10-01,448,447,3,-0.01714067776997599,0.0928635316654875,0.05646734514761017,1.1750433810371415,0.8249566189628585,0.7578461739443748,1.079453282837109,-0.06853629721579911,-0.22293106828632908,90,90
2019-10-01,2020-01-01,445,444,3,0.1128873015415106,-0.1952347496408007,-0.03659654361974268,1.148483058268612,0.8515169417313878,0.8309832163448853,1.120788206206611,0.14899350121645746,-0.012108453597788317,89,89
2020-01-01,2020-04-01,418,417,3,-0.3555252806099746,0.3123239317513951,-0.2720045280750239,1.3425970638004439,0.657402936199556,0.6960190557427364,1.421461768929024,-0.37511731337168475,-0.07248972629036998,84,84
2020-04-01,2020-07-01,512,511,3,0.25652901556546187,-0.8772987917883338,-0.4513344848873009,1.14943652840109,0.85056347159891,0.8632831050026063,1.166625617458248,0.5094513015429641,0.30007779224703574,103,103
2020-07-01,2020-10-01,492,491,3,0.03582172797775016,-0.1413424630880821,-0.09338483813930354,1.0685008460119283,0.9314991539880718,0.8711431049785455,0.9992678368862516,0.08638872390757436,-0.035325150874020064,99,99
2020-10-01,2021-01-01,489,488,3,0.22793073196986416,-0.3908796986311935,-0.04396271187049405,1.1922822384801475,0.8077177615198526,0.8128409751833432,1.199844677918677,0.3605908060628444,0.03883274293865176,98,98
